_id,ALARM_DATE,CONT_DATE,GIS_ACRES,Shape__Area,Shape__Length,YEAR_,STATE,FIRE_NAME,INC_NUM
1,17/06/2023,17/6/2023,5.729125,41407.83984,1247.166034,2023,CA,WHITWORTH,4808
2,02/06/2023,2/6/2023,13.60238,93455.87891,1285.51455,2023,CA,KAISER,10225
3,01/07/2023,2/7/2023,27.81446,183028.5,2697.587429,2023,CA,JACKSON,17640
4,11/07/2023,11/7/2023,58.76023,388221.9531,2548.738779,2023,CA,CARBON,18821
5,11/07/2023,12/7/2023,70.979,466456.0078,5106.936526,2023,CA,LIBERTY,18876
6,18/06/2023,18/6/2023,28.63791,188516.9844,1941.509834,2023,CA,CLAY,16263
7,13/07/2023,13/7/2023,13.59313,85835.91797,1776.43876,2023,CA,PAICINES,4105
8,09/07/2023,10/7/2023,391.3749,2412533.555,10733.81231,2023,CA,VINEYARD,4022
9,15/07/2023,17/7/2023,40.41796,249660.2734,2407.166957,2023,CA,SLACKS,4156
10,19/07/2023,19/7/2023,296.6445,1860464.301,10225.77424,2023,CA,IDRIA,4234
11,24/07/2023,28/7/2023,161.8137,1141858.59,7184.885556,2023,CA,WONDER,8060
12,15/06/2023,15/6/2023,11.91801,83320.98438,1388.850907,2023,CA,PINE,6202
13,29/07/2023,29/7/2023,20.67,143460.0078,2544.541868,2023,CA,OLIVE,8264
14,26/07/2023,31/7/2023,52.17383,354598.3047,3866.55622,2023,CA,TURKEY,14148
15,21/06/2023,21/6/2023,10.07201,68524.96875,1209.305534,2023,CA,VIRGINIA,11549
16,14/07/2023,23/7/2023,8354.776,49193097.95,47639.74371,2023,CA,RABBIT,102458
17,14/07/2023,23/7/2023,104.0207,612635.0234,3915.572572,2023,CA,HIGHLAND,102435
18,14/07/2023,23/7/2023,435.684,2570257.996,8565.275166,2023,CA,RECHE,102379
19,15/07/2023,23/7/2023,334.5828,1966205.473,7959.666575,2023,CA,GAVILAN,103039
20,22/05/2023,26/5/2023,337.9316,1986003.473,7664.101118,2023,CA,RAMONA,74508
21,09/08/2023,9/8/2023,74.10231,502589.3828,3982.267221,2023,CA,CEMETERY,15186
22,15/08/2023,18/8/2023,56.87772,392924.7188,3555.765061,2023,CA,1-Oct,9853
23,16/09/2023,16/9/2023,19.28816,132527.5547,1574.848976,2023,CA,CANA,17710
24,14/10/2023,14/10/2023,11.7,77082.01563,1326.148407,2023,CA,MISTY,28286
25,30/10/2023,8/11/2023,2487,14121208.05,47327.11258,2023,CA,HIGHLAND,160976
26,02/11/2023,2/11/2023,11.1,71774.98047,1248.542782,2023,CA,PLYMOUTH,30204
27,12/11/2023,12/11/2023,11.12262,75606.78906,1183.889293,2023,CA,WALL,21557
28,01/05/2023,1/5/2023,83.71268,512475.9492,3523.409965,2023,CA,HOSTLY,23-19678
29,03/05/2023,3/5/2023,5.948729,36450.41797,1312.571076,2023,CA,ADOBE,23-20044
30,10/05/2023,10/5/2023,3.267727,19948.78906,742.6678965,2023,CA,LAZY,23-21128
31,12/05/2023,12/5/2023,225.6406,1383222.348,5326.455438,2023,CA,BITTER,23-21544
