,EVAP,MNPN,MXPN,PRCP,SNWD,TAVG,TMAX,TMIN,TOBS,WDMV,,,,,,,,,,,,,,,,,,,,,
GIS_ACRES,0.022041655,0.023106794,0.018942615,-0.010353732,-0.005948883,0.019266742,0.002918038,0.037006376,0.032981774,0.007068834,,,,,,EVAP,MNPN,MXPN,PRCP,SNWD,TAVG,TMAX,TMIN,TOBS,WDMV,GIS_ACRES,Shape__Area,Shape__Length,,,
Shape__Area,0.020786787,0.021650042,0.017761268,-0.010145643,-0.005855512,0.017987142,0.002058217,0.035836606,0.03194638,0.008131689,,,,,EVAP,1,0.738329987,0.825429854,-0.207756047,-0.207782368,0.828658724,0.699048474,0.743617131,0.769960996,-0.300153103,0.022041655,0.020786787,0.029687616,,,
Shape__Length,0.029687616,0.030620427,0.026214898,-0.013456518,-0.007860784,0.027246132,0.012675322,0.043508116,0.041783308,0.003917226,,,,,MNPN,0.738329987,1,0.893118251,-0.196265746,-0.203240874,0.910806723,0.847176489,0.807604163,0.783350234,-0.591970881,0.023106794,0.021650042,0.030620427,,,
,,,,,,,,,,,,,,,,,,MXPN,0.825429854,0.893118251,1,-0.202741688,-0.217720917,0.958523575,0.867228237,0.81637562,0.815955206,-0.647790555,0.018942615,0.017761268,0.026214898
,,+ve correlation,,,,,,,,,,,,,,,,PRCP,-0.207756047,-0.196265746,-0.202741688,1,0.224045558,-0.240228365,-0.242712895,-0.181433686,-0.228342102,0.037200154,-0.010353732,-0.010145643,-0.013456518
,,-ve correlation,,,,,,,,,,,,,,,,SNWD,-0.207782368,-0.203240874,-0.217720917,0.224045558,1,-0.312564798,-0.285900997,-0.230275387,-0.26766152,0.071415266,-0.005948883,-0.005855512,-0.007860784
,,,,,,,,,,,,,,,,,,TAVG,0.828658724,0.910806723,0.958523575,-0.240228365,-0.312564798,1,0.915834192,0.844307475,0.816314847,-0.63712722,0.019266742,0.017987142,0.027246132
,,,,,,,,,,,,,,,,,,TMAX,0.699048474,0.847176489,0.867228237,-0.242712895,-0.285900997,0.915834192,1,0.728706783,0.679651379,-0.646460487,0.002918038,0.002058217,0.012675322
,,,,,,,,,,,,,,,,,,TMIN,0.743617131,0.807604163,0.81637562,-0.181433686,-0.230275387,0.844307475,0.728706783,1,0.736338439,-0.533679374,0.037006376,0.035836606,0.043508116
,,,,,,,,,,,,,,,,,,TOBS,0.769960996,0.783350234,0.815955206,-0.228342102,-0.26766152,0.816314847,0.679651379,0.736338439,1,-0.414639221,0.032981774,0.03194638,0.041783308
,,,,,,,,,,,,,,,,,,WDMV,-0.300153103,-0.591970881,-0.647790555,0.037200154,0.071415266,-0.63712722,-0.646460487,-0.533679374,-0.414639221,1,0.007068834,0.008131689,0.003917226
