id,date,obs,obs_value
US1CAAL0007,20100130,PRCP,104
US1CAAL0007,20100131,PRCP,0
US1CAAL0007,20100131,SNOW,0
US1CAAL0007,20100201,PRCP,0
US1CAAL0007,20100202,PRCP,0
US1CAAL0007,20100203,PRCP,8
US1CAAL0007,20100204,PRCP,0
US1CAAL0007,20100205,PRCP,173
US1CAAL0007,20100206,PRCP,71
US1CAAL0007,20100207,PRCP,3
US1CAAL0007,20100208,PRCP,0
US1CAAL0007,20100209,PRCP,61
US1CAAL0007,20100210,PRCP,0
US1CAAL0007,20100211,PRCP,0
US1CAAL0007,20100212,PRCP,0
US1CAAL0007,20100215,PRCP,0
US1CAAL0007,20100216,PRCP,0
US1CAAL0007,20100217,PRCP,0
US1CAAL0007,20100218,PRCP,0
US1CAAL0007,20100219,PRCP,10
US1CAAL0007,20100220,PRCP,8
US1CAAL0007,20100221,PRCP,5
US1CAAL0007,20100222,PRCP,38
US1CAAL0007,20100223,PRCP,0
US1CAAL0007,20100224,PRCP,114
US1CAAL0007,20100225,PRCP,0
US1CAAL0007,20100226,PRCP,0
US1CAAL0007,20100227,PRCP,89
US1CAAL0007,20100228,PRCP,3
US1CAAL0007,20100201,SNOW,0
US1CAAL0007,20100202,SNOW,0
US1CAAL0007,20100204,SNOW,0
US1CAAL0007,20100208,SNOW,0
US1CAAL0007,20100210,SNOW,0
US1CAAL0007,20100211,SNOW,0
US1CAAL0007,20100215,SNOW,0
US1CAAL0007,20100216,SNOW,0
US1CAAL0007,20100217,SNOW,0
US1CAAL0007,20100218,SNOW,0
US1CAAL0007,20100223,SNOW,0
US1CAAL0007,20100225,SNOW,0
US1CAAL0007,20100226,SNOW,0
US1CAAL0007,20100214,DAPR,2
US1CAAL0007,20100214,MDPR,0
US1CAAL0007,20100301,PRCP,0
US1CAAL0007,20100302,PRCP,0
US1CAAL0007,20100303,PRCP,137
US1CAAL0007,20100304,PRCP,239
US1CAAL0007,20100305,PRCP,0
US1CAAL0007,20100306,PRCP,0
US1CAAL0007,20100307,PRCP,0
US1CAAL0007,20100308,PRCP,5
US1CAAL0007,20100309,PRCP,53
US1CAAL0007,20100310,PRCP,64
US1CAAL0007,20100311,PRCP,0
US1CAAL0007,20100312,PRCP,0
US1CAAL0007,20100313,PRCP,117
US1CAAL0007,20100314,PRCP,0
US1CAAL0007,20100315,PRCP,0
US1CAAL0007,20100316,PRCP,0
US1CAAL0007,20100317,PRCP,0
US1CAAL0007,20100318,PRCP,0
US1CAAL0007,20100319,PRCP,0
US1CAAL0007,20100320,PRCP,0
US1CAAL0007,20100321,PRCP,0
US1CAAL0007,20100322,PRCP,0
US1CAAL0007,20100323,PRCP,0
US1CAAL0007,20100324,PRCP,0
US1CAAL0007,20100325,PRCP,0
US1CAAL0007,20100326,PRCP,0
US1CAAL0007,20100327,PRCP,0
US1CAAL0007,20100328,PRCP,0
US1CAAL0007,20100329,PRCP,0
US1CAAL0007,20100330,PRCP,25
US1CAAL0007,20100331,PRCP,41
US1CAAL0007,20100301,SNOW,0
US1CAAL0007,20100302,SNOW,0
US1CAAL0007,20100305,SNOW,0
US1CAAL0007,20100306,SNOW,0
US1CAAL0007,20100307,SNOW,0
US1CAAL0007,20100311,SNOW,0
US1CAAL0007,20100312,SNOW,0
US1CAAL0007,20100314,SNOW,0
US1CAAL0007,20100315,SNOW,0
US1CAAL0007,20100316,SNOW,0
US1CAAL0007,20100317,SNOW,0
US1CAAL0007,20100318,SNOW,0
US1CAAL0007,20100319,SNOW,0
US1CAAL0007,20100320,SNOW,0
US1CAAL0007,20100321,SNOW,0
US1CAAL0007,20100322,SNOW,0
US1CAAL0007,20100323,SNOW,0
US1CAAL0007,20100324,SNOW,0
US1CAAL0007,20100326,SNOW,0
US1CAAL0007,20100327,SNOW,0
US1CAAL0007,20100328,SNOW,0
US1CAAL0007,20100329,SNOW,0
US1CAAL0007,20100401,PRCP,64
US1CAAL0007,20100403,PRCP,5
US1CAAL0007,20100404,PRCP,0
US1CAAL0007,20100405,PRCP,193
US1CAAL0007,20100406,PRCP,8
US1CAAL0007,20100407,PRCP,0
US1CAAL0007,20100408,PRCP,0
US1CAAL0007,20100409,PRCP,0
US1CAAL0007,20100410,PRCP,0
US1CAAL0007,20100411,PRCP,0
US1CAAL0007,20100412,PRCP,191
US1CAAL0007,20100413,PRCP,114
US1CAAL0007,20100414,PRCP,0
US1CAAL0007,20100415,PRCP,0
US1CAAL0007,20100416,PRCP,0
US1CAAL0007,20100417,PRCP,0
US1CAAL0007,20100418,PRCP,0
US1CAAL0007,20100419,PRCP,0
US1CAAL0007,20100420,PRCP,122
US1CAAL0007,20100421,PRCP,51
US1CAAL0007,20100422,PRCP,28
US1CAAL0007,20100423,PRCP,0
US1CAAL0007,20100424,PRCP,0
US1CAAL0007,20100425,PRCP,0
US1CAAL0007,20100426,PRCP,0
US1CAAL0007,20100427,PRCP,0
US1CAAL0007,20100428,PRCP,46
US1CAAL0007,20100429,PRCP,23
US1CAAL0007,20100430,PRCP,0
US1CAAL0007,20100404,SNOW,0
US1CAAL0007,20100407,SNOW,0
US1CAAL0007,20100408,SNOW,0
US1CAAL0007,20100409,SNOW,0
US1CAAL0007,20100410,SNOW,0
US1CAAL0007,20100411,SNOW,0
US1CAAL0007,20100414,SNOW,0
US1CAAL0007,20100415,SNOW,0
US1CAAL0007,20100416,SNOW,0
US1CAAL0007,20100417,SNOW,0
US1CAAL0007,20100418,SNOW,0
US1CAAL0007,20100419,SNOW,0
US1CAAL0007,20100423,SNOW,0
US1CAAL0007,20100424,SNOW,0
US1CAAL0007,20100425,SNOW,0
US1CAAL0007,20100426,SNOW,0
US1CAAL0007,20100427,SNOW,0
US1CAAL0007,20100430,SNOW,0
US1CAAL0007,20100501,PRCP,0
US1CAAL0007,20100502,PRCP,0
US1CAAL0007,20100503,PRCP,0
US1CAAL0007,20100504,PRCP,0
US1CAAL0007,20100505,PRCP,0
US1CAAL0007,20100506,PRCP,0
US1CAAL0007,20100507,PRCP,0
US1CAAL0007,20100508,PRCP,0
US1CAAL0007,20100510,PRCP,0
US1CAAL0007,20100511,PRCP,23
US1CAAL0007,20100512,PRCP,0
US1CAAL0007,20100513,PRCP,0
US1CAAL0007,20100514,PRCP,0
US1CAAL0007,20100518,PRCP,23
US1CAAL0007,20100519,PRCP,0
US1CAAL0007,20100520,PRCP,0
US1CAAL0007,20100521,PRCP,0
US1CAAL0007,20100522,PRCP,0
US1CAAL0007,20100523,PRCP,0
US1CAAL0007,20100524,PRCP,0
US1CAAL0007,20100525,PRCP,0
US1CAAL0007,20100526,PRCP,64
US1CAAL0007,20100527,PRCP,0
US1CAAL0007,20100528,PRCP,20
US1CAAL0007,20100529,PRCP,0
US1CAAL0007,20100530,PRCP,0
US1CAAL0007,20100531,PRCP,0
US1CAAL0007,20100501,SNOW,0
US1CAAL0007,20100502,SNOW,0
US1CAAL0007,20100503,SNOW,0
US1CAAL0007,20100504,SNOW,0
US1CAAL0007,20100505,SNOW,0
US1CAAL0007,20100506,SNOW,0
US1CAAL0007,20100507,SNOW,0
US1CAAL0007,20100508,SNOW,0
US1CAAL0007,20100510,SNOW,0
US1CAAL0007,20100512,SNOW,0
US1CAAL0007,20100513,SNOW,0
US1CAAL0007,20100514,SNOW,0
US1CAAL0007,20100519,SNOW,0
US1CAAL0007,20100521,SNOW,0
US1CAAL0007,20100522,SNOW,0
US1CAAL0007,20100523,SNOW,0
US1CAAL0007,20100524,SNOW,0
US1CAAL0007,20100525,SNOW,0
US1CAAL0007,20100527,SNOW,0
US1CAAL0007,20100529,SNOW,0
US1CAAL0007,20100530,SNOW,0
US1CAAL0007,20100531,SNOW,0
US1CAAL0007,20100517,DAPR,2
US1CAAL0007,20100517,MDPR,0
US1CAAL0007,20100601,PRCP,0
US1CAAL0007,20100602,PRCP,0
US1CAAL0007,20100603,PRCP,0
US1CAAL0007,20100604,PRCP,0
US1CAAL0007,20100605,PRCP,0
US1CAAL0007,20100606,PRCP,0
US1CAAL0007,20100607,PRCP,0
US1CAAL0007,20100608,PRCP,0
US1CAAL0007,20100609,PRCP,0
US1CAAL0007,20100610,PRCP,0
US1CAAL0007,20100611,PRCP,0
US1CAAL0007,20100612,PRCP,0
US1CAAL0007,20100613,PRCP,0
US1CAAL0007,20100614,PRCP,0
US1CAAL0007,20100615,PRCP,0
US1CAAL0007,20100616,PRCP,0
US1CAAL0007,20100617,PRCP,0
US1CAAL0007,20100618,PRCP,0
US1CAAL0007,20100619,PRCP,0
US1CAAL0007,20100620,PRCP,0
US1CAAL0007,20100621,PRCP,0
US1CAAL0007,20100622,PRCP,0
US1CAAL0007,20100623,PRCP,0
US1CAAL0007,20100624,PRCP,0
US1CAAL0007,20100625,PRCP,0
US1CAAL0007,20100626,PRCP,0
US1CAAL0007,20100627,PRCP,0
US1CAAL0007,20100628,PRCP,0
US1CAAL0007,20100629,PRCP,0
US1CAAL0007,20100630,PRCP,0
US1CAAL0007,20100601,SNOW,0
US1CAAL0007,20100602,SNOW,0
US1CAAL0007,20100603,SNOW,0
US1CAAL0007,20100604,SNOW,0
US1CAAL0007,20100605,SNOW,0
US1CAAL0007,20100606,SNOW,0
US1CAAL0007,20100607,SNOW,0
US1CAAL0007,20100608,SNOW,0
US1CAAL0007,20100609,SNOW,0
US1CAAL0007,20100610,SNOW,0
US1CAAL0007,20100611,SNOW,0
US1CAAL0007,20100612,SNOW,0
US1CAAL0007,20100613,SNOW,0
US1CAAL0007,20100614,SNOW,0
US1CAAL0007,20100615,SNOW,0
US1CAAL0007,20100616,SNOW,0
US1CAAL0007,20100617,SNOW,0
US1CAAL0007,20100618,SNOW,0
US1CAAL0007,20100619,SNOW,0
US1CAAL0007,20100620,SNOW,0
US1CAAL0007,20100621,SNOW,0
US1CAAL0007,20100622,SNOW,0
US1CAAL0007,20100623,SNOW,0
US1CAAL0007,20100624,SNOW,0
US1CAAL0007,20100626,SNOW,0
US1CAAL0007,20100627,SNOW,0
US1CAAL0007,20100628,SNOW,0
US1CAAL0007,20100629,SNOW,0
US1CAAL0007,20100630,SNOW,0
US1CAAL0007,20100701,PRCP,0
US1CAAL0007,20100702,PRCP,0
US1CAAL0007,20100703,PRCP,0
US1CAAL0007,20100704,PRCP,0
US1CAAL0007,20100705,PRCP,0
US1CAAL0007,20100706,PRCP,0
US1CAAL0007,20100707,PRCP,0
US1CAAL0007,20100708,PRCP,0
US1CAAL0007,20100709,PRCP,0
US1CAAL0007,20100710,PRCP,0
US1CAAL0007,20100711,PRCP,0
US1CAAL0007,20100712,PRCP,0
US1CAAL0007,20100713,PRCP,0
US1CAAL0007,20100714,PRCP,0
US1CAAL0007,20100715,PRCP,0
US1CAAL0007,20100716,PRCP,0
US1CAAL0007,20100717,PRCP,0
US1CAAL0007,20100718,PRCP,0
US1CAAL0007,20100719,PRCP,0
US1CAAL0007,20100720,PRCP,0
US1CAAL0007,20100721,PRCP,0
US1CAAL0007,20100722,PRCP,0
US1CAAL0007,20100723,PRCP,0
