id,date,obs,obs_value
US1CAAM0004,20120125,PRCP,0
US1CAAM0004,20120126,PRCP,0
US1CAAM0004,20120127,PRCP,10
US1CAAM0004,20120128,PRCP,0
US1CAAM0004,20120129,PRCP,0
US1CAAM0004,20120130,PRCP,0
US1CAAM0004,20120131,PRCP,0
US1CAAM0004,20120119,SNOW,0
US1CAAM0004,20120126,SNOW,0
US1CAAM0004,20120128,SNOW,0
US1CAAM0004,20120129,SNOW,0
US1CAAM0004,20120130,SNOW,0
US1CAAM0004,20120131,SNOW,0
US1CAAM0004,20120201,PRCP,5
US1CAAM0004,20120202,PRCP,13
US1CAAM0004,20120203,PRCP,0
US1CAAM0004,20120204,PRCP,0
US1CAAM0004,20120205,PRCP,0
US1CAAM0004,20120206,PRCP,0
US1CAAM0004,20120207,PRCP,10
US1CAAM0004,20120208,PRCP,10
US1CAAM0004,20120209,PRCP,0
US1CAAM0004,20120210,PRCP,0
US1CAAM0004,20120211,PRCP,3
US1CAAM0004,20120213,PRCP,160
US1CAAM0004,20120214,PRCP,97
US1CAAM0004,20120215,PRCP,13
US1CAAM0004,20120216,PRCP,0
US1CAAM0004,20120217,PRCP,0
US1CAAM0004,20120218,PRCP,0
US1CAAM0004,20120219,PRCP,0
US1CAAM0004,20120220,PRCP,0
US1CAAM0004,20120221,PRCP,0
US1CAAM0004,20120222,PRCP,0
US1CAAM0004,20120203,SNOW,0
US1CAAM0004,20120204,SNOW,0
US1CAAM0004,20120205,SNOW,0
US1CAAM0004,20120206,SNOW,0
US1CAAM0004,20120209,SNOW,0
US1CAAM0004,20120210,SNOW,0
US1CAAM0004,20120217,SNOW,0
US1CAAM0004,20120218,SNOW,0
US1CAAM0004,20120219,SNOW,0
US1CAAM0004,20120220,SNOW,0
US1CAAM0004,20120221,SNOW,0
US1CAAM0004,20120222,SNOW,0
US1CAAM0004,20120303,PRCP,0
US1CAAM0004,20120304,PRCP,0
US1CAAM0004,20120305,PRCP,0
US1CAAM0004,20120306,PRCP,23
US1CAAM0004,20120307,PRCP,28
US1CAAM0004,20120308,PRCP,0
US1CAAM0004,20120309,PRCP,0
US1CAAM0004,20120310,PRCP,0
US1CAAM0004,20120311,PRCP,3
US1CAAM0004,20120312,PRCP,0
US1CAAM0004,20120313,PRCP,23
US1CAAM0004,20120314,PRCP,363
US1CAAM0004,20120315,PRCP,274
US1CAAM0004,20120316,PRCP,51
US1CAAM0004,20120317,PRCP,544
US1CAAM0004,20120318,PRCP,226
US1CAAM0004,20120319,PRCP,61
US1CAAM0004,20120320,PRCP,3
US1CAAM0004,20120321,PRCP,0
US1CAAM0004,20120322,PRCP,0
US1CAAM0004,20120323,PRCP,5
US1CAAM0004,20120324,PRCP,0
US1CAAM0004,20120325,PRCP,107
US1CAAM0004,20120326,PRCP,64
US1CAAM0004,20120327,PRCP,15
US1CAAM0004,20120328,PRCP,142
US1CAAM0004,20120329,PRCP,18
US1CAAM0004,20120330,PRCP,3
US1CAAM0004,20120331,PRCP,0
US1CAAM0004,20120303,SNOW,0
US1CAAM0004,20120304,SNOW,0
US1CAAM0004,20120305,SNOW,0
US1CAAM0004,20120308,SNOW,0
US1CAAM0004,20120309,SNOW,0
US1CAAM0004,20120310,SNOW,0
US1CAAM0004,20120312,SNOW,0
US1CAAM0004,20120321,SNOW,0
US1CAAM0004,20120322,SNOW,0
US1CAAM0004,20120324,SNOW,0
US1CAAM0004,20120331,SNOW,0
US1CAAM0004,20120302,DAPR,8
US1CAAM0004,20120302,MDPR,439
US1CAAM0004,20120401,PRCP,231
US1CAAM0004,20120402,PRCP,0
US1CAAM0004,20120403,PRCP,0
US1CAAM0004,20120404,PRCP,38
US1CAAM0004,20120405,PRCP,0
US1CAAM0004,20120406,PRCP,0
US1CAAM0004,20120407,PRCP,0
US1CAAM0004,20120408,PRCP,0
US1CAAM0004,20120409,PRCP,0
US1CAAM0004,20120410,PRCP,0
US1CAAM0004,20120411,PRCP,107
US1CAAM0004,20120412,PRCP,193
US1CAAM0004,20120413,PRCP,411
US1CAAM0004,20120414,PRCP,107
US1CAAM0004,20120415,PRCP,0
US1CAAM0004,20120416,PRCP,0
US1CAAM0004,20120417,PRCP,0
US1CAAM0004,20120418,PRCP,0
US1CAAM0004,20120402,SNOW,0
US1CAAM0004,20120403,SNOW,0
US1CAAM0004,20120405,SNOW,0
US1CAAM0004,20120406,SNOW,0
US1CAAM0004,20120407,SNOW,0
US1CAAM0004,20120408,SNOW,0
US1CAAM0004,20120409,SNOW,0
US1CAAM0004,20120410,SNOW,0
US1CAAM0004,20120415,SNOW,0
US1CAAM0004,20120416,SNOW,0
US1CAAM0004,20120417,SNOW,0
US1CAAM0004,20120418,SNOW,0
US1CAAM0004,20120503,PRCP,0
US1CAAM0004,20120504,PRCP,15
US1CAAM0004,20120505,PRCP,3
US1CAAM0004,20120503,SNOW,0
US1CAAM0004,20120502,DAPR,11
US1CAAM0004,20120502,MDPR,292
US1CAAM0004,20120723,PRCP,15
US1CAAM0004,20120906,PRCP,53
US1CAAM0004,20121023,PRCP,274
US1CAAM0004,20121024,PRCP,25
US1CAAM0004,20121025,PRCP,43
US1CAAM0004,20121109,PRCP,58
US1CAAM0004,20121110,PRCP,66
US1CAAM0004,20121116,PRCP,3
US1CAAM0004,20121117,PRCP,124
US1CAAM0004,20121118,PRCP,302
US1CAAM0004,20121119,PRCP,46
US1CAAM0004,20121120,PRCP,0
US1CAAM0004,20121128,PRCP,3
US1CAAM0004,20121129,PRCP,157
US1CAAM0004,20121130,PRCP,216
US1CAAM0004,20121120,SNOW,0
US1CAAM0004,20121127,DAPR,7
US1CAAM0004,20121127,MDPR,140
US1CAAM0004,20121201,PRCP,513
US1CAAM0004,20121202,PRCP,218
US1CAAM0004,20121203,PRCP,389
US1CAAM0004,20121204,PRCP,5
US1CAAM0004,20121205,PRCP,86
US1CAAM0004,20121206,PRCP,117
US1CAAM0004,20121207,PRCP,8
US1CAAM0004,20121208,PRCP,3
US1CAAM0004,20121209,PRCP,0
US1CAAM0004,20121212,PRCP,124
US1CAAM0004,20121213,PRCP,36
US1CAAM0004,20121214,PRCP,0
US1CAAM0004,20121216,PRCP,3
US1CAAM0004,20121217,PRCP,102
US1CAAM0004,20121218,PRCP,157
US1CAAM0004,20121219,PRCP,3
US1CAAM0004,20121220,PRCP,0
US1CAAM0004,20121227,PRCP,803
US1CAAM0004,20121228,PRCP,0
US1CAAM0004,20121229,PRCP,0
US1CAAM0004,20121230,PRCP,0
US1CAAM0004,20121231,PRCP,0
US1CAAM0004,20121209,SNOW,0
US1CAAM0004,20121214,SNOW,0
US1CAAM0004,20121220,SNOW,0
US1CAAM0004,20121228,SNOW,0
US1CAAM0004,20121229,SNOW,0
US1CAAM0004,20121230,SNOW,0
US1CAAM0004,20121231,SNOW,0
US1CAAM0004,20130102,PRCP,0
US1CAAM0004,20130104,PRCP,0
US1CAAM0004,20130105,PRCP,0
US1CAAM0004,20130106,PRCP,130
US1CAAM0004,20130107,PRCP,36
US1CAAM0004,20130108,PRCP,3
US1CAAM0004,20130109,PRCP,0
US1CAAM0004,20130110,PRCP,64
US1CAAM0004,20130111,PRCP,3
US1CAAM0004,20130113,PRCP,0
US1CAAM0004,20130114,PRCP,0
US1CAAM0004,20130115,PRCP,0
US1CAAM0004,20130117,PRCP,0
US1CAAM0004,20130118,PRCP,0
US1CAAM0004,20130119,PRCP,0
US1CAAM0004,20130121,PRCP,0
US1CAAM0004,20130123,PRCP,0
US1CAAM0004,20130124,PRCP,0
US1CAAM0004,20130125,PRCP,109
US1CAAM0004,20130102,SNOW,0
US1CAAM0004,20130104,SNOW,0
US1CAAM0004,20130105,SNOW,0
US1CAAM0004,20130109,SNOW,0
US1CAAM0004,20130113,SNOW,0
US1CAAM0004,20130114,SNOW,0
US1CAAM0004,20130115,SNOW,0
US1CAAM0004,20130117,SNOW,0
US1CAAM0004,20130118,SNOW,0
US1CAAM0004,20130119,SNOW,0
US1CAAM0004,20130121,SNOW,0
US1CAAM0004,20130123,SNOW,0
US1CAAM0004,20130124,SNOW,0
US1CAAM0004,20130203,PRCP,0
US1CAAM0004,20130204,PRCP,0
US1CAAM0004,20130205,PRCP,0
US1CAAM0004,20130206,PRCP,0
US1CAAM0004,20130207,PRCP,0
US1CAAM0004,20130208,PRCP,8
US1CAAM0004,20130209,PRCP,18
US1CAAM0004,20130211,PRCP,0
US1CAAM0004,20130212,PRCP,0
US1CAAM0004,20130213,PRCP,0
US1CAAM0004,20130215,PRCP,0
US1CAAM0004,20130218,PRCP,0
US1CAAM0004,20130219,PRCP,0
US1CAAM0004,20130220,PRCP,51
US1CAAM0004,20130221,PRCP,0
US1CAAM0004,20130203,SNOW,0
US1CAAM0004,20130204,SNOW,0
US1CAAM0004,20130205,SNOW,0
US1CAAM0004,20130206,SNOW,0
US1CAAM0004,20130207,SNOW,0
US1CAAM0004,20130211,SNOW,0
US1CAAM0004,20130212,SNOW,0
US1CAAM0004,20130213,SNOW,0
US1CAAM0004,20130215,SNOW,0
US1CAAM0004,20130218,SNOW,0
US1CAAM0004,20130219,SNOW,0
US1CAAM0004,20130220,SNOW,61
US1CAAM0004,20130221,SNOW,0
US1CAAM0004,20130302,PRCP,0
US1CAAM0004,20130303,PRCP,0
US1CAAM0004,20130304,PRCP,8
US1CAAM0004,20130305,PRCP,0
US1CAAM0004,20130306,PRCP,208
US1CAAM0004,20130307,PRCP,41
US1CAAM0004,20130308,PRCP,36
US1CAAM0004,20130309,PRCP,0
US1CAAM0004,20130320,PRCP,155
US1CAAM0004,20130321,PRCP,41
US1CAAM0004,20130322,PRCP,3
US1CAAM0004,20130328,PRCP,3
US1CAAM0004,20130331,PRCP,180
US1CAAM0004,20130302,SNOW,0
US1CAAM0004,20130303,SNOW,0
US1CAAM0004,20130305,SNOW,0
US1CAAM0004,20130309,SNOW,0
US1CAAM0004,20130401,PRCP,8
US1CAAM0004,20130402,PRCP,3
US1CAAM0004,20130403,PRCP,0
US1CAAM0004,20130404,PRCP,15
US1CAAM0004,20130405,PRCP,112
US1CAAM0004,20130406,PRCP,5
US1CAAM0004,20130407,PRCP,0
US1CAAM0004,20130408,PRCP,99
US1CAAM0004,20130409,PRCP,5
US1CAAM0004,20130411,PRCP,0
US1CAAM0004,20130412,PRCP,0
US1CAAM0004,20130415,PRCP,5
US1CAAM0004,20130416,PRCP,13
US1CAAM0004,20130417,PRCP,0
US1CAAM0004,20130418,PRCP,0
US1CAAM0004,20130419,PRCP,0
US1CAAM0004,20130403,SNOW,0
US1CAAM0004,20130411,SNOW,0
US1CAAM0004,20130412,SNOW,0
US1CAAM0004,20130418,SNOW,0
US1CAAM0004,20130419,SNOW,0
US1CAAM0004,20130506,PRCP,10
US1CAAM0004,20130507,PRCP,127
US1CAAM0004,20130508,PRCP,23
US1CAAM0004,20130509,PRCP,3
US1CAAM0004,20130510,PRCP,0
US1CAAM0004,20130516,PRCP,8
US1CAAM0004,20130528,PRCP,28
US1CAAM0004,20130529,PRCP,5
US1CAAM0004,20130510,SNOW,0
US1CAAM0004,20130624,PRCP,5
US1CAAM0004,20130625,PRCP,76
US1CAAM0004,20130626,PRCP,23
US1CAAM0004,20131120,PRCP,191
US1CAAM0004,20131121,PRCP,188
US1CAAM0004,20131122,PRCP,0
US1CAAM0004,20131122,SNOW,0
US1CAAM0004,20131204,PRCP,5
US1CAAM0004,20140112,PRCP,117
US1CAAM0004,20140113,PRCP,0
US1CAAM0004,20140130,PRCP,127
US1CAAM0004,20140131,PRCP,140
US1CAAM0004,20140113,SNOW,0
US1CAAM0004,20140201,PRCP,5
US1CAAM0004,20140206,PRCP,25
US1CAAM0004,20140207,PRCP,36
US1CAAM0004,20140208,PRCP,213
US1CAAM0004,20140211,PRCP,10
US1CAAM0004,20140213,PRCP,0
US1CAAM0004,20140216,PRCP,81
US1CAAM0004,20140217,PRCP,0
US1CAAM0004,20140219,PRCP,5
US1CAAM0004,20140227,PRCP,259
US1CAAM0004,20140228,PRCP,48
US1CAAM0004,20140213,SNOW,0
US1CAAM0004,20140217,SNOW,0
US1CAAM0004,20140210,DAPR,2
US1CAAM0004,20140210,MDPR,1367
US1CAAM0004,20140301,PRCP,310
US1CAAM0004,20140302,PRCP,5
US1CAAM0004,20140303,PRCP,61
US1CAAM0004,20140304,PRCP,196
US1CAAM0004,20140305,PRCP,5
US1CAAM0004,20140307,PRCP,0
US1CAAM0004,20140308,PRCP,0
US1CAAM0004,20140309,PRCP,3
US1CAAM0004,20140310,PRCP,8
US1CAAM0004,20140311,PRCP,51
US1CAAM0004,20140326,PRCP,61
US1CAAM0004,20140327,PRCP,124
US1CAAM0004,20140330,PRCP,427
US1CAAM0004,20140331,PRCP,8
US1CAAM0004,20140307,SNOW,0
US1CAAM0004,20140308,SNOW,0
US1CAAM0004,20140401,PRCP,130
US1CAAM0004,20140402,PRCP,112
US1CAAM0004,20140403,PRCP,5
US1CAAM0004,20140404,PRCP,0
US1CAAM0004,20140405,PRCP,5
US1CAAM0004,20140406,PRCP,0
US1CAAM0004,20140425,PRCP,81
US1CAAM0004,20140426,PRCP,340
US1CAAM0004,20140427,PRCP,8
US1CAAM0004,20140428,PRCP,0
US1CAAM0004,20140404,SNOW,0
US1CAAM0004,20140406,SNOW,0
US1CAAM0004,20140428,SNOW,0
US1CAAM0004,20140507,PRCP,25
US1CAAM0004,20140509,PRCP,13
US1CAAM0004,20140522,PRCP,23
US1CAAM0004,20140926,PRCP,86
US1CAAM0004,20140927,PRCP,76
US1CAAM0004,20140928,PRCP,10
US1CAAM0004,20140929,PRCP,10
US1CAAM0004,20140930,PRCP,0
US1CAAM0004,20140930,SNOW,0
US1CAAM0004,20141001,PRCP,0
US1CAAM0004,20141002,PRCP,0
US1CAAM0004,20141004,PRCP,0
US1CAAM0004,20141005,PRCP,0
US1CAAM0004,20141006,PRCP,0
US1CAAM0004,20141007,PRCP,0
US1CAAM0004,20141015,PRCP,3
US1CAAM0004,20141016,PRCP,18
US1CAAM0004,20141017,PRCP,0
US1CAAM0004,20141021,PRCP,5
US1CAAM0004,20141022,PRCP,0
US1CAAM0004,20141023,PRCP,0
US1CAAM0004,20141025,PRCP,0
US1CAAM0004,20141026,PRCP,168
US1CAAM0004,20141027,PRCP,0
US1CAAM0004,20141028,PRCP,0
US1CAAM0004,20141030,PRCP,0
US1CAAM0004,20141031,PRCP,3
US1CAAM0004,20141001,SNOW,0
US1CAAM0004,20141002,SNOW,0
US1CAAM0004,20141004,SNOW,0
US1CAAM0004,20141005,SNOW,0
US1CAAM0004,20141006,SNOW,0
US1CAAM0004,20141007,SNOW,0
US1CAAM0004,20141017,SNOW,0
US1CAAM0004,20141022,SNOW,0
US1CAAM0004,20141023,SNOW,0
US1CAAM0004,20141025,SNOW,0
US1CAAM0004,20141027,SNOW,0
US1CAAM0004,20141028,SNOW,0
US1CAAM0004,20141030,SNOW,0
US1CAAM0004,20141101,PRCP,310
US1CAAM0004,20141102,PRCP,3
US1CAAM0004,20141103,PRCP,0
US1CAAM0004,20141104,PRCP,0
US1CAAM0004,20141105,PRCP,0
US1CAAM0004,20141107,PRCP,0
US1CAAM0004,20141108,PRCP,0
US1CAAM0004,20141110,PRCP,0
US1CAAM0004,20141112,PRCP,0
US1CAAM0004,20141113,PRCP,74
US1CAAM0004,20141114,PRCP,25
US1CAAM0004,20141117,PRCP,0
US1CAAM0004,20141118,PRCP,3
US1CAAM0004,20141119,PRCP,3
US1CAAM0004,20141120,PRCP,8
US1CAAM0004,20141121,PRCP,142
US1CAAM0004,20141122,PRCP,18
US1CAAM0004,20141123,PRCP,71
US1CAAM0004,20141124,PRCP,3
US1CAAM0004,20141125,PRCP,0
US1CAAM0004,20141126,PRCP,0
US1CAAM0004,20141127,PRCP,0
US1CAAM0004,20141128,PRCP,0
US1CAAM0004,20141129,PRCP,41
US1CAAM0004,20141130,PRCP,28
US1CAAM0004,20141103,SNOW,0
US1CAAM0004,20141104,SNOW,0
US1CAAM0004,20141105,SNOW,0
US1CAAM0004,20141107,SNOW,0
US1CAAM0004,20141108,SNOW,0
US1CAAM0004,20141110,SNOW,0
US1CAAM0004,20141112,SNOW,0
US1CAAM0004,20141117,SNOW,0
US1CAAM0004,20141125,SNOW,0
US1CAAM0004,20141126,SNOW,0
US1CAAM0004,20141127,SNOW,0
US1CAAM0004,20141128,SNOW,0
US1CAAM0004,20141201,PRCP,99
US1CAAM0004,20141202,PRCP,5
US1CAAM0004,20141203,PRCP,277
US1CAAM0004,20141204,PRCP,343
US1CAAM0004,20141205,PRCP,43
US1CAAM0004,20141206,PRCP,25
US1CAAM0004,20141207,PRCP,5
US1CAAM0004,20141208,PRCP,3
US1CAAM0004,20141209,PRCP,0
US1CAAM0004,20141210,PRCP,0
US1CAAM0004,20141211,PRCP,0
US1CAAM0004,20141212,PRCP,1260
US1CAAM0004,20141213,PRCP,36
US1CAAM0004,20141214,PRCP,5
US1CAAM0004,20141215,PRCP,0
US1CAAM0004,20141216,PRCP,66
US1CAAM0004,20141217,PRCP,112
US1CAAM0004,20141218,PRCP,79
US1CAAM0004,20141219,PRCP,5
US1CAAM0004,20141220,PRCP,236
US1CAAM0004,20141221,PRCP,8
US1CAAM0004,20141222,PRCP,3
US1CAAM0004,20141223,PRCP,5
US1CAAM0004,20141224,PRCP,3
US1CAAM0004,20141225,PRCP,51
US1CAAM0004,20141226,PRCP,0
US1CAAM0004,20141227,PRCP,0
US1CAAM0004,20141228,PRCP,0
US1CAAM0004,20141229,PRCP,0
US1CAAM0004,20141230,PRCP,0
US1CAAM0004,20141231,PRCP,0
US1CAAM0004,20141209,SNOW,0
US1CAAM0004,20141210,SNOW,0
US1CAAM0004,20141211,SNOW,0
US1CAAM0004,20141226,SNOW,0
US1CAAM0004,20141227,SNOW,0
US1CAAM0004,20141228,SNOW,0
US1CAAM0004,20141229,SNOW,0
US1CAAM0004,20141230,SNOW,0
US1CAAM0004,20141231,SNOW,0
US1CAAM0004,20150101,PRCP,0
US1CAAM0004,20150102,PRCP,0
US1CAAM0004,20150105,PRCP,0
US1CAAM0004,20150106,PRCP,0
US1CAAM0004,20150107,PRCP,0
US1CAAM0004,20150108,PRCP,0
US1CAAM0004,20150109,PRCP,0
US1CAAM0004,20150111,PRCP,0
US1CAAM0004,20150112,PRCP,0
US1CAAM0004,20150113,PRCP,0
US1CAAM0004,20150114,PRCP,3
US1CAAM0004,20150115,PRCP,0
US1CAAM0004,20150116,PRCP,0
US1CAAM0004,20150117,PRCP,0
US1CAAM0004,20150118,PRCP,0
US1CAAM0004,20150119,PRCP,0
US1CAAM0004,20150120,PRCP,8
US1CAAM0004,20150121,PRCP,5
US1CAAM0004,20150122,PRCP,5
US1CAAM0004,20150123,PRCP,0
US1CAAM0004,20150124,PRCP,0
US1CAAM0004,20150125,PRCP,0
US1CAAM0004,20150126,PRCP,0
US1CAAM0004,20150127,PRCP,0
US1CAAM0004,20150128,PRCP,0
US1CAAM0004,20150129,PRCP,0
US1CAAM0004,20150130,PRCP,0
US1CAAM0004,20150131,PRCP,0
US1CAAM0004,20150101,SNOW,0
US1CAAM0004,20150102,SNOW,0
US1CAAM0004,20150105,SNOW,0
US1CAAM0004,20150106,SNOW,0
US1CAAM0004,20150107,SNOW,0
US1CAAM0004,20150108,SNOW,0
US1CAAM0004,20150109,SNOW,0
US1CAAM0004,20150111,SNOW,0
US1CAAM0004,20150112,SNOW,0
US1CAAM0004,20150113,SNOW,0
US1CAAM0004,20150116,SNOW,0
US1CAAM0004,20150117,SNOW,0
US1CAAM0004,20150118,SNOW,0
US1CAAM0004,20150123,SNOW,0
US1CAAM0004,20150124,SNOW,0
US1CAAM0004,20150125,SNOW,0
US1CAAM0004,20150126,SNOW,0
US1CAAM0004,20150127,SNOW,0
US1CAAM0004,20150129,SNOW,0
US1CAAM0004,20150130,SNOW,0
US1CAAM0004,20150131,SNOW,0
US1CAAM0004,20150201,PRCP,0
US1CAAM0004,20150202,PRCP,0
US1CAAM0004,20150203,PRCP,0
US1CAAM0004,20150204,PRCP,0
US1CAAM0004,20150205,PRCP,0
US1CAAM0004,20150206,PRCP,0
US1CAAM0004,20150207,PRCP,544
US1CAAM0004,20150208,PRCP,363
US1CAAM0004,20150209,PRCP,538
US1CAAM0004,20150210,PRCP,3
US1CAAM0004,20150211,PRCP,0
US1CAAM0004,20150212,PRCP,0
US1CAAM0004,20150213,PRCP,0
US1CAAM0004,20150214,PRCP,0
US1CAAM0004,20150215,PRCP,0
US1CAAM0004,20150216,PRCP,0
US1CAAM0004,20150217,PRCP,0
US1CAAM0004,20150218,PRCP,3
US1CAAM0004,20150219,PRCP,0
US1CAAM0004,20150220,PRCP,5
US1CAAM0004,20150221,PRCP,3
US1CAAM0004,20150222,PRCP,3
US1CAAM0004,20150223,PRCP,0
US1CAAM0004,20150224,PRCP,0
US1CAAM0004,20150225,PRCP,0
US1CAAM0004,20150226,PRCP,0
US1CAAM0004,20150227,PRCP,0
US1CAAM0004,20150228,PRCP,91
US1CAAM0004,20150201,SNOW,0
US1CAAM0004,20150202,SNOW,0
US1CAAM0004,20150203,SNOW,0
US1CAAM0004,20150204,SNOW,0
US1CAAM0004,20150205,SNOW,0
US1CAAM0004,20150206,SNOW,0
US1CAAM0004,20150212,SNOW,0
US1CAAM0004,20150213,SNOW,0
US1CAAM0004,20150214,SNOW,0
US1CAAM0004,20150215,SNOW,0
US1CAAM0004,20150216,SNOW,0
US1CAAM0004,20150217,SNOW,0
US1CAAM0004,20150224,SNOW,0
US1CAAM0004,20150225,SNOW,0
US1CAAM0004,20150226,SNOW,0
US1CAAM0004,20150227,SNOW,0
US1CAAM0004,20150301,PRCP,86
US1CAAM0004,20150302,PRCP,5
US1CAAM0004,20150303,PRCP,18
US1CAAM0004,20150304,PRCP,3
US1CAAM0004,20150305,PRCP,0
US1CAAM0004,20150306,PRCP,0
US1CAAM0004,20150307,PRCP,0
US1CAAM0004,20150309,PRCP,0
US1CAAM0004,20150310,PRCP,0
US1CAAM0004,20150311,PRCP,10
US1CAAM0004,20150312,PRCP,41
US1CAAM0004,20150313,PRCP,3
US1CAAM0004,20150316,PRCP,0
US1CAAM0004,20150317,PRCP,0
US1CAAM0004,20150318,PRCP,0
US1CAAM0004,20150319,PRCP,0
US1CAAM0004,20150320,PRCP,0
US1CAAM0004,20150321,PRCP,0
US1CAAM0004,20150322,PRCP,0
US1CAAM0004,20150323,PRCP,109
US1CAAM0004,20150324,PRCP,5
US1CAAM0004,20150325,PRCP,0
US1CAAM0004,20150326,PRCP,0
US1CAAM0004,20150327,PRCP,0
US1CAAM0004,20150328,PRCP,0
US1CAAM0004,20150329,PRCP,0
US1CAAM0004,20150331,PRCP,0
US1CAAM0004,20150305,SNOW,0
US1CAAM0004,20150306,SNOW,0
