id,date,obs,obs_value
US1CAED0012,20111120,PRCP,51
US1CAED0012,20111121,PRCP,5
US1CAED0012,20111125,PRCP,10
US1CAED0012,20111215,PRCP,15
US1CAED0012,20111231,PRCP,0
US1CAED0012,20120120,PRCP,104
US1CAED0012,20120121,PRCP,777
US1CAED0012,20120122,PRCP,53
US1CAED0012,20120123,PRCP,351
US1CAED0012,20120124,PRCP,102
US1CAED0012,20120126,PRCP,18
US1CAED0012,20120123,SNOW,15
US1CAED0012,20120201,PRCP,38
US1CAED0012,20120208,PRCP,20
US1CAED0012,20120211,PRCP,13
US1CAED0012,20120213,PRCP,226
US1CAED0012,20120214,PRCP,43
US1CAED0012,20120215,PRCP,64
US1CAED0012,20120219,PRCP,10
US1CAED0012,20120227,PRCP,13
US1CAED0012,20120228,PRCP,10
US1CAED0012,20120229,PRCP,20
US1CAED0012,20120213,SNOW,13
US1CAED0012,20120214,SNOW,13
US1CAED0012,20120215,SNOW,25
US1CAED0012,20120227,SNOW,3
US1CAED0012,20120229,SNOW,13
US1CAED0012,20120213,SNWD,13
US1CAED0012,20120215,SNWD,25
US1CAED0012,20120227,SNWD,3
US1CAED0012,20120301,PRCP,168
US1CAED0012,20120302,PRCP,168
US1CAED0012,20120307,PRCP,28
US1CAED0012,20120311,PRCP,15
US1CAED0012,20120313,PRCP,15
US1CAED0012,20120314,PRCP,328
US1CAED0012,20120315,PRCP,500
US1CAED0012,20120316,PRCP,224
US1CAED0012,20120317,PRCP,602
US1CAED0012,20120318,PRCP,389
US1CAED0012,20120319,PRCP,104
US1CAED0012,20120323,PRCP,10
US1CAED0012,20120325,PRCP,71
US1CAED0012,20120326,PRCP,94
US1CAED0012,20120327,PRCP,8
US1CAED0012,20120328,PRCP,79
US1CAED0012,20120329,PRCP,140
US1CAED0012,20120330,PRCP,8
US1CAED0012,20120331,PRCP,13
US1CAED0012,20120301,SNOW,25
US1CAED0012,20120302,SNOW,84
US1CAED0012,20120307,SNOW,5
US1CAED0012,20120317,SNOW,20
US1CAED0012,20120318,SNOW,274
US1CAED0012,20120319,SNOW,89
US1CAED0012,20120323,SNOW,3
US1CAED0012,20120325,SNOW,25
US1CAED0012,20120401,PRCP,353
US1CAED0012,20120402,PRCP,8
US1CAED0012,20120404,PRCP,69
US1CAED0012,20120411,PRCP,137
US1CAED0012,20120412,PRCP,178
US1CAED0012,20120413,PRCP,371
US1CAED0012,20120414,PRCP,147
US1CAED0012,20120426,PRCP,351
US1CAED0012,20120427,PRCP,58
US1CAED0012,20120401,SNOW,86
US1CAED0012,20120413,SNOW,25
US1CAED0012,20120414,SNOW,64
US1CAED0012,20120504,PRCP,3
US1CAED0012,20120526,PRCP,3
US1CAED0012,20120527,PRCP,76
US1CAED0012,20120605,PRCP,218
US1CAED0012,20120624,PRCP,10
US1CAED0012,20120723,PRCP,51
US1CAED0012,20120805,PRCP,5
US1CAED0012,20120906,PRCP,38
US1CAED0012,20121022,PRCP,114
US1CAED0012,20121023,PRCP,323
US1CAED0012,20121024,PRCP,28
US1CAED0012,20121025,PRCP,53
US1CAED0012,20121101,PRCP,122
US1CAED0012,20121109,PRCP,66
US1CAED0012,20121110,PRCP,117
US1CAED0012,20121111,PRCP,81
US1CAED0012,20121117,PRCP,124
US1CAED0012,20121118,PRCP,399
US1CAED0012,20121119,PRCP,104
US1CAED0012,20121121,PRCP,163
US1CAED0012,20121122,PRCP,79
US1CAED0012,20121129,PRCP,234
US1CAED0012,20121130,PRCP,257
US1CAED0012,20121110,SNOW,46
US1CAED0012,20121111,SNOW,25
US1CAED0012,20121201,PRCP,523
US1CAED0012,20121202,PRCP,183
US1CAED0012,20121203,PRCP,328
US1CAED0012,20121205,PRCP,211
US1CAED0012,20121206,PRCP,112
US1CAED0012,20121212,PRCP,124
US1CAED0012,20121213,PRCP,117
US1CAED0012,20121215,PRCP,5
US1CAED0012,20121216,PRCP,5
US1CAED0012,20121217,PRCP,157
US1CAED0012,20121218,PRCP,191
US1CAED0012,20121222,PRCP,61
US1CAED0012,20121223,PRCP,312
US1CAED0012,20121224,PRCP,244
US1CAED0012,20121226,PRCP,391
US1CAED0012,20121227,PRCP,193
US1CAED0012,20121213,SNOW,8
US1CAED0012,20121223,SNOW,20
US1CAED0012,20121226,SNOW,13
US1CAED0012,20121227,SNOW,15
US1CAED0012,20130106,PRCP,20
US1CAED0012,20130107,PRCP,30
US1CAED0012,20130110,PRCP,107
US1CAED0012,20130111,PRCP,3
US1CAED0012,20130112,PRCP,3
US1CAED0012,20130124,PRCP,3
US1CAED0012,20130125,PRCP,183
US1CAED0012,20130126,PRCP,3
US1CAED0012,20130127,PRCP,8
US1CAED0012,20130107,SNOW,3
US1CAED0012,20130110,SNOW,20
US1CAED0012,20130111,SNOW,0
US1CAED0012,20130112,SNOW,3
US1CAED0012,20130208,PRCP,58
US1CAED0012,20130209,PRCP,5
US1CAED0012,20130220,PRCP,188
US1CAED0012,20130224,PRCP,10
US1CAED0012,20130208,SNOW,8
US1CAED0012,20130220,SNOW,185
US1CAED0012,20130303,PRCP,41
US1CAED0012,20130304,PRCP,104
US1CAED0012,20130306,PRCP,91
US1CAED0012,20130307,PRCP,28
US1CAED0012,20130308,PRCP,18
US1CAED0012,20130309,PRCP,13
US1CAED0012,20130320,PRCP,236
US1CAED0012,20130321,PRCP,213
US1CAED0012,20130331,PRCP,163
US1CAED0012,20130401,PRCP,165
US1CAED0012,20130402,PRCP,13
US1CAED0012,20130405,PRCP,150
US1CAED0012,20130408,PRCP,117
US1CAED0012,20130416,PRCP,150
US1CAED0012,20130416,SNOW,5
US1CAED0012,20130506,PRCP,94
US1CAED0012,20130507,PRCP,61
US1CAED0012,20130508,PRCP,114
US1CAED0012,20130509,PRCP,33
US1CAED0012,20130517,PRCP,84
US1CAED0012,20130528,PRCP,66
US1CAED0012,20130529,PRCP,28
US1CAED0012,20130624,PRCP,23
US1CAED0012,20130625,PRCP,234
US1CAED0012,20130626,PRCP,66
US1CAED0012,20130922,PRCP,338
US1CAED0012,20131028,PRCP,152
US1CAED0012,20131029,PRCP,15
US1CAED0012,20131120,PRCP,229
US1CAED0012,20131121,PRCP,185
US1CAED0012,20131203,PRCP,15
US1CAED0012,20131207,PRCP,170
US1CAED0012,20131207,SNOW,203
US1CAED0012,20140112,PRCP,30
US1CAED0012,20140130,PRCP,234
US1CAED0012,20140131,PRCP,46
US1CAED0012,20140206,PRCP,28
US1CAED0012,20140207,PRCP,86
US1CAED0012,20140208,PRCP,376
US1CAED0012,20140209,PRCP,1471
US1CAED0012,20140210,PRCP,780
US1CAED0012,20140211,PRCP,3
US1CAED0012,20140216,PRCP,135
US1CAED0012,20140219,PRCP,20
US1CAED0012,20140227,PRCP,378
US1CAED0012,20140228,PRCP,51
US1CAED0012,20140301,PRCP,328
US1CAED0012,20140302,PRCP,5
US1CAED0012,20140303,PRCP,41
US1CAED0012,20140304,PRCP,246
US1CAED0012,20140305,PRCP,25
US1CAED0012,20140306,PRCP,267
US1CAED0012,20140307,PRCP,43
US1CAED0012,20140310,PRCP,5
US1CAED0012,20140326,PRCP,97
US1CAED0012,20140327,PRCP,236
US1CAED0012,20140328,PRCP,58
US1CAED0012,20140330,PRCP,442
US1CAED0012,20140331,PRCP,33
US1CAED0012,20140401,PRCP,224
US1CAED0012,20140402,PRCP,38
US1CAED0012,20140405,PRCP,13
US1CAED0012,20140422,PRCP,8
US1CAED0012,20140423,PRCP,13
US1CAED0012,20140425,PRCP,193
US1CAED0012,20140426,PRCP,406
US1CAED0012,20140401,SNOW,51
US1CAED0012,20140426,SNOW,5
US1CAED0012,20140507,PRCP,30
US1CAED0012,20140509,PRCP,58
US1CAED0012,20140521,PRCP,43
US1CAED0012,20140522,PRCP,107
US1CAED0012,20140721,PRCP,8
US1CAED0012,20140908,PRCP,5
US1CAED0012,20140921,PRCP,3
US1CAED0012,20140922,PRCP,10
US1CAED0012,20140926,PRCP,218
US1CAED0012,20140927,PRCP,81
US1CAED0012,20140928,PRCP,76
US1CAED0012,20140929,PRCP,15
US1CAED0012,20141016,PRCP,46
US1CAED0012,20141021,PRCP,33
US1CAED0012,20141026,PRCP,147
US1CAED0012,20141101,PRCP,363
US1CAED0012,20141113,PRCP,53
US1CAED0012,20141114,PRCP,76
US1CAED0012,20141120,PRCP,15
US1CAED0012,20141121,PRCP,130
US1CAED0012,20141122,PRCP,89
US1CAED0012,20141123,PRCP,132
US1CAED0012,20141129,PRCP,76
US1CAED0012,20141130,PRCP,58
US1CAED0012,20141201,PRCP,91
US1CAED0012,20141203,PRCP,279
US1CAED0012,20141204,PRCP,312
US1CAED0012,20141205,PRCP,48
US1CAED0012,20141206,PRCP,15
US1CAED0012,20141207,PRCP,5
US1CAED0012,20141212,PRCP,1011
US1CAED0012,20141213,PRCP,69
US1CAED0012,20141216,PRCP,41
US1CAED0012,20141217,PRCP,99
US1CAED0012,20141218,PRCP,81
US1CAED0012,20141220,PRCP,384
US1CAED0012,20141221,PRCP,71
US1CAED0012,20141222,PRCP,5
US1CAED0012,20141225,PRCP,94
US1CAED0012,20150128,PRCP,13
US1CAED0012,20150207,PRCP,701
US1CAED0012,20150208,PRCP,368
US1CAED0012,20150209,PRCP,513
US1CAED0012,20150210,PRCP,51
US1CAED0012,20150228,PRCP,102
US1CAED0012,20150301,PRCP,18
US1CAED0012,20150303,PRCP,61
US1CAED0012,20150312,PRCP,46
US1CAED0012,20150318,PRCP,8
US1CAED0012,20150323,PRCP,89
US1CAED0012,20150406,PRCP,51
US1CAED0012,20150408,PRCP,277
US1CAED0012,20150425,PRCP,422
US1CAED0012,20150426,PRCP,23
US1CAED0012,20150408,SNOW,64
