id,date,obs,obs_value
US1CALA0064,20160125,PRCP,0
US1CALA0064,20160126,PRCP,0
US1CALA0064,20160128,PRCP,0
US1CALA0064,20160129,PRCP,0
US1CALA0064,20160130,PRCP,0
US1CALA0064,20160131,PRCP,0
US1CALA0064,20160124,SNOW,0
US1CALA0064,20160125,SNOW,0
US1CALA0064,20160126,SNOW,0
US1CALA0064,20160128,SNOW,0
US1CALA0064,20160129,SNOW,0
US1CALA0064,20160130,SNOW,0
US1CALA0064,20160131,SNOW,0
US1CALA0064,20160201,PRCP,84
US1CALA0064,20160203,PRCP,0
US1CALA0064,20160218,PRCP,155
US1CALA0064,20160219,PRCP,36
US1CALA0064,20160220,PRCP,0
US1CALA0064,20160203,SNOW,0
US1CALA0064,20160220,SNOW,0
US1CALA0064,20160306,PRCP,257
US1CALA0064,20160307,PRCP,61
US1CALA0064,20160308,PRCP,10
US1CALA0064,20160311,PRCP,0
US1CALA0064,20160312,PRCP,119
US1CALA0064,20160313,PRCP,0
US1CALA0064,20160314,PRCP,0
US1CALA0064,20160328,PRCP,0
US1CALA0064,20160329,PRCP,0
US1CALA0064,20160311,SNOW,0
US1CALA0064,20160313,SNOW,0
US1CALA0064,20160328,SNOW,0
US1CALA0064,20160408,PRCP,20
US1CALA0064,20160409,PRCP,43
US1CALA0064,20160508,PRCP,23
US1CALA0064,20161017,PRCP,43
US1CALA0064,20161018,PRCP,5
US1CALA0064,20161024,PRCP,18
US1CALA0064,20161025,PRCP,15
US1CALA0064,20161029,PRCP,8
US1CALA0064,20161031,PRCP,10
US1CALA0064,20161121,PRCP,234
US1CALA0064,20161127,PRCP,48
US1CALA0064,20161211,PRCP,3
US1CALA0064,20161216,PRCP,417
US1CALA0064,20161217,PRCP,25
US1CALA0064,20161222,PRCP,165
US1CALA0064,20161223,PRCP,33
US1CALA0064,20161224,PRCP,432
US1CALA0064,20161230,PRCP,10
US1CALA0064,20161231,PRCP,64
US1CALA0064,20170103,PRCP,0
US1CALA0064,20170104,PRCP,0
US1CALA0064,20170105,PRCP,86
US1CALA0064,20170106,PRCP,20
US1CALA0064,20170107,PRCP,25
US1CALA0064,20170108,PRCP,8
US1CALA0064,20170109,PRCP,180
US1CALA0064,20170110,PRCP,3
US1CALA0064,20170111,PRCP,86
US1CALA0064,20170112,PRCP,191
US1CALA0064,20170113,PRCP,246
US1CALA0064,20170114,PRCP,3
US1CALA0064,20170115,PRCP,0
US1CALA0064,20170116,PRCP,0
US1CALA0064,20170117,PRCP,0
US1CALA0064,20170119,PRCP,168
US1CALA0064,20170120,PRCP,53
US1CALA0064,20170121,PRCP,290
US1CALA0064,20170122,PRCP,28
US1CALA0064,20170123,PRCP,551
US1CALA0064,20170124,PRCP,33
US1CALA0064,20170125,PRCP,0
US1CALA0064,20170126,PRCP,0
US1CALA0064,20170127,PRCP,0
US1CALA0064,20170128,PRCP,0
US1CALA0064,20170129,PRCP,0
US1CALA0064,20170130,PRCP,0
US1CALA0064,20170131,PRCP,0
US1CALA0064,20170103,SNOW,0
US1CALA0064,20170104,SNOW,0
US1CALA0064,20170115,SNOW,0
US1CALA0064,20170116,SNOW,0
US1CALA0064,20170117,SNOW,0
US1CALA0064,20170125,SNOW,0
US1CALA0064,20170126,SNOW,0
US1CALA0064,20170127,SNOW,0
US1CALA0064,20170128,SNOW,0
US1CALA0064,20170129,SNOW,0
US1CALA0064,20170130,SNOW,0
US1CALA0064,20170131,SNOW,0
US1CALA0064,20170201,PRCP,0
US1CALA0064,20170202,PRCP,0
US1CALA0064,20170203,PRCP,8
US1CALA0064,20170204,PRCP,25
US1CALA0064,20170205,PRCP,0
US1CALA0064,20170206,PRCP,127
US1CALA0064,20170207,PRCP,94
US1CALA0064,20170208,PRCP,43
US1CALA0064,20170209,PRCP,0
US1CALA0064,20170210,PRCP,0
US1CALA0064,20170211,PRCP,137
US1CALA0064,20170212,PRCP,3
US1CALA0064,20170213,PRCP,0
US1CALA0064,20170214,PRCP,0
US1CALA0064,20170215,PRCP,0
US1CALA0064,20170216,PRCP,0
US1CALA0064,20170217,PRCP,3
US1CALA0064,20170218,PRCP,602
US1CALA0064,20170219,PRCP,5
US1CALA0064,20170220,PRCP,13
US1CALA0064,20170221,PRCP,3
US1CALA0064,20170222,PRCP,15
US1CALA0064,20170223,PRCP,0
US1CALA0064,20170224,PRCP,0
US1CALA0064,20170225,PRCP,0
US1CALA0064,20170226,PRCP,18
US1CALA0064,20170227,PRCP,3
US1CALA0064,20170228,PRCP,0
US1CALA0064,20170201,SNOW,0
US1CALA0064,20170202,SNOW,0
US1CALA0064,20170205,SNOW,0
US1CALA0064,20170210,SNOW,0
US1CALA0064,20170213,SNOW,0
US1CALA0064,20170214,SNOW,0
US1CALA0064,20170215,SNOW,0
US1CALA0064,20170216,SNOW,0
US1CALA0064,20170223,SNOW,0
US1CALA0064,20170224,SNOW,0
US1CALA0064,20170225,SNOW,0
US1CALA0064,20170228,SNOW,0
US1CALA0064,20170301,PRCP,0
US1CALA0064,20170302,PRCP,0
US1CALA0064,20170303,PRCP,0
US1CALA0064,20170304,PRCP,0
US1CALA0064,20170305,PRCP,0
US1CALA0064,20170306,PRCP,5
US1CALA0064,20170307,PRCP,0
US1CALA0064,20170308,PRCP,0
US1CALA0064,20170309,PRCP,0
US1CALA0064,20170310,PRCP,0
US1CALA0064,20170311,PRCP,0
US1CALA0064,20170312,PRCP,0
US1CALA0064,20170313,PRCP,0
US1CALA0064,20170314,PRCP,0
US1CALA0064,20170315,PRCP,0
US1CALA0064,20170316,PRCP,0
US1CALA0064,20170317,PRCP,0
US1CALA0064,20170318,PRCP,0
US1CALA0064,20170319,PRCP,0
US1CALA0064,20170320,PRCP,0
US1CALA0064,20170321,PRCP,0
US1CALA0064,20170322,PRCP,58
US1CALA0064,20170323,PRCP,0
US1CALA0064,20170324,PRCP,0
US1CALA0064,20170325,PRCP,0
US1CALA0064,20170326,PRCP,0
US1CALA0064,20170327,PRCP,0
US1CALA0064,20170328,PRCP,0
US1CALA0064,20170329,PRCP,0
US1CALA0064,20170330,PRCP,0
US1CALA0064,20170331,PRCP,0
US1CALA0064,20170301,SNOW,0
US1CALA0064,20170302,SNOW,0
US1CALA0064,20170303,SNOW,0
US1CALA0064,20170304,SNOW,0
US1CALA0064,20170305,SNOW,0
US1CALA0064,20170307,SNOW,0
US1CALA0064,20170308,SNOW,0
US1CALA0064,20170309,SNOW,0
US1CALA0064,20170310,SNOW,0
US1CALA0064,20170311,SNOW,0
US1CALA0064,20170312,SNOW,0
US1CALA0064,20170313,SNOW,0
US1CALA0064,20170314,SNOW,0
US1CALA0064,20170315,SNOW,0
US1CALA0064,20170316,SNOW,0
US1CALA0064,20170317,SNOW,0
US1CALA0064,20170318,SNOW,0
US1CALA0064,20170319,SNOW,0
US1CALA0064,20170320,SNOW,0
US1CALA0064,20170321,SNOW,0
US1CALA0064,20170323,SNOW,0
US1CALA0064,20170324,SNOW,0
US1CALA0064,20170325,SNOW,0
US1CALA0064,20170326,SNOW,0
US1CALA0064,20170327,SNOW,0
US1CALA0064,20170328,SNOW,0
US1CALA0064,20170329,SNOW,0
US1CALA0064,20170330,SNOW,0
US1CALA0064,20170331,SNOW,0
US1CALA0064,20170401,PRCP,0
US1CALA0064,20170402,PRCP,0
US1CALA0064,20170403,PRCP,0
US1CALA0064,20170404,PRCP,0
US1CALA0064,20170405,PRCP,0
US1CALA0064,20170406,PRCP,0
US1CALA0064,20170407,PRCP,0
US1CALA0064,20170408,PRCP,10
