id,date,obs,obs_value
US1CAMP0002,20091205,PRCP,0
US1CAMP0002,20091206,PRCP,0
US1CAMP0002,20091207,PRCP,13
US1CAMP0002,20091208,PRCP,196
US1CAMP0002,20091209,PRCP,0
US1CAMP0002,20091210,PRCP,0
US1CAMP0002,20091211,PRCP,0
US1CAMP0002,20091212,PRCP,389
US1CAMP0002,20091213,PRCP,765
US1CAMP0002,20091214,PRCP,71
US1CAMP0002,20091215,PRCP,0
US1CAMP0002,20091216,PRCP,0
US1CAMP0002,20091217,PRCP,0
US1CAMP0002,20091218,PRCP,0
US1CAMP0002,20091219,PRCP,0
US1CAMP0002,20091220,PRCP,0
US1CAMP0002,20091221,PRCP,0
US1CAMP0002,20091222,PRCP,277
US1CAMP0002,20091223,PRCP,0
US1CAMP0002,20091224,PRCP,0
US1CAMP0002,20091228,PRCP,10
US1CAMP0002,20091229,PRCP,25
US1CAMP0002,20091230,PRCP,66
US1CAMP0002,20091231,PRCP,10
US1CAMP0002,20091204,SNOW,0
US1CAMP0002,20091205,SNOW,0
US1CAMP0002,20091206,SNOW,0
US1CAMP0002,20091207,SNOW,0
US1CAMP0002,20091208,SNOW,89
US1CAMP0002,20091209,SNOW,0
US1CAMP0002,20091210,SNOW,0
US1CAMP0002,20091211,SNOW,0
US1CAMP0002,20091212,SNOW,0
US1CAMP0002,20091213,SNOW,0
US1CAMP0002,20091214,SNOW,0
US1CAMP0002,20091215,SNOW,0
US1CAMP0002,20091216,SNOW,0
US1CAMP0002,20091217,SNOW,0
US1CAMP0002,20091218,SNOW,0
US1CAMP0002,20091219,SNOW,0
US1CAMP0002,20091220,SNOW,0
US1CAMP0002,20091221,SNOW,0
US1CAMP0002,20091222,SNOW,0
US1CAMP0002,20091223,SNOW,0
US1CAMP0002,20091224,SNOW,0
US1CAMP0002,20091227,SNWD,0
US1CAMP0002,20091227,DAPR,3
US1CAMP0002,20091227,MDPR,33
US1CAMP0002,20091227,WESD,0
US1CAMP0002,20091204,WESF,0
US1CAMP0002,20091208,WESF,196
US1CAMP0002,20091209,WESF,0
US1CAMP0002,20091210,WESF,0
US1CAMP0002,20091211,WESF,0
US1CAMP0002,20091212,WESF,0
US1CAMP0002,20100202,PRCP,0
US1CAMP0002,20100203,PRCP,0
US1CAMP0002,20100205,PRCP,127
US1CAMP0002,20100206,PRCP,257
US1CAMP0002,20100207,PRCP,160
US1CAMP0002,20100208,PRCP,15
US1CAMP0002,20100209,PRCP,0
US1CAMP0002,20100210,PRCP,58
US1CAMP0002,20100211,PRCP,0
US1CAMP0002,20100212,PRCP,0
US1CAMP0002,20100213,PRCP,0
US1CAMP0002,20100214,PRCP,0
US1CAMP0002,20100215,PRCP,0
US1CAMP0002,20100216,PRCP,0
US1CAMP0002,20100217,PRCP,0
US1CAMP0002,20100218,PRCP,0
US1CAMP0002,20100219,PRCP,0
US1CAMP0002,20100220,PRCP,48
US1CAMP0002,20100221,PRCP,81
US1CAMP0002,20100222,PRCP,155
US1CAMP0002,20100223,PRCP,0
US1CAMP0002,20100224,PRCP,259
US1CAMP0002,20100225,PRCP,91
US1CAMP0002,20100226,PRCP,0
US1CAMP0002,20100227,PRCP,574
US1CAMP0002,20100228,PRCP,160
US1CAMP0002,20100202,SNOW,0
US1CAMP0002,20100203,SNOW,0
US1CAMP0002,20100209,SNOW,0
US1CAMP0002,20100211,SNOW,0
US1CAMP0002,20100212,SNOW,0
US1CAMP0002,20100213,SNOW,0
US1CAMP0002,20100214,SNOW,0
US1CAMP0002,20100215,SNOW,0
US1CAMP0002,20100216,SNOW,0
US1CAMP0002,20100217,SNOW,0
US1CAMP0002,20100218,SNOW,0
US1CAMP0002,20100219,SNOW,0
US1CAMP0002,20100223,SNOW,0
US1CAMP0002,20100226,SNOW,0
US1CAMP0002,20100201,DAPR,36
US1CAMP0002,20100201,MDPR,1811
US1CAMP0002,20100301,PRCP,0
US1CAMP0002,20100302,PRCP,0
US1CAMP0002,20100303,PRCP,94
US1CAMP0002,20100304,PRCP,290
US1CAMP0002,20100305,PRCP,8
US1CAMP0002,20100306,PRCP,0
US1CAMP0002,20100307,PRCP,15
US1CAMP0002,20100308,PRCP,3
US1CAMP0002,20100309,PRCP,117
US1CAMP0002,20100310,PRCP,13
US1CAMP0002,20100311,PRCP,10
US1CAMP0002,20100312,PRCP,0
US1CAMP0002,20100313,PRCP,272
US1CAMP0002,20100314,PRCP,0
US1CAMP0002,20100315,PRCP,0
US1CAMP0002,20100316,PRCP,0
US1CAMP0002,20100317,PRCP,0
US1CAMP0002,20100318,PRCP,0
US1CAMP0002,20100319,PRCP,0
US1CAMP0002,20100320,PRCP,0
US1CAMP0002,20100321,PRCP,0
US1CAMP0002,20100322,PRCP,0
US1CAMP0002,20100323,PRCP,0
US1CAMP0002,20100324,PRCP,0
US1CAMP0002,20100325,PRCP,0
US1CAMP0002,20100326,PRCP,0
US1CAMP0002,20100327,PRCP,0
US1CAMP0002,20100328,PRCP,0
US1CAMP0002,20100329,PRCP,0
US1CAMP0002,20100330,PRCP,3
US1CAMP0002,20100331,PRCP,183
US1CAMP0002,20100301,SNOW,0
US1CAMP0002,20100302,SNOW,0
US1CAMP0002,20100304,SNOW,97
US1CAMP0002,20100305,SNOW,0
US1CAMP0002,20100306,SNOW,0
US1CAMP0002,20100309,SNOW,58
US1CAMP0002,20100310,SNOW,15
US1CAMP0002,20100312,SNOW,0
US1CAMP0002,20100314,SNOW,0
US1CAMP0002,20100315,SNOW,0
US1CAMP0002,20100316,SNOW,0
US1CAMP0002,20100317,SNOW,0
US1CAMP0002,20100318,SNOW,0
US1CAMP0002,20100319,SNOW,0
US1CAMP0002,20100320,SNOW,0
US1CAMP0002,20100321,SNOW,0
US1CAMP0002,20100322,SNOW,0
US1CAMP0002,20100323,SNOW,0
US1CAMP0002,20100324,SNOW,0
US1CAMP0002,20100325,SNOW,0
US1CAMP0002,20100326,SNOW,0
US1CAMP0002,20100327,SNOW,0
US1CAMP0002,20100328,SNOW,0
US1CAMP0002,20100329,SNOW,0
US1CAMP0002,20100331,SNOW,0
US1CAMP0002,20100304,SNWD,102
US1CAMP0002,20100305,SNWD,0
US1CAMP0002,20100306,SNWD,0
US1CAMP0002,20100309,SNWD,64
US1CAMP0002,20100310,SNWD,13
US1CAMP0002,20100331,SNWD,0
US1CAMP0002,20100304,WESD,165
US1CAMP0002,20100305,WESD,0
US1CAMP0002,20100309,WESD,91
US1CAMP0002,20100310,WESD,10
US1CAMP0002,20100304,WESF,165
US1CAMP0002,20100305,WESF,0
US1CAMP0002,20100309,WESF,91
US1CAMP0002,20100310,WESF,10
US1CAMP0002,20100401,PRCP,150
US1CAMP0002,20100402,PRCP,23
US1CAMP0002,20100403,PRCP,46
US1CAMP0002,20100404,PRCP,0
US1CAMP0002,20100405,PRCP,513
US1CAMP0002,20100406,PRCP,5
US1CAMP0002,20100407,PRCP,0
US1CAMP0002,20100408,PRCP,0
US1CAMP0002,20100409,PRCP,0
US1CAMP0002,20100410,PRCP,0
US1CAMP0002,20100411,PRCP,0
US1CAMP0002,20100412,PRCP,333
US1CAMP0002,20100413,PRCP,216
US1CAMP0002,20100414,PRCP,15
US1CAMP0002,20100415,PRCP,0
US1CAMP0002,20100416,PRCP,0
US1CAMP0002,20100419,PRCP,0
US1CAMP0002,20100420,PRCP,38
US1CAMP0002,20100423,PRCP,5
US1CAMP0002,20100424,PRCP,0
US1CAMP0002,20100425,PRCP,0
US1CAMP0002,20100426,PRCP,0
US1CAMP0002,20100427,PRCP,0
US1CAMP0002,20100428,PRCP,43
US1CAMP0002,20100429,PRCP,112
US1CAMP0002,20100430,PRCP,20
US1CAMP0002,20100401,SNOW,71
US1CAMP0002,20100404,SNOW,0
US1CAMP0002,20100405,SNOW,41
US1CAMP0002,20100406,SNOW,0
US1CAMP0002,20100407,SNOW,0
US1CAMP0002,20100408,SNOW,0
US1CAMP0002,20100409,SNOW,0
US1CAMP0002,20100410,SNOW,0
US1CAMP0002,20100411,SNOW,0
US1CAMP0002,20100415,SNOW,0
US1CAMP0002,20100416,SNOW,0
US1CAMP0002,20100419,SNOW,0
US1CAMP0002,20100424,SNOW,0
US1CAMP0002,20100425,SNOW,0
US1CAMP0002,20100426,SNOW,0
US1CAMP0002,20100427,SNOW,0
US1CAMP0002,20100429,SNOW,0
US1CAMP0002,20100418,SNWD,0
US1CAMP0002,20100418,DAPR,2
US1CAMP0002,20100422,DAPR,2
US1CAMP0002,20100418,MDPR,0
US1CAMP0002,20100422,MDPR,437
US1CAMP0002,20100418,WESD,0
US1CAMP0002,20100401,WESF,150
US1CAMP0002,20100405,WESF,76
US1CAMP0002,20100406,WESF,0
US1CAMP0002,20100501,PRCP,0
US1CAMP0002,20100502,PRCP,0
US1CAMP0002,20100503,PRCP,0
US1CAMP0002,20100504,PRCP,0
US1CAMP0002,20100505,PRCP,0
US1CAMP0002,20100506,PRCP,0
US1CAMP0002,20100507,PRCP,0
US1CAMP0002,20100508,PRCP,0
US1CAMP0002,20100509,PRCP,0
US1CAMP0002,20100510,PRCP,10
US1CAMP0002,20100511,PRCP,137
US1CAMP0002,20100512,PRCP,0
US1CAMP0002,20100513,PRCP,0
US1CAMP0002,20100514,PRCP,0
US1CAMP0002,20100515,PRCP,0
US1CAMP0002,20100516,PRCP,0
US1CAMP0002,20100517,PRCP,0
US1CAMP0002,20100518,PRCP,117
US1CAMP0002,20100519,PRCP,0
US1CAMP0002,20100520,PRCP,0
US1CAMP0002,20100521,PRCP,0
US1CAMP0002,20100522,PRCP,0
US1CAMP0002,20100523,PRCP,0
US1CAMP0002,20100524,PRCP,18
US1CAMP0002,20100525,PRCP,0
US1CAMP0002,20100526,PRCP,43
US1CAMP0002,20100527,PRCP,64
US1CAMP0002,20100528,PRCP,79
US1CAMP0002,20100529,PRCP,0
US1CAMP0002,20100530,PRCP,0
US1CAMP0002,20100531,PRCP,0
US1CAMP0002,20100501,SNOW,0
US1CAMP0002,20100502,SNOW,0
US1CAMP0002,20100503,SNOW,0
US1CAMP0002,20100504,SNOW,0
US1CAMP0002,20100505,SNOW,0
US1CAMP0002,20100506,SNOW,0
US1CAMP0002,20100507,SNOW,0
US1CAMP0002,20100508,SNOW,0
US1CAMP0002,20100509,SNOW,0
US1CAMP0002,20100511,SNOW,8
US1CAMP0002,20100512,SNOW,0
US1CAMP0002,20100513,SNOW,0
US1CAMP0002,20100514,SNOW,0
US1CAMP0002,20100515,SNOW,0
US1CAMP0002,20100516,SNOW,0
US1CAMP0002,20100517,SNOW,0
US1CAMP0002,20100519,SNOW,0
US1CAMP0002,20100520,SNOW,0
US1CAMP0002,20100521,SNOW,0
US1CAMP0002,20100522,SNOW,0
US1CAMP0002,20100523,SNOW,0
US1CAMP0002,20100525,SNOW,0
US1CAMP0002,20100529,SNOW,0
US1CAMP0002,20100530,SNOW,0
US1CAMP0002,20100531,SNOW,0
US1CAMP0002,20100511,SNWD,13
US1CAMP0002,20100511,WESD,51
US1CAMP0002,20100511,WESF,51
US1CAMP0002,20100601,PRCP,0
US1CAMP0002,20100612,PRCP,0
US1CAMP0002,20100613,PRCP,0
US1CAMP0002,20100614,PRCP,0
US1CAMP0002,20100615,PRCP,0
US1CAMP0002,20100616,PRCP,0
US1CAMP0002,20100617,PRCP,0
US1CAMP0002,20100618,PRCP,0
US1CAMP0002,20100619,PRCP,0
US1CAMP0002,20100620,PRCP,0
US1CAMP0002,20100621,PRCP,0
US1CAMP0002,20100622,PRCP,0
US1CAMP0002,20100623,PRCP,0
US1CAMP0002,20100624,PRCP,0
US1CAMP0002,20100625,PRCP,0
US1CAMP0002,20100626,PRCP,0
US1CAMP0002,20100601,SNOW,0
US1CAMP0002,20100612,SNOW,0
US1CAMP0002,20100613,SNOW,0
US1CAMP0002,20100614,SNOW,0
US1CAMP0002,20100615,SNOW,0
US1CAMP0002,20100616,SNOW,0
US1CAMP0002,20100617,SNOW,0
US1CAMP0002,20100618,SNOW,0
US1CAMP0002,20100619,SNOW,0
US1CAMP0002,20100620,SNOW,0
US1CAMP0002,20100621,SNOW,0
US1CAMP0002,20100622,SNOW,0
US1CAMP0002,20100623,SNOW,0
US1CAMP0002,20100624,SNOW,0
US1CAMP0002,20100625,SNOW,0
US1CAMP0002,20100626,SNOW,0
US1CAMP0002,20100611,SNWD,0
US1CAMP0002,20100630,SNWD,0
US1CAMP0002,20100611,DAPR,10
US1CAMP0002,20100630,DAPR,2
US1CAMP0002,20100611,MDPR,0
US1CAMP0002,20100630,MDPR,0
US1CAMP0002,20100611,WESD,0
US1CAMP0002,20100630,WESD,0
US1CAMP0002,20100702,PRCP,0
US1CAMP0002,20100703,PRCP,0
US1CAMP0002,20100704,PRCP,0
US1CAMP0002,20100705,PRCP,0
US1CAMP0002,20100706,PRCP,0
US1CAMP0002,20100708,PRCP,0
US1CAMP0002,20100709,PRCP,0
US1CAMP0002,20100710,PRCP,0
US1CAMP0002,20100711,PRCP,0
US1CAMP0002,20100712,PRCP,0
US1CAMP0002,20100713,PRCP,0
US1CAMP0002,20100714,PRCP,0
US1CAMP0002,20100715,PRCP,0
US1CAMP0002,20100716,PRCP,0
US1CAMP0002,20100717,PRCP,0
US1CAMP0002,20100718,PRCP,0
US1CAMP0002,20100719,PRCP,0
US1CAMP0002,20100720,PRCP,0
US1CAMP0002,20100721,PRCP,0
US1CAMP0002,20100722,PRCP,0
US1CAMP0002,20100723,PRCP,0
US1CAMP0002,20100724,PRCP,0
US1CAMP0002,20100725,PRCP,0
US1CAMP0002,20100726,PRCP,0
US1CAMP0002,20100727,PRCP,0
US1CAMP0002,20100702,SNOW,0
US1CAMP0002,20100703,SNOW,0
US1CAMP0002,20100704,SNOW,0
US1CAMP0002,20100705,SNOW,0
US1CAMP0002,20100706,SNOW,0
US1CAMP0002,20100708,SNOW,0
US1CAMP0002,20100709,SNOW,0
US1CAMP0002,20100710,SNOW,0
US1CAMP0002,20100711,SNOW,0
US1CAMP0002,20100712,SNOW,0
US1CAMP0002,20100713,SNOW,0
US1CAMP0002,20100714,SNOW,0
US1CAMP0002,20100715,SNOW,0
US1CAMP0002,20100716,SNOW,0
US1CAMP0002,20100717,SNOW,0
