id,date,obs,obs_value
US1CAMT0001,20081004,PRCP,56
US1CAMT0001,20081005,PRCP,0
US1CAMT0001,20081006,PRCP,0
US1CAMT0001,20081007,PRCP,0
US1CAMT0001,20081013,PRCP,0
US1CAMT0001,20081015,PRCP,0
US1CAMT0001,20081016,PRCP,0
US1CAMT0001,20081019,PRCP,0
US1CAMT0001,20081020,PRCP,0
US1CAMT0001,20081021,PRCP,0
US1CAMT0001,20081022,PRCP,0
US1CAMT0001,20081023,PRCP,0
US1CAMT0001,20081024,PRCP,0
US1CAMT0001,20081025,PRCP,0
US1CAMT0001,20081026,PRCP,0
US1CAMT0001,20081027,PRCP,0
US1CAMT0001,20081028,PRCP,0
US1CAMT0001,20081029,PRCP,0
US1CAMT0001,20081031,PRCP,3
US1CAMT0001,20081003,SNOW,0
US1CAMT0001,20081004,SNOW,0
US1CAMT0001,20081005,SNOW,0
US1CAMT0001,20081013,SNOW,0
US1CAMT0001,20081015,SNOW,0
US1CAMT0001,20081016,SNOW,0
US1CAMT0001,20081019,SNOW,0
US1CAMT0001,20081020,SNOW,0
US1CAMT0001,20081021,SNOW,0
US1CAMT0001,20081022,SNOW,0
US1CAMT0001,20081023,SNOW,0
US1CAMT0001,20081024,SNOW,0
US1CAMT0001,20081025,SNOW,0
US1CAMT0001,20081026,SNOW,0
US1CAMT0001,20081027,SNOW,0
US1CAMT0001,20081028,SNOW,0
US1CAMT0001,20081029,SNOW,0
US1CAMT0001,20081031,SNOW,0
US1CAMT0001,20081013,SNWD,0
US1CAMT0001,20081013,DAPR,6
US1CAMT0001,20081013,MDPR,0
US1CAMT0001,20081101,PRCP,5
US1CAMT0001,20081102,PRCP,58
US1CAMT0001,20081103,PRCP,0
US1CAMT0001,20081105,PRCP,0
US1CAMT0001,20081109,PRCP,25
US1CAMT0001,20081110,PRCP,18
US1CAMT0001,20081111,PRCP,0
US1CAMT0001,20081112,PRCP,0
US1CAMT0001,20081113,PRCP,0
US1CAMT0001,20081115,PRCP,0
US1CAMT0001,20081117,PRCP,0
US1CAMT0001,20081118,PRCP,0
US1CAMT0001,20081119,PRCP,0
US1CAMT0001,20081120,PRCP,0
US1CAMT0001,20081123,PRCP,0
US1CAMT0001,20081124,PRCP,0
US1CAMT0001,20081125,PRCP,0
US1CAMT0001,20081126,PRCP,8
US1CAMT0001,20081101,SNOW,0
US1CAMT0001,20081102,SNOW,0
US1CAMT0001,20081103,SNOW,0
US1CAMT0001,20081105,SNOW,0
US1CAMT0001,20081109,SNOW,0
US1CAMT0001,20081110,SNOW,0
US1CAMT0001,20081111,SNOW,0
US1CAMT0001,20081112,SNOW,0
US1CAMT0001,20081113,SNOW,0
US1CAMT0001,20081115,SNOW,0
US1CAMT0001,20081117,SNOW,0
US1CAMT0001,20081118,SNOW,0
US1CAMT0001,20081119,SNOW,0
US1CAMT0001,20081120,SNOW,0
US1CAMT0001,20081123,SNOW,0
US1CAMT0001,20081124,SNOW,0
US1CAMT0001,20081125,SNOW,0
US1CAMT0001,20081126,SNOW,0
US1CAMT0001,20081202,PRCP,0
US1CAMT0001,20081203,PRCP,0
US1CAMT0001,20081204,PRCP,0
US1CAMT0001,20081208,PRCP,0
US1CAMT0001,20081209,PRCP,0
US1CAMT0001,20081211,PRCP,0
US1CAMT0001,20081212,PRCP,0
US1CAMT0001,20081213,PRCP,10
US1CAMT0001,20081214,PRCP,0
US1CAMT0001,20081215,PRCP,229
US1CAMT0001,20081216,PRCP,109
US1CAMT0001,20081217,PRCP,10
US1CAMT0001,20081221,PRCP,0
US1CAMT0001,20081222,PRCP,185
US1CAMT0001,20081223,PRCP,226
US1CAMT0001,20081226,PRCP,23
US1CAMT0001,20081227,PRCP,0
US1CAMT0001,20081228,PRCP,0
US1CAMT0001,20081229,PRCP,0
US1CAMT0001,20081230,PRCP,0
US1CAMT0001,20081231,PRCP,0
US1CAMT0001,20081202,SNOW,0
US1CAMT0001,20081203,SNOW,0
US1CAMT0001,20081204,SNOW,0
US1CAMT0001,20081208,SNOW,0
US1CAMT0001,20081209,SNOW,0
US1CAMT0001,20081211,SNOW,0
US1CAMT0001,20081212,SNOW,0
US1CAMT0001,20081213,SNOW,0
US1CAMT0001,20081214,SNOW,0
US1CAMT0001,20081215,SNOW,0
US1CAMT0001,20081221,SNOW,0
US1CAMT0001,20081228,SNOW,0
US1CAMT0001,20081229,SNOW,0
US1CAMT0001,20081230,SNOW,0
US1CAMT0001,20081231,SNOW,0
US1CAMT0001,20090101,PRCP,0
US1CAMT0001,20090102,PRCP,0
US1CAMT0001,20090103,PRCP,23
US1CAMT0001,20090104,PRCP,0
US1CAMT0001,20090105,PRCP,0
US1CAMT0001,20090108,PRCP,0
US1CAMT0001,20090109,PRCP,0
US1CAMT0001,20090110,PRCP,0
US1CAMT0001,20090111,PRCP,0
US1CAMT0001,20090112,PRCP,0
US1CAMT0001,20090113,PRCP,0
US1CAMT0001,20090114,PRCP,0
US1CAMT0001,20090115,PRCP,0
US1CAMT0001,20090116,PRCP,0
US1CAMT0001,20090117,PRCP,0
US1CAMT0001,20090118,PRCP,0
US1CAMT0001,20090119,PRCP,0
US1CAMT0001,20090120,PRCP,0
US1CAMT0001,20090121,PRCP,0
US1CAMT0001,20090122,PRCP,371
US1CAMT0001,20090123,PRCP,53
US1CAMT0001,20090124,PRCP,46
US1CAMT0001,20090125,PRCP,0
US1CAMT0001,20090127,PRCP,0
US1CAMT0001,20090129,PRCP,0
US1CAMT0001,20090130,PRCP,0
US1CAMT0001,20090101,SNOW,0
US1CAMT0001,20090104,SNOW,0
US1CAMT0001,20090105,SNOW,0
US1CAMT0001,20090108,SNOW,0
US1CAMT0001,20090109,SNOW,0
US1CAMT0001,20090110,SNOW,0
US1CAMT0001,20090111,SNOW,0
US1CAMT0001,20090112,SNOW,0
US1CAMT0001,20090113,SNOW,0
US1CAMT0001,20090114,SNOW,0
US1CAMT0001,20090115,SNOW,0
US1CAMT0001,20090116,SNOW,0
US1CAMT0001,20090117,SNOW,0
US1CAMT0001,20090118,SNOW,0
US1CAMT0001,20090119,SNOW,0
US1CAMT0001,20090120,SNOW,0
US1CAMT0001,20090121,SNOW,0
US1CAMT0001,20090127,SNOW,0
US1CAMT0001,20090129,SNOW,0
US1CAMT0001,20090130,SNOW,0
US1CAMT0001,20090201,PRCP,0
US1CAMT0001,20090202,PRCP,0
US1CAMT0001,20090203,PRCP,0
US1CAMT0001,20090204,PRCP,0
US1CAMT0001,20090205,PRCP,104
US1CAMT0001,20090206,PRCP,30
US1CAMT0001,20090207,PRCP,165
US1CAMT0001,20090209,PRCP,109
US1CAMT0001,20090211,PRCP,23
US1CAMT0001,20090213,PRCP,132
US1CAMT0001,20090214,PRCP,117
US1CAMT0001,20090215,PRCP,13
US1CAMT0001,20090216,PRCP,221
US1CAMT0001,20090217,PRCP,137
US1CAMT0001,20090218,PRCP,107
US1CAMT0001,20090222,PRCP,30
US1CAMT0001,20090224,PRCP,104
US1CAMT0001,20090225,PRCP,0
US1CAMT0001,20090227,PRCP,25
US1CAMT0001,20090201,SNOW,0
US1CAMT0001,20090202,SNOW,0
US1CAMT0001,20090203,SNOW,0
US1CAMT0001,20090204,SNOW,0
US1CAMT0001,20090225,SNOW,0
US1CAMT0001,20090304,PRCP,381
US1CAMT0001,20090417,PRCP,0
US1CAMT0001,20090427,PRCP,0
US1CAMT0001,20090429,PRCP,0
US1CAMT0001,20090417,SNOW,0
US1CAMT0001,20090427,SNOW,0
US1CAMT0001,20090429,SNOW,0
US1CAMT0001,20090416,DAPR,23
US1CAMT0001,20090416,MDPR,0
US1CAMT0001,20090501,PRCP,0
US1CAMT0001,20090502,PRCP,58
US1CAMT0001,20090503,PRCP,0
US1CAMT0001,20090506,PRCP,33
US1CAMT0001,20090501,SNOW,0
US1CAMT0001,20090503,SNOW,0
