id,date,obs,obs_value
US1CASD0009,20081103,PRCP,5
US1CASD0009,20081104,PRCP,0
US1CASD0009,20081105,PRCP,46
US1CASD0009,20081106,PRCP,0
US1CASD0009,20081107,PRCP,0
US1CASD0009,20081108,PRCP,0
US1CASD0009,20081109,PRCP,0
US1CASD0009,20081110,PRCP,18
US1CASD0009,20081111,PRCP,0
US1CASD0009,20081112,PRCP,0
US1CASD0009,20081113,PRCP,0
US1CASD0009,20081114,PRCP,0
US1CASD0009,20081115,PRCP,0
US1CASD0009,20081116,PRCP,0
US1CASD0009,20081117,PRCP,0
US1CASD0009,20081118,PRCP,0
US1CASD0009,20081119,PRCP,0
US1CASD0009,20081120,PRCP,0
US1CASD0009,20081121,PRCP,0
US1CASD0009,20081122,PRCP,0
US1CASD0009,20081123,PRCP,0
US1CASD0009,20081124,PRCP,0
US1CASD0009,20081125,PRCP,13
US1CASD0009,20081126,PRCP,241
US1CASD0009,20081127,PRCP,249
US1CASD0009,20081128,PRCP,0
US1CASD0009,20081129,PRCP,0
US1CASD0009,20081130,PRCP,0
US1CASD0009,20081102,SNOW,0
US1CASD0009,20081103,SNOW,0
US1CASD0009,20081104,SNOW,0
US1CASD0009,20081105,SNOW,0
US1CASD0009,20081106,SNOW,0
US1CASD0009,20081107,SNOW,0
US1CASD0009,20081108,SNOW,0
US1CASD0009,20081109,SNOW,0
US1CASD0009,20081110,SNOW,0
US1CASD0009,20081111,SNOW,0
US1CASD0009,20081112,SNOW,0
US1CASD0009,20081113,SNOW,0
US1CASD0009,20081114,SNOW,0
US1CASD0009,20081115,SNOW,0
US1CASD0009,20081116,SNOW,0
US1CASD0009,20081117,SNOW,0
US1CASD0009,20081118,SNOW,0
US1CASD0009,20081119,SNOW,0
US1CASD0009,20081120,SNOW,0
US1CASD0009,20081121,SNOW,0
US1CASD0009,20081122,SNOW,0
US1CASD0009,20081123,SNOW,0
US1CASD0009,20081124,SNOW,0
US1CASD0009,20081125,SNOW,0
US1CASD0009,20081126,SNOW,0
US1CASD0009,20081127,SNOW,0
US1CASD0009,20081128,SNOW,0
US1CASD0009,20081129,SNOW,0
US1CASD0009,20081130,SNOW,0
US1CASD0009,20081201,PRCP,0
US1CASD0009,20081202,PRCP,0
US1CASD0009,20081203,PRCP,0
US1CASD0009,20081204,PRCP,0
US1CASD0009,20081205,PRCP,0
US1CASD0009,20081206,PRCP,0
US1CASD0009,20081207,PRCP,13
US1CASD0009,20081208,PRCP,0
US1CASD0009,20081209,PRCP,0
US1CASD0009,20081210,PRCP,0
US1CASD0009,20081211,PRCP,0
US1CASD0009,20081212,PRCP,0
US1CASD0009,20081213,PRCP,10
US1CASD0009,20081214,PRCP,0
US1CASD0009,20081215,PRCP,373
US1CASD0009,20081216,PRCP,48
US1CASD0009,20081217,PRCP,498
US1CASD0009,20081218,PRCP,10
US1CASD0009,20081219,PRCP,0
US1CASD0009,20081220,PRCP,0
US1CASD0009,20081221,PRCP,0
US1CASD0009,20081222,PRCP,112
US1CASD0009,20081223,PRCP,3
US1CASD0009,20081224,PRCP,10
US1CASD0009,20081225,PRCP,53
US1CASD0009,20081226,PRCP,0
US1CASD0009,20081227,PRCP,0
US1CASD0009,20081228,PRCP,0
US1CASD0009,20081229,PRCP,0
US1CASD0009,20081230,PRCP,0
US1CASD0009,20081231,PRCP,0
US1CASD0009,20081201,SNOW,0
US1CASD0009,20081202,SNOW,0
US1CASD0009,20081203,SNOW,0
US1CASD0009,20081204,SNOW,0
US1CASD0009,20081205,SNOW,0
US1CASD0009,20081206,SNOW,0
US1CASD0009,20081207,SNOW,0
US1CASD0009,20081208,SNOW,0
US1CASD0009,20081209,SNOW,0
US1CASD0009,20081210,SNOW,0
US1CASD0009,20081211,SNOW,0
US1CASD0009,20081212,SNOW,0
US1CASD0009,20081213,SNOW,0
US1CASD0009,20081214,SNOW,0
US1CASD0009,20081219,SNOW,0
US1CASD0009,20081220,SNOW,0
US1CASD0009,20081221,SNOW,0
US1CASD0009,20081226,SNOW,0
US1CASD0009,20081227,SNOW,0
US1CASD0009,20081228,SNOW,0
US1CASD0009,20081229,SNOW,0
US1CASD0009,20081230,SNOW,0
US1CASD0009,20081231,SNOW,0
US1CASD0009,20090101,PRCP,0
US1CASD0009,20090102,PRCP,0
US1CASD0009,20090103,PRCP,18
US1CASD0009,20090104,PRCP,0
US1CASD0009,20090105,PRCP,0
US1CASD0009,20090106,PRCP,0
US1CASD0009,20090107,PRCP,0
US1CASD0009,20090108,PRCP,0
US1CASD0009,20090109,PRCP,0
US1CASD0009,20090110,PRCP,0
US1CASD0009,20090111,PRCP,0
US1CASD0009,20090112,PRCP,0
US1CASD0009,20090113,PRCP,0
US1CASD0009,20090114,PRCP,0
US1CASD0009,20090115,PRCP,0
US1CASD0009,20090116,PRCP,0
US1CASD0009,20090117,PRCP,0
US1CASD0009,20090118,PRCP,0
US1CASD0009,20090119,PRCP,0
US1CASD0009,20090120,PRCP,0
US1CASD0009,20090121,PRCP,0
US1CASD0009,20090122,PRCP,0
US1CASD0009,20090123,PRCP,5
US1CASD0009,20090124,PRCP,0
US1CASD0009,20090125,PRCP,3
US1CASD0009,20090126,PRCP,0
US1CASD0009,20090127,PRCP,0
US1CASD0009,20090128,PRCP,0
US1CASD0009,20090129,PRCP,0
US1CASD0009,20090130,PRCP,0
US1CASD0009,20090131,PRCP,0
US1CASD0009,20090101,SNOW,0
US1CASD0009,20090104,SNOW,0
US1CASD0009,20090105,SNOW,0
US1CASD0009,20090106,SNOW,0
US1CASD0009,20090107,SNOW,0
US1CASD0009,20090108,SNOW,0
US1CASD0009,20090109,SNOW,0
US1CASD0009,20090110,SNOW,0
US1CASD0009,20090111,SNOW,0
US1CASD0009,20090112,SNOW,0
US1CASD0009,20090113,SNOW,0
US1CASD0009,20090114,SNOW,0
US1CASD0009,20090115,SNOW,0
US1CASD0009,20090116,SNOW,0
US1CASD0009,20090117,SNOW,0
US1CASD0009,20090118,SNOW,0
US1CASD0009,20090119,SNOW,0
US1CASD0009,20090120,SNOW,0
US1CASD0009,20090121,SNOW,0
US1CASD0009,20090127,SNOW,0
US1CASD0009,20090128,SNOW,0
US1CASD0009,20090129,SNOW,0
US1CASD0009,20090130,SNOW,0
US1CASD0009,20090131,SNOW,0
US1CASD0009,20090201,PRCP,0
US1CASD0009,20090202,PRCP,0
US1CASD0009,20090203,PRCP,0
US1CASD0009,20090204,PRCP,0
US1CASD0009,20090205,PRCP,33
US1CASD0009,20090206,PRCP,56
US1CASD0009,20090207,PRCP,391
US1CASD0009,20090208,PRCP,5
US1CASD0009,20090209,PRCP,135
US1CASD0009,20090210,PRCP,0
US1CASD0009,20090211,PRCP,0
US1CASD0009,20090212,PRCP,0
US1CASD0009,20090213,PRCP,51
US1CASD0009,20090214,PRCP,5
US1CASD0009,20090215,PRCP,0
US1CASD0009,20090216,PRCP,160
US1CASD0009,20090217,PRCP,10
US1CASD0009,20090218,PRCP,0
US1CASD0009,20090219,PRCP,0
US1CASD0009,20090220,PRCP,0
US1CASD0009,20090221,PRCP,0
US1CASD0009,20090222,PRCP,0
US1CASD0009,20090223,PRCP,0
US1CASD0009,20090224,PRCP,0
US1CASD0009,20090225,PRCP,0
US1CASD0009,20090226,PRCP,0
US1CASD0009,20090227,PRCP,0
US1CASD0009,20090228,PRCP,0
US1CASD0009,20090201,SNOW,0
US1CASD0009,20090202,SNOW,0
US1CASD0009,20090203,SNOW,0
US1CASD0009,20090204,SNOW,0
US1CASD0009,20090210,SNOW,0
US1CASD0009,20090211,SNOW,0
US1CASD0009,20090215,SNOW,0
US1CASD0009,20090218,SNOW,0
US1CASD0009,20090219,SNOW,0
US1CASD0009,20090220,SNOW,0
US1CASD0009,20090221,SNOW,0
US1CASD0009,20090222,SNOW,0
US1CASD0009,20090223,SNOW,0
US1CASD0009,20090224,SNOW,0
US1CASD0009,20090225,SNOW,0
US1CASD0009,20090226,SNOW,0
US1CASD0009,20090227,SNOW,0
US1CASD0009,20090228,SNOW,0
US1CASD0009,20090301,PRCP,0
US1CASD0009,20090302,PRCP,0
US1CASD0009,20090303,PRCP,0
US1CASD0009,20090304,PRCP,0
US1CASD0009,20090305,PRCP,15
US1CASD0009,20090306,PRCP,0
US1CASD0009,20090307,PRCP,0
US1CASD0009,20090308,PRCP,0
US1CASD0009,20090309,PRCP,0
US1CASD0009,20090310,PRCP,0
US1CASD0009,20090311,PRCP,0
US1CASD0009,20090312,PRCP,0
US1CASD0009,20090313,PRCP,0
US1CASD0009,20090314,PRCP,0
US1CASD0009,20090315,PRCP,0
US1CASD0009,20090316,PRCP,0
US1CASD0009,20090317,PRCP,0
US1CASD0009,20090318,PRCP,0
US1CASD0009,20090319,PRCP,0
US1CASD0009,20090320,PRCP,0
US1CASD0009,20090321,PRCP,0
US1CASD0009,20090322,PRCP,53
US1CASD0009,20090323,PRCP,0
US1CASD0009,20090324,PRCP,0
US1CASD0009,20090325,PRCP,0
US1CASD0009,20090326,PRCP,0
US1CASD0009,20090327,PRCP,0
US1CASD0009,20090328,PRCP,0
US1CASD0009,20090329,PRCP,0
US1CASD0009,20090330,PRCP,0
US1CASD0009,20090331,PRCP,0
US1CASD0009,20090301,SNOW,0
US1CASD0009,20090302,SNOW,0
US1CASD0009,20090303,SNOW,0
US1CASD0009,20090306,SNOW,0
US1CASD0009,20090307,SNOW,0
US1CASD0009,20090308,SNOW,0
US1CASD0009,20090310,SNOW,0
US1CASD0009,20090311,SNOW,0
US1CASD0009,20090312,SNOW,0
US1CASD0009,20090313,SNOW,0
US1CASD0009,20090314,SNOW,0
US1CASD0009,20090315,SNOW,0
US1CASD0009,20090316,SNOW,0
US1CASD0009,20090317,SNOW,0
US1CASD0009,20090318,SNOW,0
US1CASD0009,20090319,SNOW,0
US1CASD0009,20090320,SNOW,0
US1CASD0009,20090321,SNOW,0
US1CASD0009,20090323,SNOW,0
US1CASD0009,20090324,SNOW,0
US1CASD0009,20090325,SNOW,0
US1CASD0009,20090326,SNOW,0
US1CASD0009,20090327,SNOW,0
US1CASD0009,20090328,SNOW,0
US1CASD0009,20090329,SNOW,0
US1CASD0009,20090330,SNOW,0
US1CASD0009,20090331,SNOW,0
US1CASD0009,20090401,PRCP,0
US1CASD0009,20090402,PRCP,0
US1CASD0009,20090403,PRCP,0
US1CASD0009,20090404,PRCP,0
US1CASD0009,20090405,PRCP,0
US1CASD0009,20090406,PRCP,0
US1CASD0009,20090407,PRCP,15
US1CASD0009,20090408,PRCP,3
US1CASD0009,20090409,PRCP,0
US1CASD0009,20090410,PRCP,10
US1CASD0009,20090411,PRCP,5
US1CASD0009,20090412,PRCP,0
US1CASD0009,20090413,PRCP,0
US1CASD0009,20090414,PRCP,5
US1CASD0009,20090415,PRCP,0
US1CASD0009,20090416,PRCP,0
US1CASD0009,20090417,PRCP,0
US1CASD0009,20090418,PRCP,0
US1CASD0009,20090419,PRCP,0
US1CASD0009,20090420,PRCP,0
US1CASD0009,20090421,PRCP,0
US1CASD0009,20090422,PRCP,0
US1CASD0009,20090423,PRCP,0
US1CASD0009,20090424,PRCP,0
US1CASD0009,20090425,PRCP,0
US1CASD0009,20090426,PRCP,0
US1CASD0009,20090427,PRCP,0
US1CASD0009,20090428,PRCP,0
US1CASD0009,20090429,PRCP,0
US1CASD0009,20090430,PRCP,0
US1CASD0009,20090401,SNOW,0
US1CASD0009,20090402,SNOW,0
US1CASD0009,20090403,SNOW,0
US1CASD0009,20090404,SNOW,0
US1CASD0009,20090405,SNOW,0
US1CASD0009,20090406,SNOW,0
US1CASD0009,20090409,SNOW,0
US1CASD0009,20090412,SNOW,0
US1CASD0009,20090413,SNOW,0
US1CASD0009,20090415,SNOW,0
US1CASD0009,20090416,SNOW,0
US1CASD0009,20090417,SNOW,0
US1CASD0009,20090418,SNOW,0
US1CASD0009,20090419,SNOW,0
US1CASD0009,20090420,SNOW,0
US1CASD0009,20090421,SNOW,0
US1CASD0009,20090422,SNOW,0
US1CASD0009,20090423,SNOW,0
US1CASD0009,20090424,SNOW,0
US1CASD0009,20090425,SNOW,0
US1CASD0009,20090426,SNOW,0
US1CASD0009,20090427,SNOW,0
US1CASD0009,20090428,SNOW,0
US1CASD0009,20090429,SNOW,0
US1CASD0009,20090430,SNOW,0
US1CASD0009,20090501,PRCP,0
US1CASD0009,20090502,PRCP,0
US1CASD0009,20090503,PRCP,0
US1CASD0009,20090504,PRCP,0
US1CASD0009,20090505,PRCP,0
US1CASD0009,20090506,PRCP,0
US1CASD0009,20090507,PRCP,0
US1CASD0009,20090508,PRCP,0
US1CASD0009,20090509,PRCP,0
US1CASD0009,20090510,PRCP,0
US1CASD0009,20090511,PRCP,0
US1CASD0009,20090512,PRCP,0
US1CASD0009,20090513,PRCP,0
US1CASD0009,20090514,PRCP,0
US1CASD0009,20090515,PRCP,0
US1CASD0009,20090516,PRCP,0
US1CASD0009,20090517,PRCP,0
US1CASD0009,20090518,PRCP,0
US1CASD0009,20090519,PRCP,0
US1CASD0009,20090520,PRCP,0
US1CASD0009,20090521,PRCP,0
US1CASD0009,20090522,PRCP,0
US1CASD0009,20090523,PRCP,0
US1CASD0009,20090524,PRCP,0
US1CASD0009,20090525,PRCP,0
US1CASD0009,20090526,PRCP,0
US1CASD0009,20090527,PRCP,0
US1CASD0009,20090528,PRCP,0
US1CASD0009,20090529,PRCP,0
US1CASD0009,20090530,PRCP,10
US1CASD0009,20090531,PRCP,3
US1CASD0009,20090501,SNOW,0
US1CASD0009,20090502,SNOW,0
US1CASD0009,20090503,SNOW,0
US1CASD0009,20090504,SNOW,0
US1CASD0009,20090505,SNOW,0
US1CASD0009,20090506,SNOW,0
US1CASD0009,20090507,SNOW,0
US1CASD0009,20090508,SNOW,0
US1CASD0009,20090509,SNOW,0
US1CASD0009,20090510,SNOW,0
US1CASD0009,20090511,SNOW,0
US1CASD0009,20090512,SNOW,0
US1CASD0009,20090513,SNOW,0
US1CASD0009,20090514,SNOW,0
US1CASD0009,20090515,SNOW,0
US1CASD0009,20090516,SNOW,0
US1CASD0009,20090517,SNOW,0
US1CASD0009,20090518,SNOW,0
US1CASD0009,20090519,SNOW,0
US1CASD0009,20090520,SNOW,0
US1CASD0009,20090521,SNOW,0
US1CASD0009,20090522,SNOW,0
US1CASD0009,20090523,SNOW,0
US1CASD0009,20090524,SNOW,0
US1CASD0009,20090525,SNOW,0
US1CASD0009,20090526,SNOW,0
US1CASD0009,20090527,SNOW,0
US1CASD0009,20090528,SNOW,0
US1CASD0009,20090601,PRCP,8
US1CASD0009,20090602,PRCP,0
US1CASD0009,20090603,PRCP,0
US1CASD0009,20090604,PRCP,0
US1CASD0009,20090605,PRCP,0
US1CASD0009,20090606,PRCP,0
US1CASD0009,20090607,PRCP,0
US1CASD0009,20090608,PRCP,0
US1CASD0009,20090609,PRCP,0
US1CASD0009,20090610,PRCP,0
US1CASD0009,20090611,PRCP,0
US1CASD0009,20090612,PRCP,0
US1CASD0009,20090613,PRCP,0
US1CASD0009,20090614,PRCP,0
US1CASD0009,20090615,PRCP,0
US1CASD0009,20090616,PRCP,8
US1CASD0009,20090617,PRCP,0
US1CASD0009,20090618,PRCP,0
US1CASD0009,20090619,PRCP,0
US1CASD0009,20090620,PRCP,0
US1CASD0009,20090621,PRCP,0
US1CASD0009,20090622,PRCP,0
US1CASD0009,20090623,PRCP,0
US1CASD0009,20090624,PRCP,0
US1CASD0009,20090625,PRCP,0
US1CASD0009,20090626,PRCP,0
US1CASD0009,20090627,PRCP,0
US1CASD0009,20090628,PRCP,0
US1CASD0009,20090629,PRCP,0
US1CASD0009,20090630,PRCP,0
US1CASD0009,20090602,SNOW,0
US1CASD0009,20090603,SNOW,0
US1CASD0009,20090604,SNOW,0
US1CASD0009,20090605,SNOW,0
US1CASD0009,20090606,SNOW,0
US1CASD0009,20090607,SNOW,0
US1CASD0009,20090608,SNOW,0
US1CASD0009,20090609,SNOW,0
US1CASD0009,20090610,SNOW,0
US1CASD0009,20090611,SNOW,0
US1CASD0009,20090612,SNOW,0
US1CASD0009,20090613,SNOW,0
US1CASD0009,20090614,SNOW,0
US1CASD0009,20090617,SNOW,0
US1CASD0009,20090618,SNOW,0
US1CASD0009,20090619,SNOW,0
US1CASD0009,20090621,SNOW,0
US1CASD0009,20090622,SNOW,0
US1CASD0009,20090623,SNOW,0
US1CASD0009,20090624,SNOW,0
US1CASD0009,20090625,SNOW,0
US1CASD0009,20090626,SNOW,0
US1CASD0009,20090627,SNOW,0
US1CASD0009,20090628,SNOW,0
US1CASD0009,20090630,SNOW,0
US1CASD0009,20090701,PRCP,0
US1CASD0009,20090702,PRCP,0
US1CASD0009,20090703,PRCP,0
US1CASD0009,20090704,PRCP,0
US1CASD0009,20090705,PRCP,0
US1CASD0009,20090706,PRCP,0
US1CASD0009,20090707,PRCP,0
US1CASD0009,20090708,PRCP,0
US1CASD0009,20090709,PRCP,0
US1CASD0009,20090710,PRCP,0
US1CASD0009,20090711,PRCP,0
US1CASD0009,20090712,PRCP,0
US1CASD0009,20090713,PRCP,0
US1CASD0009,20090714,PRCP,0
US1CASD0009,20090715,PRCP,0
US1CASD0009,20090716,PRCP,0
US1CASD0009,20090717,PRCP,0
US1CASD0009,20090718,PRCP,0
US1CASD0009,20090719,PRCP,0
US1CASD0009,20090720,PRCP,0
US1CASD0009,20090721,PRCP,0
US1CASD0009,20090722,PRCP,0
US1CASD0009,20090723,PRCP,0
US1CASD0009,20090724,PRCP,0
US1CASD0009,20090725,PRCP,0
US1CASD0009,20090726,PRCP,0
US1CASD0009,20090727,PRCP,0
US1CASD0009,20090728,PRCP,0
US1CASD0009,20090729,PRCP,0
US1CASD0009,20090730,PRCP,0
US1CASD0009,20090731,PRCP,0
US1CASD0009,20090701,SNOW,0
US1CASD0009,20090702,SNOW,0
US1CASD0009,20090703,SNOW,0
US1CASD0009,20090704,SNOW,0
US1CASD0009,20090705,SNOW,0
US1CASD0009,20090706,SNOW,0
