US1CASH0013,20090218,PRCP,193,Unnamed: 4,Unnamed: 5,N,0700
US1CASH0013,20090219,PRCP,8,,,N,745
US1CASH0013,20090226,PRCP,122,,,N,700
US1CASH0013,20090227,PRCP,0,T,,N,0
US1CASH0013,20090228,PRCP,0,,,N,700
US1CASH0013,20090228,SNOW,0,,,N,700
US1CASH0013,20090224,DAPR,5,,,N,1600
US1CASH0013,20090224,MDPR,914,,,N,1600
US1CASH0013,20090301,PRCP,91,,,N,730
US1CASH0013,20090302,PRCP,267,,,N,730
US1CASH0013,20090303,PRCP,43,,,N,730
US1CASH0013,20090304,PRCP,170,,,N,730
US1CASH0013,20090305,PRCP,13,,,N,730
US1CASH0013,20090306,PRCP,0,T,,N,730
US1CASH0013,20090307,PRCP,0,,,N,730
US1CASH0013,20090308,PRCP,0,,,N,730
US1CASH0013,20090309,PRCP,0,,,N,730
US1CASH0013,20090310,PRCP,0,,,N,730
US1CASH0013,20090311,PRCP,0,,,N,730
US1CASH0013,20090312,PRCP,0,,,N,725
US1CASH0013,20090313,PRCP,0,,,N,730
US1CASH0013,20090314,PRCP,0,,,N,730
US1CASH0013,20090315,PRCP,0,T,,N,720
US1CASH0013,20090316,PRCP,513,,,N,720
US1CASH0013,20090317,PRCP,922,,,N,730
US1CASH0013,20090318,PRCP,0,,,N,730
US1CASH0013,20090319,PRCP,0,,,N,730
US1CASH0013,20090320,PRCP,0,,,N,600
US1CASH0013,20090322,PRCP,20,,,N,700
US1CASH0013,20090323,PRCP,0,,,N,730
US1CASH0013,20090324,PRCP,0,,,N,700
US1CASH0013,20090326,PRCP,0,,,N,730
US1CASH0013,20090327,PRCP,0,,,N,730
US1CASH0013,20090331,PRCP,0,,,N,800
US1CASH0013,20090307,SNOW,0,,,N,730
US1CASH0013,20090308,SNOW,0,,,N,730
US1CASH0013,20090309,SNOW,0,,,N,730
US1CASH0013,20090310,SNOW,0,,,N,730
US1CASH0013,20090311,SNOW,0,,,N,730
US1CASH0013,20090312,SNOW,0,,,N,725
US1CASH0013,20090313,SNOW,0,,,N,730
US1CASH0013,20090314,SNOW,0,,,N,730
US1CASH0013,20090318,SNOW,0,,,N,730
US1CASH0013,20090319,SNOW,0,,,N,730
US1CASH0013,20090320,SNOW,0,,,N,600
US1CASH0013,20090323,SNOW,0,,,N,730
US1CASH0013,20090324,SNOW,0,,,N,700
US1CASH0013,20090326,SNOW,0,,,N,730
US1CASH0013,20090327,SNOW,0,,,N,730
US1CASH0013,20090331,SNOW,0,,,N,800
US1CASH0013,20090402,PRCP,0,,L,N,900
US1CASH0013,20090406,PRCP,0,,,N,700
US1CASH0013,20090407,PRCP,0,,,N,700
US1CASH0013,20090408,PRCP,33,,,N,800
US1CASH0013,20090409,PRCP,84,,,N,800
US1CASH0013,20090410,PRCP,163,,,N,700
US1CASH0013,20090411,PRCP,3,,,N,900
US1CASH0013,20090414,PRCP,0,,,N,700
US1CASH0013,20090415,PRCP,0,,,N,1000
US1CASH0013,20090425,PRCP,8,,,N,700
US1CASH0013,20090428,PRCP,61,,,N,700
US1CASH0013,20090402,SNOW,0,,,N,900
US1CASH0013,20090406,SNOW,0,,,N,700
US1CASH0013,20090407,SNOW,0,,,N,700
US1CASH0013,20090414,SNOW,0,,,N,700
US1CASH0013,20090415,SNOW,0,,,N,1000
US1CASH0013,20090405,DAPR,5,,L,N,900
US1CASH0013,20090413,DAPR,2,,,N,730
US1CASH0013,20090427,DAPR,2,,,N,730
US1CASH0013,20090405,MDPR,0,,L,N,900
US1CASH0013,20090413,MDPR,0,,,N,730
US1CASH0013,20090427,MDPR,0,,,N,730
US1CASH0013,20090501,PRCP,10,,,N,700
US1CASH0013,20090502,PRCP,244,,,N,700
US1CASH0013,20090503,PRCP,267,,,N,700
US1CASH0013,20090504,PRCP,117,,,N,700
US1CASH0013,20090505,PRCP,470,,,N,700
US1CASH0013,20090506,PRCP,18,,,N,700
US1CASH0013,20090515,DAPR,8,,,N,700
US1CASH0013,20090530,DAPR,15,,,N,700
US1CASH0013,20090515,MDPR,0,,,N,700
US1CASH0013,20090530,MDPR,0,,,N,700
US1CASH0013,20090603,PRCP,0,T,,N,800
US1CASH0013,20090604,PRCP,170,,,N,720
US1CASH0013,20090605,PRCP,0,,,N,700
US1CASH0013,20090606,PRCP,81,,,N,700
US1CASH0013,20090610,PRCP,137,,,N,700
US1CASH0013,20090612,PRCP,13,,,N,700
US1CASH0013,20090613,PRCP,18,,,N,700
US1CASH0013,20090605,SNOW,0,,,N,700
US1CASH0013,20090609,DAPR,3,,,N,730
US1CASH0013,20090609,MDPR,0,,,N,730
US1CASH0013,20090915,PRCP,0,T,,N,700
US1CASH0013,20091014,PRCP,315,,,N,700
US1CASH0013,20091015,PRCP,43,,,N,700
US1CASH0013,20091016,PRCP,0,,,N,700
US1CASH0013,20091017,PRCP,0,,,N,700
US1CASH0013,20091018,PRCP,0,,,N,700
US1CASH0013,20091019,PRCP,742,,,N,700
US1CASH0013,20091016,SNOW,0,,,N,700
US1CASH0013,20091017,SNOW,0,,,N,700
US1CASH0013,20091018,SNOW,0,,,N,700
US1CASH0013,20091106,PRCP,15,,,N,700
US1CASH0013,20091107,PRCP,508,,,N,700
US1CASH0013,20091110,PRCP,10,,,N,700
US1CASH0013,20091118,PRCP,51,,,N,800
US1CASH0013,20091127,PRCP,257,,,N,700
US1CASH0013,20100118,PRCP,376,,,N,1500
US1CASH0013,20100119,PRCP,224,,,N,1530
