id,date,obs,obs_value
US1CASK0002,20081009,PRCP,0
US1CASK0002,20081010,PRCP,0
US1CASK0002,20081011,PRCP,0
US1CASK0002,20081014,PRCP,0
US1CASK0002,20081017,PRCP,0
US1CASK0002,20081020,PRCP,0
US1CASK0002,20081024,PRCP,0
US1CASK0002,20081026,PRCP,0
US1CASK0002,20081028,PRCP,0
US1CASK0002,20081029,PRCP,0
US1CASK0002,20081030,PRCP,0
US1CASK0002,20081031,PRCP,13
US1CASK0002,20081007,SNOW,0
US1CASK0002,20081009,SNOW,0
US1CASK0002,20081010,SNOW,0
US1CASK0002,20081011,SNOW,0
US1CASK0002,20081014,SNOW,0
US1CASK0002,20081017,SNOW,0
US1CASK0002,20081020,SNOW,0
US1CASK0002,20081024,SNOW,0
US1CASK0002,20081026,SNOW,0
US1CASK0002,20081028,SNOW,0
US1CASK0002,20081029,SNOW,0
US1CASK0002,20081030,SNOW,0
US1CASK0002,20081031,SNOW,0
US1CASK0002,20081101,PRCP,25
US1CASK0002,20081102,PRCP,20
US1CASK0002,20081103,PRCP,99
US1CASK0002,20081104,PRCP,43
US1CASK0002,20081105,PRCP,107
US1CASK0002,20081107,PRCP,3
US1CASK0002,20081109,PRCP,23
US1CASK0002,20081110,PRCP,0
US1CASK0002,20081111,PRCP,56
US1CASK0002,20081113,PRCP,0
US1CASK0002,20081114,PRCP,0
US1CASK0002,20081120,PRCP,13
US1CASK0002,20081125,PRCP,3
US1CASK0002,20081101,SNOW,0
US1CASK0002,20081102,SNOW,0
US1CASK0002,20081103,SNOW,0
US1CASK0002,20081104,SNOW,0
US1CASK0002,20081105,SNOW,30
US1CASK0002,20081107,SNOW,0
US1CASK0002,20081109,SNOW,0
US1CASK0002,20081110,SNOW,0
US1CASK0002,20081111,SNOW,0
US1CASK0002,20081113,SNOW,0
US1CASK0002,20081114,SNOW,0
US1CASK0002,20081120,SNOW,0
US1CASK0002,20081125,SNOW,0
US1CASK0002,20081105,SNWD,30
US1CASK0002,20081207,PRCP,0
US1CASK0002,20081208,PRCP,0
US1CASK0002,20081209,PRCP,0
