id,date,obs,obs_value
US1CASN0039,20090206,PRCP,99
US1CASN0039,20090207,PRCP,124
US1CASN0039,20090208,PRCP,0
US1CASN0039,20090209,PRCP,28
US1CASN0039,20090210,PRCP,0
US1CASN0039,20090211,PRCP,38
US1CASN0039,20090212,PRCP,53
US1CASN0039,20090213,PRCP,81
US1CASN0039,20090214,PRCP,56
US1CASN0039,20090215,PRCP,224
US1CASN0039,20090216,PRCP,503
US1CASN0039,20090217,PRCP,165
US1CASN0039,20090218,PRCP,109
US1CASN0039,20090219,PRCP,5
US1CASN0039,20090220,PRCP,0
US1CASN0039,20090221,PRCP,0
US1CASN0039,20090222,PRCP,107
US1CASN0039,20090223,PRCP,244
US1CASN0039,20090224,PRCP,147
US1CASN0039,20090225,PRCP,8
US1CASN0039,20090226,PRCP,43
US1CASN0039,20090227,PRCP,5
US1CASN0039,20090228,PRCP,0
US1CASN0039,20090208,SNOW,0
US1CASN0039,20090210,SNOW,0
US1CASN0039,20090220,SNOW,0
US1CASN0039,20090221,SNOW,0
US1CASN0039,20090228,SNOW,0
US1CASN0039,20090301,PRCP,43
US1CASN0039,20090302,PRCP,198
US1CASN0039,20090303,PRCP,107
US1CASN0039,20090304,PRCP,102
US1CASN0039,20090305,PRCP,97
US1CASN0039,20090306,PRCP,5
US1CASN0039,20090307,PRCP,0
US1CASN0039,20090308,PRCP,0
US1CASN0039,20090309,PRCP,0
US1CASN0039,20090310,PRCP,0
US1CASN0039,20090311,PRCP,0
US1CASN0039,20090312,PRCP,0
US1CASN0039,20090313,PRCP,0
US1CASN0039,20090314,PRCP,0
US1CASN0039,20090315,PRCP,5
US1CASN0039,20090316,PRCP,5
US1CASN0039,20090317,PRCP,8
US1CASN0039,20090318,PRCP,0
US1CASN0039,20090319,PRCP,0
US1CASN0039,20090323,PRCP,0
US1CASN0039,20090324,PRCP,0
US1CASN0039,20090325,PRCP,0
US1CASN0039,20090326,PRCP,0
US1CASN0039,20090327,PRCP,0
US1CASN0039,20090330,PRCP,0
US1CASN0039,20090307,SNOW,0
US1CASN0039,20090308,SNOW,0
US1CASN0039,20090309,SNOW,0
US1CASN0039,20090310,SNOW,0
US1CASN0039,20090311,SNOW,0
US1CASN0039,20090312,SNOW,0
US1CASN0039,20090313,SNOW,0
US1CASN0039,20090314,SNOW,0
US1CASN0039,20090318,SNOW,0
US1CASN0039,20090319,SNOW,0
US1CASN0039,20090323,SNOW,0
US1CASN0039,20090324,SNOW,0
US1CASN0039,20090325,SNOW,0
US1CASN0039,20090326,SNOW,0
US1CASN0039,20090327,SNOW,0
US1CASN0039,20090330,SNOW,0
US1CASN0039,20090322,DAPR,2
US1CASN0039,20090322,MDPR,58
US1CASN0039,20090407,PRCP,0
