id,date,obs,obs_value
US1CASZ0050,20180403,PRCP,0
US1CASZ0050,20180405,PRCP,0
US1CASZ0050,20180406,PRCP,104
US1CASZ0050,20180407,PRCP,709
US1CASZ0050,20180408,PRCP,25
US1CASZ0050,20180410,PRCP,0
US1CASZ0050,20180411,PRCP,0
US1CASZ0050,20180412,PRCP,58
US1CASZ0050,20180413,PRCP,0
US1CASZ0050,20180414,PRCP,0
US1CASZ0050,20180415,PRCP,0
US1CASZ0050,20180416,PRCP,38
US1CASZ0050,20180417,PRCP,48
US1CASZ0050,20180418,PRCP,0
US1CASZ0050,20180419,PRCP,0
US1CASZ0050,20180421,PRCP,0
US1CASZ0050,20180426,PRCP,0
US1CASZ0050,20180428,PRCP,0
US1CASZ0050,20180429,PRCP,0
US1CASZ0050,20180430,PRCP,0
US1CASZ0050,20180503,PRCP,0
US1CASZ0050,20180506,PRCP,0
US1CASZ0050,20180511,PRCP,0
US1CASZ0050,20180513,PRCP,0
US1CASZ0050,20180514,PRCP,0
US1CASZ0050,20180518,PRCP,0
US1CASZ0050,20180523,PRCP,0
US1CASZ0050,20180530,PRCP,0
US1CASZ0050,20180601,PRCP,0
US1CASZ0050,20180612,PRCP,0
US1CASZ0050,20180615,PRCP,0
US1CASZ0050,20180703,PRCP,0
US1CASZ0050,20180704,PRCP,0
US1CASZ0050,20181121,PRCP,102
US1CASZ0050,20181122,PRCP,323
US1CASZ0050,20181123,PRCP,541
US1CASZ0050,20181124,PRCP,208
US1CASZ0050,20181128,PRCP,183
US1CASZ0050,20181129,PRCP,620
US1CASZ0050,20181130,PRCP,213
US1CASZ0050,20181216,PRCP,3
US1CASZ0050,20181217,PRCP,729
US1CASZ0050,20181219,PRCP,3
US1CASZ0050,20181220,PRCP,0
US1CASZ0050,20181222,PRCP,3
US1CASZ0050,20181223,PRCP,0
US1CASZ0050,20181224,PRCP,0
US1CASZ0050,20181225,PRCP,251
US1CASZ0050,20181227,PRCP,0
US1CASZ0050,20190105,PRCP,3
US1CASZ0050,20190106,PRCP,193
US1CASZ0050,20190107,PRCP,1255
US1CASZ0050,20190108,PRCP,41
US1CASZ0050,20190109,PRCP,112
US1CASZ0050,20190111,PRCP,0
US1CASZ0050,20190112,PRCP,188
US1CASZ0050,20190114,PRCP,5
US1CASZ0050,20190115,PRCP,140
US1CASZ0050,20190116,PRCP,716
US1CASZ0050,20190117,PRCP,460
US1CASZ0050,20190118,PRCP,132
US1CASZ0050,20190119,PRCP,0
US1CASZ0050,20190120,PRCP,13
US1CASZ0050,20190121,PRCP,89
US1CASZ0050,20190122,PRCP,3
US1CASZ0050,20190123,PRCP,0
US1CASZ0050,20190126,PRCP,0
US1CASZ0050,20190129,PRCP,0
US1CASZ0050,20190131,PRCP,234
US1CASZ0050,20190201,PRCP,3
US1CASZ0050,20190202,PRCP,528
US1CASZ0050,20190203,PRCP,876
US1CASZ0050,20190204,PRCP,234
US1CASZ0050,20190205,PRCP,61
US1CASZ0050,20190206,PRCP,20
US1CASZ0050,20190207,PRCP,0
US1CASZ0050,20190208,PRCP,0
US1CASZ0050,20190209,PRCP,335
US1CASZ0050,20190210,PRCP,175
US1CASZ0050,20190211,PRCP,10
US1CASZ0050,20190212,PRCP,0
US1CASZ0050,20190213,PRCP,417
US1CASZ0050,20190214,PRCP,627
US1CASZ0050,20190215,PRCP,295
US1CASZ0050,20190216,PRCP,191
US1CASZ0050,20190217,PRCP,137
US1CASZ0050,20190218,PRCP,25
US1CASZ0050,20190219,PRCP,0
US1CASZ0050,20190222,PRCP,0
US1CASZ0050,20190223,PRCP,0
US1CASZ0050,20190224,PRCP,0
US1CASZ0050,20190225,PRCP,0
US1CASZ0050,20190226,PRCP,10
US1CASZ0050,20190227,PRCP,536
US1CASZ0050,20190228,PRCP,51
US1CASZ0050,20190301,PRCP,0
US1CASZ0050,20190302,PRCP,465
US1CASZ0050,20190303,PRCP,259
US1CASZ0050,20190304,PRCP,51
US1CASZ0050,20190305,PRCP,5
US1CASZ0050,20190306,PRCP,505
US1CASZ0050,20190307,PRCP,246
US1CASZ0050,20190308,PRCP,8
US1CASZ0050,20190309,PRCP,8
US1CASZ0050,20190310,PRCP,381
US1CASZ0050,20190311,PRCP,30
US1CASZ0050,20190312,PRCP,0
US1CASZ0050,20190313,PRCP,0
US1CASZ0050,20190314,PRCP,0
US1CASZ0050,20190316,PRCP,0
US1CASZ0050,20190320,PRCP,246
US1CASZ0050,20190321,PRCP,23
US1CASZ0050,20190322,PRCP,5
US1CASZ0050,20190323,PRCP,236
US1CASZ0050,20190324,PRCP,0
US1CASZ0050,20190326,PRCP,201
US1CASZ0050,20190327,PRCP,13
US1CASZ0050,20190328,PRCP,124
US1CASZ0050,20190329,PRCP,84
US1CASZ0050,20190402,PRCP,79
US1CASZ0050,20190403,PRCP,66
US1CASZ0050,20190404,PRCP,13
US1CASZ0050,20190405,PRCP,10
US1CASZ0050,20190406,PRCP,119
US1CASZ0050,20190407,PRCP,3
US1CASZ0050,20190408,PRCP,0
US1CASZ0050,20190410,PRCP,0
US1CASZ0050,20190416,PRCP,74
US1CASZ0050,20190417,PRCP,0
US1CASZ0050,20190427,PRCP,0
US1CASZ0050,20190506,PRCP,3
US1CASZ0050,20190509,PRCP,3
US1CASZ0050,20190510,PRCP,0
US1CASZ0050,20190515,PRCP,13
US1CASZ0050,20190516,PRCP,302
US1CASZ0050,20190517,PRCP,61
US1CASZ0050,20190518,PRCP,3
US1CASZ0050,20190519,PRCP,625
US1CASZ0050,20190520,PRCP,97
US1CASZ0050,20190521,PRCP,48
US1CASZ0050,20190522,PRCP,46
US1CASZ0050,20190526,PRCP,20
US1CASZ0050,20190602,PRCP,5
US1CASZ0050,20190616,PRCP,0
US1CASZ0050,20190620,PRCP,10
US1CASZ0050,20190719,PRCP,3
US1CASZ0050,20190817,PRCP,3
US1CASZ0050,20190818,PRCP,0
US1CASZ0050,20190819,PRCP,13
US1CASZ0050,20190916,PRCP,25
US1CASZ0050,20190917,PRCP,8
US1CASZ0050,20190930,PRCP,13
US1CASZ0050,20191115,PRCP,10
US1CASZ0050,20191120,PRCP,3
US1CASZ0050,20191127,PRCP,442
US1CASZ0050,20191128,PRCP,81
US1CASZ0050,20191129,PRCP,5
US1CASZ0050,20191130,PRCP,8
US1CASZ0050,20191201,PRCP,762
US1CASZ0050,20191202,PRCP,1798
US1CASZ0050,20191203,PRCP,366
US1CASZ0050,20191204,PRCP,173
US1CASZ0050,20191205,PRCP,284
US1CASZ0050,20191207,PRCP,470
US1CASZ0050,20191208,PRCP,315
US1CASZ0050,20191209,PRCP,71
US1CASZ0050,20191210,PRCP,3
US1CASZ0050,20191211,PRCP,43
US1CASZ0050,20191212,PRCP,145
US1CASZ0050,20191213,PRCP,5
US1CASZ0050,20191214,PRCP,8
US1CASZ0050,20191215,PRCP,10
US1CASZ0050,20191216,PRCP,3
US1CASZ0050,20191217,PRCP,0
US1CASZ0050,20191218,PRCP,99
US1CASZ0050,20191219,PRCP,10
US1CASZ0050,20191220,PRCP,0
US1CASZ0050,20191221,PRCP,0
US1CASZ0050,20191222,PRCP,168
US1CASZ0050,20191223,PRCP,262
US1CASZ0050,20191224,PRCP,0
US1CASZ0050,20191225,PRCP,71
US1CASZ0050,20191226,PRCP,84
US1CASZ0050,20191227,PRCP,13
US1CASZ0050,20191229,PRCP,3
US1CASZ0050,20191230,PRCP,89
US1CASZ0050,20200101,PRCP,3
US1CASZ0050,20200104,PRCP,8
US1CASZ0050,20200108,PRCP,0
US1CASZ0050,20200109,PRCP,79
US1CASZ0050,20200110,PRCP,3
US1CASZ0050,20200111,PRCP,10
US1CASZ0050,20200113,PRCP,13
US1CASZ0050,20200114,PRCP,38
US1CASZ0050,20200116,PRCP,15
US1CASZ0050,20200117,PRCP,437
US1CASZ0050,20200122,PRCP,213
US1CASZ0050,20200123,PRCP,3
US1CASZ0050,20200126,PRCP,15
US1CASZ0050,20200127,PRCP,5
US1CASZ0050,20200129,PRCP,5
US1CASZ0050,20200307,PRCP,8
US1CASZ0050,20200308,PRCP,61
US1CASZ0050,20200314,PRCP,0
US1CASZ0050,20200315,PRCP,546
US1CASZ0050,20200316,PRCP,119
US1CASZ0050,20200317,PRCP,15
US1CASZ0050,20200318,PRCP,8
US1CASZ0050,20200321,PRCP,8
US1CASZ0050,20200325,PRCP,175
US1CASZ0050,20200326,PRCP,10
US1CASZ0050,20200327,PRCP,8
US1CASZ0050,20200329,PRCP,38
US1CASZ0050,20200330,PRCP,18
US1CASZ0050,20200405,PRCP,495
US1CASZ0050,20200406,PRCP,305
US1CASZ0050,20200407,PRCP,86
US1CASZ0050,20200409,PRCP,28
US1CASZ0050,20200410,PRCP,8
US1CASZ0050,20200420,PRCP,0
US1CASZ0050,20200512,PRCP,165
US1CASZ0050,20200513,PRCP,3
US1CASZ0050,20200517,PRCP,112
US1CASZ0050,20200518,PRCP,221
US1CASZ0050,20201022,PRCP,3
US1CASZ0050,20201107,PRCP,25
US1CASZ0050,20201114,PRCP,74
