id,date,obs,obs_value
US1CATM0007,20151223,PRCP,216
US1CATM0007,20151224,PRCP,5
US1CATM0007,20151225,PRCP,155
US1CATM0007,20151226,PRCP,0
US1CATM0007,20151227,PRCP,0
US1CATM0007,20151228,PRCP,3
US1CATM0007,20151229,PRCP,0
US1CATM0007,20151230,PRCP,0
US1CATM0007,20151231,PRCP,0
US1CATM0007,20160101,PRCP,0
US1CATM0007,20160102,PRCP,0
US1CATM0007,20160103,PRCP,0
US1CATM0007,20160104,PRCP,0
US1CATM0007,20160105,PRCP,91
US1CATM0007,20160106,PRCP,302
US1CATM0007,20160107,PRCP,366
US1CATM0007,20160108,PRCP,5
US1CATM0007,20160109,PRCP,10
US1CATM0007,20160110,PRCP,8
US1CATM0007,20160111,PRCP,0
US1CATM0007,20160112,PRCP,0
US1CATM0007,20160113,PRCP,43
US1CATM0007,20160114,PRCP,43
US1CATM0007,20160115,PRCP,191
US1CATM0007,20160116,PRCP,28
US1CATM0007,20160117,PRCP,8
US1CATM0007,20160118,PRCP,198
US1CATM0007,20160119,PRCP,104
US1CATM0007,20160120,PRCP,165
US1CATM0007,20160121,PRCP,0
US1CATM0007,20160122,PRCP,0
US1CATM0007,20160123,PRCP,368
US1CATM0007,20160124,PRCP,48
US1CATM0007,20160125,PRCP,0
US1CATM0007,20160126,PRCP,0
US1CATM0007,20160127,PRCP,0
US1CATM0007,20160128,PRCP,0
US1CATM0007,20160129,PRCP,3
US1CATM0007,20160130,PRCP,287
US1CATM0007,20160131,PRCP,79
US1CATM0007,20160201,PRCP,33
US1CATM0007,20160202,PRCP,0
US1CATM0007,20160203,PRCP,0
US1CATM0007,20160204,PRCP,0
US1CATM0007,20160206,PRCP,0
US1CATM0007,20160208,PRCP,0
US1CATM0007,20160209,PRCP,0
US1CATM0007,20160210,PRCP,0
US1CATM0007,20160211,PRCP,0
US1CATM0007,20160212,PRCP,0
US1CATM0007,20160213,PRCP,0
US1CATM0007,20160214,PRCP,0
US1CATM0007,20160215,PRCP,0
US1CATM0007,20160216,PRCP,0
US1CATM0007,20160217,PRCP,0
US1CATM0007,20160218,PRCP,310
US1CATM0007,20160219,PRCP,5
US1CATM0007,20160221,PRCP,0
US1CATM0007,20160222,PRCP,0
US1CATM0007,20160223,PRCP,0
US1CATM0007,20160224,PRCP,0
US1CATM0007,20160225,PRCP,0
US1CATM0007,20160226,PRCP,0
US1CATM0007,20160227,PRCP,0
US1CATM0007,20160228,PRCP,0
US1CATM0007,20160229,PRCP,0
US1CATM0007,20160301,PRCP,0
US1CATM0007,20160302,PRCP,0
US1CATM0007,20160303,PRCP,0
US1CATM0007,20160304,PRCP,10
US1CATM0007,20160305,PRCP,221
US1CATM0007,20160306,PRCP,498
US1CATM0007,20160307,PRCP,213
US1CATM0007,20160308,PRCP,36
US1CATM0007,20160309,PRCP,0
US1CATM0007,20160310,PRCP,0
US1CATM0007,20160311,PRCP,0
US1CATM0007,20160312,PRCP,300
US1CATM0007,20160313,PRCP,79
US1CATM0007,20160314,PRCP,465
US1CATM0007,20160315,PRCP,3
US1CATM0007,20160321,PRCP,0
US1CATM0007,20160322,PRCP,191
US1CATM0007,20160323,PRCP,20
US1CATM0007,20160325,PRCP,0
US1CATM0007,20160326,PRCP,0
US1CATM0007,20160327,PRCP,0
US1CATM0007,20160328,PRCP,0
US1CATM0007,20160329,PRCP,3
US1CATM0007,20160330,PRCP,0
US1CATM0007,20160331,PRCP,0
US1CATM0007,20160401,PRCP,0
US1CATM0007,20160402,PRCP,0
US1CATM0007,20160403,PRCP,0
US1CATM0007,20160404,PRCP,0
US1CATM0007,20160405,PRCP,0
US1CATM0007,20160406,PRCP,0
US1CATM0007,20160407,PRCP,0
US1CATM0007,20160408,PRCP,0
US1CATM0007,20160409,PRCP,279
US1CATM0007,20160410,PRCP,221
US1CATM0007,20160411,PRCP,28
US1CATM0007,20160412,PRCP,0
US1CATM0007,20160413,PRCP,0
US1CATM0007,20160414,PRCP,5
US1CATM0007,20160415,PRCP,0
US1CATM0007,20160416,PRCP,0
US1CATM0007,20160417,PRCP,0
US1CATM0007,20160418,PRCP,0
US1CATM0007,20160419,PRCP,0
US1CATM0007,20160420,PRCP,0
US1CATM0007,20160421,PRCP,0
US1CATM0007,20160422,PRCP,0
US1CATM0007,20160423,PRCP,198
US1CATM0007,20160424,PRCP,3
US1CATM0007,20160425,PRCP,3
US1CATM0007,20160426,PRCP,0
US1CATM0007,20160427,PRCP,0
US1CATM0007,20160428,PRCP,3
US1CATM0007,20160429,PRCP,8
US1CATM0007,20160430,PRCP,53
US1CATM0007,20160401,SNOW,0
US1CATM0007,20160406,SNOW,0
US1CATM0007,20160407,SNOW,0
US1CATM0007,20160415,SNOW,0
US1CATM0007,20160416,SNOW,0
US1CATM0007,20160417,SNOW,0
US1CATM0007,20160418,SNOW,0
US1CATM0007,20160419,SNOW,0
US1CATM0007,20160420,SNOW,0
US1CATM0007,20160421,SNOW,0
US1CATM0007,20160501,PRCP,0
US1CATM0007,20160502,PRCP,0
US1CATM0007,20160503,PRCP,0
US1CATM0007,20160504,PRCP,0
US1CATM0007,20160505,PRCP,0
US1CATM0007,20160506,PRCP,0
US1CATM0007,20160510,PRCP,0
US1CATM0007,20160522,PRCP,46
US1CATM0007,20160524,PRCP,18
US1CATM0007,20160501,SNOW,0
US1CATM0007,20160502,SNOW,0
US1CATM0007,20160509,DAPR,3
US1CATM0007,20160509,MDPR,23
US1CATM0007,20160922,PRCP,3
US1CATM0007,20161014,PRCP,0
US1CATM0007,20161015,PRCP,127
US1CATM0007,20161016,PRCP,201
US1CATM0007,20161017,PRCP,693
US1CATM0007,20161018,PRCP,0
US1CATM0007,20161019,PRCP,0
US1CATM0007,20161020,PRCP,0
US1CATM0007,20161021,PRCP,0
US1CATM0007,20161022,PRCP,0
US1CATM0007,20161023,PRCP,0
US1CATM0007,20161024,PRCP,18
US1CATM0007,20161025,PRCP,0
US1CATM0007,20161026,PRCP,0
US1CATM0007,20161027,PRCP,0
US1CATM0007,20161028,PRCP,254
US1CATM0007,20161029,PRCP,142
US1CATM0007,20161030,PRCP,20
US1CATM0007,20161031,PRCP,155
US1CATM0007,20161101,PRCP,28
US1CATM0007,20161102,PRCP,3
US1CATM0007,20161103,PRCP,0
US1CATM0007,20161104,PRCP,0
US1CATM0007,20161105,PRCP,0
US1CATM0007,20161106,PRCP,0
US1CATM0007,20161107,PRCP,0
US1CATM0007,20161108,PRCP,0
US1CATM0007,20161109,PRCP,0
US1CATM0007,20161110,PRCP,0
US1CATM0007,20161111,PRCP,0
US1CATM0007,20161112,PRCP,0
US1CATM0007,20161115,PRCP,0
US1CATM0007,20161116,PRCP,43
US1CATM0007,20161117,PRCP,3
US1CATM0007,20161119,PRCP,0
US1CATM0007,20161120,PRCP,8
US1CATM0007,20161121,PRCP,155
US1CATM0007,20161123,PRCP,145
US1CATM0007,20161124,PRCP,0
