US1CAVT0014,20130318,PRCP,0,Unnamed: 4,Unnamed: 5,N,0700
US1CAVT0014,20130319,PRCP,0,,,N,700
US1CAVT0014,20130320,PRCP,0,,,N,700
US1CAVT0014,20130321,PRCP,0,,,N,700
US1CAVT0014,20130322,PRCP,0,,,N,700
US1CAVT0014,20130323,PRCP,0,,,N,700
US1CAVT0014,20130324,PRCP,0,,,N,700
US1CAVT0014,20130325,PRCP,0,,,N,700
US1CAVT0014,20130326,PRCP,0,,,N,700
US1CAVT0014,20130327,PRCP,0,,,N,700
US1CAVT0014,20130328,PRCP,0,,,N,700
US1CAVT0014,20130329,PRCP,0,,,N,700
US1CAVT0014,20130330,PRCP,0,,,N,700
US1CAVT0014,20130331,PRCP,0,,,N,700
US1CAVT0014,20130318,SNOW,0,,,N,700
US1CAVT0014,20130319,SNOW,0,,,N,700
US1CAVT0014,20130320,SNOW,0,,,N,700
US1CAVT0014,20130321,SNOW,0,,,N,700
US1CAVT0014,20130322,SNOW,0,,,N,700
US1CAVT0014,20130323,SNOW,0,,,N,700
US1CAVT0014,20130324,SNOW,0,,,N,700
US1CAVT0014,20130325,SNOW,0,,,N,700
US1CAVT0014,20130326,SNOW,0,,,N,700
US1CAVT0014,20130327,SNOW,0,,,N,700
US1CAVT0014,20130328,SNOW,0,,,N,700
US1CAVT0014,20130329,SNOW,0,,,N,700
US1CAVT0014,20130330,SNOW,0,,,N,700
US1CAVT0014,20130331,SNOW,0,,,N,700
US1CAVT0014,20130401,PRCP,36,,,N,700
US1CAVT0014,20130402,PRCP,0,,,N,700
US1CAVT0014,20130404,PRCP,0,,,N,700
US1CAVT0014,20130405,PRCP,0,,,N,700
US1CAVT0014,20130406,PRCP,0,,,N,700
US1CAVT0014,20130407,PRCP,0,,,N,700
US1CAVT0014,20130408,PRCP,0,,,N,700
US1CAVT0014,20130414,PRCP,0,,,N,700
US1CAVT0014,20130402,SNOW,0,,,N,700
US1CAVT0014,20130404,SNOW,0,,,N,700
US1CAVT0014,20130405,SNOW,0,,,N,700
US1CAVT0014,20130406,SNOW,0,,,N,700
US1CAVT0014,20130407,SNOW,0,,,N,700
US1CAVT0014,20130408,SNOW,0,,,N,700
US1CAVT0014,20130414,SNOW,0,,,N,700
US1CAVT0014,20130413,SNWD,0,,,N,700
US1CAVT0014,20130413,DAPR,5,,,N,700
US1CAVT0014,20130418,DAPR,4,,,N,0
US1CAVT0014,20130423,DAPR,5,,,N,700
US1CAVT0014,20130428,DAPR,5,,,N,700
US1CAVT0014,20130413,MDPR,0,,,N,700
US1CAVT0014,20130418,MDPR,0,,,N,0
US1CAVT0014,20130423,MDPR,0,,,N,700
US1CAVT0014,20130428,MDPR,0,,,N,700
US1CAVT0014,20130413,WESD,0,,,N,700
US1CAVT0014,20130506,PRCP,64,,,N,700
US1CAVT0014,20130507,PRCP,30,,,N,700
US1CAVT0014,20130505,DAPR,7,,,N,700
US1CAVT0014,20130517,DAPR,10,,,N,700
US1CAVT0014,20130528,DAPR,11,,,N,700
US1CAVT0014,20130505,MDPR,0,,,N,700
US1CAVT0014,20130517,MDPR,0,,,N,700
US1CAVT0014,20130528,MDPR,0,,,N,700
US1CAVT0014,20130628,PRCP,0,,L,N,700
US1CAVT0014,20130628,SNOW,0,,,N,700
US1CAVT0014,20130612,DAPR,15,,,N,700
US1CAVT0014,20130627,DAPR,15,,,N,700
US1CAVT0014,20130612,MDPR,0,,,N,700
US1CAVT0014,20130627,MDPR,0,,,N,700
US1CAVT0014,20130722,PRCP,10,,,N,700
US1CAVT0014,20130721,DAPR,24,,L,N,700
US1CAVT0014,20130721,MDPR,0,,L,N,700
US1CAVT0014,20130809,DAPR,18,,,N,700
US1CAVT0014,20130809,MDPR,0,,,N,700
US1CAVT0014,20130907,DAPR,28,,,N,700
US1CAVT0014,20130907,MDPR,0,,,N,700
US1CAVT0014,20131009,PRCP,5,,,N,700
US1CAVT0014,20131029,PRCP,5,,,N,700
US1CAVT0014,20131030,PRCP,0,,,N,700
US1CAVT0014,20131030,SNOW,0,,,N,700
US1CAVT0014,20131008,DAPR,31,,,N,700
US1CAVT0014,20131020,DAPR,11,,,N,700
US1CAVT0014,20131028,DAPR,8,,,N,700
US1CAVT0014,20131008,MDPR,0,,,N,700
US1CAVT0014,20131020,MDPR,0,,,N,700
US1CAVT0014,20131028,MDPR,0,,,N,700
US1CAVT0014,20131117,PRCP,8,,L,N,700
US1CAVT0014,20131121,PRCP,89,,,N,700
US1CAVT0014,20131129,PRCP,8,,,N,700
US1CAVT0014,20131117,DAPR,18,,L,N,700
US1CAVT0014,20131120,DAPR,3,,,N,700
US1CAVT0014,20131128,DAPR,7,,,N,700
US1CAVT0014,20131117,MDPR,0,,L,N,700
US1CAVT0014,20131120,MDPR,0,,,N,700
US1CAVT0014,20131128,MDPR,0,,,N,700
US1CAVT0014,20131208,PRCP,53,,,N,700
US1CAVT0014,20131207,DAPR,8,,,N,700
US1CAVT0014,20131221,DAPR,13,,,N,700
US1CAVT0014,20131207,MDPR,0,,,N,700
US1CAVT0014,20131221,MDPR,0,,,N,700
US1CAVT0014,20140127,PRCP,0,T,,N,700
US1CAVT0014,20140102,DAPR,12,,,N,700
US1CAVT0014,20140124,DAPR,22,,,N,700
US1CAVT0014,20140126,DAPR,2,,,N,700
US1CAVT0014,20140102,MDPR,0,,,N,700
US1CAVT0014,20140124,MDPR,0,,,N,700
US1CAVT0014,20140126,MDPR,0,,,N,700
US1CAVT0014,20140203,PRCP,15,,,N,700
US1CAVT0014,20140207,PRCP,66,,,N,700
US1CAVT0014,20140208,PRCP,8,,,N,700
US1CAVT0014,20140209,PRCP,8,,,N,700
US1CAVT0014,20140227,PRCP,163,,,N,700
US1CAVT0014,20140228,PRCP,356,,,N,700
US1CAVT0014,20140202,DAPR,6,,,N,700
US1CAVT0014,20140206,DAPR,3,,,N,700
US1CAVT0014,20140226,DAPR,17,,,N,700
US1CAVT0014,20140202,MDPR,0,,,N,700
US1CAVT0014,20140206,MDPR,0,,,N,700
US1CAVT0014,20140226,MDPR,0,,,N,700
US1CAVT0014,20140301,PRCP,290,,,N,700
US1CAVT0014,20140302,PRCP,221,,,N,700
US1CAVT0014,20140303,PRCP,43,,,N,700
US1CAVT0014,20140326,PRCP,8,,,N,700
US1CAVT0014,20140325,DAPR,22,,,N,700
US1CAVT0014,20140331,DAPR,5,,,N,700
US1CAVT0014,20140325,MDPR,0,,,N,700
US1CAVT0014,20140331,MDPR,0,,,N,700
US1CAVT0014,20140401,PRCP,43,,,N,700
US1CAVT0014,20140402,PRCP,10,,,N,700
US1CAVT0014,20140426,PRCP,5,,,N,700
US1CAVT0014,20140425,DAPR,23,,,N,700
US1CAVT0014,20140425,MDPR,0,,,N,700
US1CAVT0014,20140727,DAPR,92,,L,N,700
US1CAVT0014,20140727,MDPR,0,,L,N,700
US1CAVT0014,20140803,PRCP,8,,,N,700
US1CAVT0014,20140804,PRCP,5,,,N,700
