id,date,obs,obs_value
US1CAVT0016,20141224,PRCP,0
US1CAVT0016,20141225,PRCP,0
US1CAVT0016,20141226,PRCP,0
US1CAVT0016,20141227,PRCP,0
US1CAVT0016,20141228,PRCP,0
US1CAVT0016,20141229,PRCP,0
US1CAVT0016,20141230,PRCP,0
US1CAVT0016,20141231,PRCP,0
US1CAVT0016,20141223,SNOW,0
US1CAVT0016,20150101,PRCP,0
US1CAVT0016,20150102,PRCP,0
US1CAVT0016,20150103,PRCP,0
US1CAVT0016,20150104,PRCP,0
US1CAVT0016,20150105,PRCP,0
US1CAVT0016,20150106,PRCP,0
US1CAVT0016,20150107,PRCP,0
US1CAVT0016,20150108,PRCP,0
US1CAVT0016,20150109,PRCP,0
US1CAVT0016,20150110,PRCP,0
US1CAVT0016,20150111,PRCP,467
US1CAVT0016,20150112,PRCP,15
US1CAVT0016,20150113,PRCP,0
US1CAVT0016,20150114,PRCP,0
US1CAVT0016,20150115,PRCP,0
US1CAVT0016,20150116,PRCP,0
US1CAVT0016,20150117,PRCP,0
US1CAVT0016,20150118,PRCP,0
US1CAVT0016,20150119,PRCP,0
US1CAVT0016,20150120,PRCP,0
US1CAVT0016,20150121,PRCP,0
US1CAVT0016,20150122,PRCP,0
US1CAVT0016,20150123,PRCP,0
US1CAVT0016,20150124,PRCP,0
US1CAVT0016,20150125,PRCP,0
US1CAVT0016,20150126,PRCP,0
US1CAVT0016,20150127,PRCP,36
US1CAVT0016,20150128,PRCP,0
US1CAVT0016,20150129,PRCP,0
US1CAVT0016,20150130,PRCP,0
US1CAVT0016,20150131,PRCP,0
US1CAVT0016,20150115,SNOW,0
US1CAVT0016,20150201,PRCP,0
US1CAVT0016,20150202,PRCP,0
US1CAVT0016,20150203,PRCP,0
US1CAVT0016,20150204,PRCP,0
US1CAVT0016,20150205,PRCP,0
US1CAVT0016,20150206,PRCP,0
US1CAVT0016,20150207,PRCP,0
US1CAVT0016,20150208,PRCP,51
US1CAVT0016,20150209,PRCP,0
US1CAVT0016,20150210,PRCP,0
US1CAVT0016,20150211,PRCP,0
US1CAVT0016,20150212,PRCP,0
US1CAVT0016,20150213,PRCP,0
US1CAVT0016,20150214,PRCP,0
US1CAVT0016,20150215,PRCP,0
US1CAVT0016,20150216,PRCP,0
US1CAVT0016,20150217,PRCP,0
US1CAVT0016,20150218,PRCP,0
US1CAVT0016,20150219,PRCP,0
US1CAVT0016,20150220,PRCP,0
US1CAVT0016,20150221,PRCP,0
US1CAVT0016,20150222,PRCP,8
US1CAVT0016,20150223,PRCP,61
US1CAVT0016,20150224,PRCP,0
US1CAVT0016,20150225,PRCP,0
US1CAVT0016,20150226,PRCP,0
US1CAVT0016,20150227,PRCP,0
US1CAVT0016,20150228,PRCP,0
US1CAVT0016,20150211,SNOW,0
US1CAVT0016,20150301,PRCP,74
US1CAVT0016,20150302,PRCP,112
US1CAVT0016,20150303,PRCP,3
US1CAVT0016,20150304,PRCP,0
US1CAVT0016,20150305,PRCP,0
US1CAVT0016,20150306,PRCP,0
US1CAVT0016,20150307,PRCP,0
US1CAVT0016,20150308,PRCP,0
US1CAVT0016,20150309,PRCP,0
US1CAVT0016,20150310,PRCP,0
US1CAVT0016,20150311,PRCP,0
US1CAVT0016,20150312,PRCP,0
US1CAVT0016,20150313,PRCP,0
US1CAVT0016,20150314,PRCP,0
US1CAVT0016,20150315,PRCP,0
US1CAVT0016,20150316,PRCP,0
US1CAVT0016,20150317,PRCP,0
US1CAVT0016,20150318,PRCP,0
US1CAVT0016,20150319,PRCP,0
US1CAVT0016,20150320,PRCP,0
US1CAVT0016,20150321,PRCP,0
US1CAVT0016,20150322,PRCP,0
US1CAVT0016,20150323,PRCP,0
US1CAVT0016,20150324,PRCP,0
US1CAVT0016,20150325,PRCP,0
US1CAVT0016,20150326,PRCP,0
US1CAVT0016,20150327,PRCP,0
US1CAVT0016,20150328,PRCP,0
US1CAVT0016,20150329,PRCP,0
US1CAVT0016,20150330,PRCP,0
US1CAVT0016,20150331,PRCP,0
US1CAVT0016,20150329,SNOW,0
US1CAVT0016,20150401,PRCP,0
US1CAVT0016,20150402,PRCP,0
US1CAVT0016,20150403,PRCP,0
US1CAVT0016,20150404,PRCP,0
US1CAVT0016,20150405,PRCP,0
US1CAVT0016,20150406,PRCP,0
US1CAVT0016,20150407,PRCP,0
US1CAVT0016,20150408,PRCP,23
US1CAVT0016,20150409,PRCP,0
US1CAVT0016,20150410,PRCP,0
US1CAVT0016,20150411,PRCP,0
US1CAVT0016,20150412,PRCP,0
US1CAVT0016,20150413,PRCP,0
US1CAVT0016,20150414,PRCP,0
US1CAVT0016,20150415,PRCP,0
US1CAVT0016,20150416,PRCP,0
US1CAVT0016,20150417,PRCP,0
US1CAVT0016,20150418,PRCP,0
US1CAVT0016,20150419,PRCP,0
US1CAVT0016,20150420,PRCP,0
US1CAVT0016,20150421,PRCP,0
US1CAVT0016,20150422,PRCP,0
US1CAVT0016,20150423,PRCP,0
US1CAVT0016,20150424,PRCP,5
