id,date,obs,obs_value
USC00042706,19791102,TMAX,283
USC00042706,19791103,TMAX,239
USC00042706,19791104,TMAX,206
USC00042706,19791105,TMAX,272
USC00042706,19791106,TMAX,233
USC00042706,19791107,TMAX,206
USC00042706,19791108,TMAX,200
USC00042706,19791109,TMAX,200
USC00042706,19791110,TMAX,228
USC00042706,19791111,TMAX,239
USC00042706,19791112,TMAX,267
USC00042706,19791113,TMAX,289
USC00042706,19791115,TMAX,278
USC00042706,19791116,TMAX,283
USC00042706,19791117,TMAX,233
USC00042706,19791118,TMAX,211
USC00042706,19791119,TMAX,189
USC00042706,19791120,TMAX,200
USC00042706,19791121,TMAX,211
USC00042706,19791122,TMAX,211
USC00042706,19791123,TMAX,194
USC00042706,19791124,TMAX,250
USC00042706,19791125,TMAX,233
USC00042706,19791126,TMAX,194
USC00042706,19791127,TMAX,239
USC00042706,19791129,TMAX,256
USC00042706,19791130,TMAX,272
USC00042706,19791101,TMIN,67
USC00042706,19791102,TMIN,78
USC00042706,19791103,TMIN,56
USC00042706,19791104,TMIN,117
USC00042706,19791105,TMIN,61
USC00042706,19791106,TMIN,72
USC00042706,19791107,TMIN,106
USC00042706,19791108,TMIN,128
USC00042706,19791109,TMIN,94
USC00042706,19791110,TMIN,78
USC00042706,19791111,TMIN,83
USC00042706,19791112,TMIN,56
USC00042706,19791113,TMIN,44
USC00042706,19791115,TMIN,39
USC00042706,19791116,TMIN,39
USC00042706,19791117,TMIN,78
USC00042706,19791118,TMIN,100
USC00042706,19791119,TMIN,61
USC00042706,19791120,TMIN,6
USC00042706,19791121,TMIN,-17
USC00042706,19791122,TMIN,-6
USC00042706,19791123,TMIN,50
USC00042706,19791124,TMIN,33
USC00042706,19791125,TMIN,44
USC00042706,19791126,TMIN,100
USC00042706,19791127,TMIN,100
USC00042706,19791129,TMIN,39
USC00042706,19791130,TMIN,33
USC00042706,19791101,TOBS,211
USC00042706,19791102,TOBS,222
USC00042706,19791103,TOBS,183
USC00042706,19791104,TOBS,172
USC00042706,19791105,TOBS,211
USC00042706,19791106,TOBS,206
USC00042706,19791107,TOBS,172
USC00042706,19791108,TOBS,167
USC00042706,19791109,TOBS,167
USC00042706,19791110,TOBS,206
USC00042706,19791111,TOBS,189
USC00042706,19791112,TOBS,250
USC00042706,19791113,TOBS,244
USC00042706,19791115,TOBS,239
USC00042706,19791116,TOBS,233
USC00042706,19791117,TOBS,172
USC00042706,19791118,TOBS,189
USC00042706,19791119,TOBS,167
USC00042706,19791120,TOBS,156
USC00042706,19791121,TOBS,167
USC00042706,19791122,TOBS,167
USC00042706,19791123,TOBS,172
USC00042706,19791124,TOBS,200
USC00042706,19791125,TOBS,194
USC00042706,19791126,TOBS,161
USC00042706,19791127,TOBS,194
USC00042706,19791129,TOBS,217
USC00042706,19791130,TOBS,233
USC00042706,19791101,PRCP,0
USC00042706,19791102,PRCP,0
USC00042706,19791103,PRCP,0
USC00042706,19791104,PRCP,28
USC00042706,19791105,PRCP,0
USC00042706,19791106,PRCP,0
USC00042706,19791107,PRCP,0
USC00042706,19791108,PRCP,43
USC00042706,19791109,PRCP,0
USC00042706,19791110,PRCP,0
USC00042706,19791111,PRCP,0
USC00042706,19791112,PRCP,0
USC00042706,19791113,PRCP,0
USC00042706,19791114,PRCP,0
USC00042706,19791115,PRCP,0
USC00042706,19791116,PRCP,0
USC00042706,19791117,PRCP,0
USC00042706,19791118,PRCP,5
USC00042706,19791119,PRCP,0
USC00042706,19791120,PRCP,0
USC00042706,19791121,PRCP,0
USC00042706,19791122,PRCP,0
USC00042706,19791123,PRCP,0
USC00042706,19791124,PRCP,0
USC00042706,19791125,PRCP,0
USC00042706,19791126,PRCP,0
USC00042706,19791127,PRCP,0
USC00042706,19791128,PRCP,0
USC00042706,19791129,PRCP,0
USC00042706,19791130,PRCP,0
USC00042706,19791101,SNOW,0
USC00042706,19791102,SNOW,0
USC00042706,19791103,SNOW,0
USC00042706,19791104,SNOW,0
USC00042706,19791105,SNOW,0
USC00042706,19791106,SNOW,0
USC00042706,19791107,SNOW,0
USC00042706,19791108,SNOW,0
USC00042706,19791109,SNOW,0
USC00042706,19791110,SNOW,0
USC00042706,19791111,SNOW,0
USC00042706,19791112,SNOW,0
USC00042706,19791113,SNOW,0
USC00042706,19791114,SNOW,0
USC00042706,19791115,SNOW,0
USC00042706,19791116,SNOW,0
USC00042706,19791117,SNOW,0
USC00042706,19791118,SNOW,0
USC00042706,19791119,SNOW,0
USC00042706,19791120,SNOW,0
USC00042706,19791121,SNOW,0
USC00042706,19791122,SNOW,0
USC00042706,19791123,SNOW,0
USC00042706,19791124,SNOW,0
USC00042706,19791125,SNOW,0
USC00042706,19791126,SNOW,0
USC00042706,19791127,SNOW,0
USC00042706,19791128,SNOW,0
