id,date,obs,obs_value
USR0000CFRE,19910724,TMAX,250
USR0000CFRE,19910725,TMAX,256
USR0000CFRE,19910726,TMAX,261
USR0000CFRE,19910727,TMAX,278
USR0000CFRE,19910728,TMAX,317
USR0000CFRE,19910729,TMAX,294
USR0000CFRE,19910730,TMAX,261
USR0000CFRE,19910731,TMAX,267
USR0000CFRE,19910723,TMIN,139
USR0000CFRE,19910724,TMIN,139
USR0000CFRE,19910725,TMIN,139
USR0000CFRE,19910726,TMIN,144
USR0000CFRE,19910727,TMIN,233
USR0000CFRE,19910728,TMIN,211
USR0000CFRE,19910729,TMIN,200
USR0000CFRE,19910730,TMIN,194
USR0000CFRE,19910731,TMIN,178
USR0000CFRE,19910723,TAVG,143
USR0000CFRE,19910724,TAVG,195
USR0000CFRE,19910725,TAVG,193
USR0000CFRE,19910726,TAVG,179
USR0000CFRE,19910727,TAVG,258
USR0000CFRE,19910728,TAVG,264
USR0000CFRE,19910729,TAVG,239
USR0000CFRE,19910730,TAVG,222
USR0000CFRE,19910731,TAVG,213
USR0000CFRE,19910801,TMAX,272
USR0000CFRE,19910802,TMAX,211
USR0000CFRE,19910803,TMAX,267
USR0000CFRE,19910804,TMAX,250
USR0000CFRE,19910805,TMAX,239
USR0000CFRE,19910806,TMAX,161
USR0000CFRE,19910807,TMAX,289
USR0000CFRE,19910808,TMAX,211
USR0000CFRE,19910820,TMAX,233
USR0000CFRE,19910821,TMAX,283
USR0000CFRE,19910822,TMAX,311
USR0000CFRE,19910823,TMAX,317
USR0000CFRE,19910824,TMAX,300
USR0000CFRE,19910826,TMAX,283
USR0000CFRE,19910827,TMAX,267
USR0000CFRE,19910828,TMAX,278
USR0000CFRE,19910829,TMAX,189
USR0000CFRE,19910831,TMAX,206
USR0000CFRE,19910801,TMIN,211
USR0000CFRE,19910802,TMIN,156
USR0000CFRE,19910803,TMIN,144
USR0000CFRE,19910804,TMIN,139
USR0000CFRE,19910805,TMIN,139
USR0000CFRE,19910806,TMIN,128
USR0000CFRE,19910807,TMIN,139
USR0000CFRE,19910808,TMIN,206
USR0000CFRE,19910820,TMIN,217
USR0000CFRE,19910821,TMIN,239
USR0000CFRE,19910822,TMIN,272
USR0000CFRE,19910823,TMIN,317
USR0000CFRE,19910824,TMIN,206
USR0000CFRE,19910826,TMIN,189
USR0000CFRE,19910827,TMIN,233
USR0000CFRE,19910828,TMIN,150
USR0000CFRE,19910829,TMIN,183
USR0000CFRE,19910831,TMIN,194
USR0000CFRE,19910801,TAVG,238
USR0000CFRE,19910802,TAVG,183
USR0000CFRE,19910803,TAVG,202
USR0000CFRE,19910804,TAVG,162
USR0000CFRE,19910805,TAVG,178
USR0000CFRE,19910806,TAVG,140
USR0000CFRE,19910807,TAVG,208
USR0000CFRE,19910808,TAVG,209
USR0000CFRE,19910820,TAVG,226
USR0000CFRE,19910821,TAVG,261
USR0000CFRE,19910822,TAVG,291
USR0000CFRE,19910823,TAVG,317
USR0000CFRE,19910824,TAVG,264
USR0000CFRE,19910826,TAVG,237
USR0000CFRE,19910827,TAVG,250
USR0000CFRE,19910828,TAVG,203
USR0000CFRE,19910829,TAVG,185
USR0000CFRE,19910831,TAVG,198
USR0000CFRE,19910902,TMAX,211
USR0000CFRE,19910905,TMAX,194
USR0000CFRE,19910910,TMAX,178
USR0000CFRE,19910911,TMAX,128
USR0000CFRE,19910912,TMAX,144
USR0000CFRE,19910913,TMAX,233
USR0000CFRE,19910916,TMAX,289
USR0000CFRE,19910917,TMAX,256
USR0000CFRE,19910918,TMAX,267
USR0000CFRE,19910924,TMAX,317
USR0000CFRE,19910925,TMAX,239
USR0000CFRE,19910926,TMAX,300
USR0000CFRE,19910927,TMAX,272
USR0000CFRE,19910928,TMAX,311
USR0000CFRE,19910929,TMAX,233
USR0000CFRE,19910930,TMAX,239
USR0000CFRE,19910902,TMIN,200
USR0000CFRE,19910905,TMIN,183
USR0000CFRE,19910910,TMIN,150
USR0000CFRE,19910911,TMIN,122
USR0000CFRE,19910912,TMIN,128
USR0000CFRE,19910913,TMIN,222
USR0000CFRE,19910916,TMIN,256
USR0000CFRE,19910917,TMIN,256
USR0000CFRE,19910918,TMIN,161
USR0000CFRE,19910924,TMIN,294
USR0000CFRE,19910925,TMIN,228
USR0000CFRE,19910926,TMIN,211
USR0000CFRE,19910927,TMIN,217
USR0000CFRE,19910928,TMIN,289
USR0000CFRE,19910929,TMIN,211
USR0000CFRE,19910930,TMIN,222
USR0000CFRE,19910902,TAVG,207
USR0000CFRE,19910905,TAVG,187
USR0000CFRE,19910910,TAVG,165
USR0000CFRE,19910911,TAVG,126
USR0000CFRE,19910912,TAVG,133
USR0000CFRE,19910913,TAVG,226
USR0000CFRE,19910916,TAVG,272
USR0000CFRE,19910917,TAVG,256
USR0000CFRE,19910918,TAVG,224
USR0000CFRE,19910924,TAVG,309
USR0000CFRE,19910925,TAVG,233
USR0000CFRE,19910926,TAVG,240
USR0000CFRE,19910927,TAVG,236
USR0000CFRE,19910928,TAVG,300
USR0000CFRE,19910929,TAVG,221
USR0000CFRE,19910930,TAVG,229
USR0000CFRE,19911004,TMAX,278
USR0000CFRE,19911005,TMAX,256
USR0000CFRE,19911008,TMAX,272
USR0000CFRE,19911009,TMAX,300
USR0000CFRE,19911010,TMAX,344
USR0000CFRE,19911011,TMAX,344
USR0000CFRE,19911012,TMAX,294
USR0000CFRE,19911013,TMAX,311
USR0000CFRE,19911014,TMAX,300
USR0000CFRE,19911015,TMAX,272
USR0000CFRE,19911016,TMAX,283
USR0000CFRE,19911017,TMAX,289
USR0000CFRE,19911018,TMAX,328
USR0000CFRE,19911019,TMAX,333
