id,date,obs,obs_value
USR0000CMAR,19880923,TMAX,233
USR0000CMAR,19880924,TMAX,222
USR0000CMAR,19880925,TMAX,200
USR0000CMAR,19880926,TMAX,206
USR0000CMAR,19880927,TMAX,211
USR0000CMAR,19880928,TMAX,256
USR0000CMAR,19880929,TMAX,289
USR0000CMAR,19880930,TMAX,289
USR0000CMAR,19880922,TMIN,89
USR0000CMAR,19880923,TMIN,83
USR0000CMAR,19880924,TMIN,100
USR0000CMAR,19880925,TMIN,94
USR0000CMAR,19880926,TMIN,83
USR0000CMAR,19880927,TMIN,89
USR0000CMAR,19880928,TMIN,122
USR0000CMAR,19880929,TMIN,139
USR0000CMAR,19880930,TMIN,156
USR0000CMAR,19880922,TAVG,138
USR0000CMAR,19880923,TAVG,146
USR0000CMAR,19880924,TAVG,151
USR0000CMAR,19880925,TAVG,134
USR0000CMAR,19880926,TAVG,133
USR0000CMAR,19880927,TAVG,141
USR0000CMAR,19880928,TAVG,177
USR0000CMAR,19880929,TAVG,198
USR0000CMAR,19880930,TAVG,202
USR0000CMAR,19881001,TMAX,278
USR0000CMAR,19881002,TMAX,267
USR0000CMAR,19881003,TMAX,217
USR0000CMAR,19881004,TMAX,250
USR0000CMAR,19881005,TMAX,211
USR0000CMAR,19881006,TMAX,200
USR0000CMAR,19881007,TMAX,222
USR0000CMAR,19881008,TMAX,244
USR0000CMAR,19881009,TMAX,256
USR0000CMAR,19881010,TMAX,228
USR0000CMAR,19881011,TMAX,200
USR0000CMAR,19881012,TMAX,189
USR0000CMAR,19881013,TMAX,167
USR0000CMAR,19881014,TMAX,178
USR0000CMAR,19881015,TMAX,244
USR0000CMAR,19881016,TMAX,272
USR0000CMAR,19881017,TMAX,278
USR0000CMAR,19881018,TMAX,278
USR0000CMAR,19881019,TMAX,256
USR0000CMAR,19881020,TMAX,261
USR0000CMAR,19881021,TMAX,261
USR0000CMAR,19881023,TMAX,189
USR0000CMAR,19881024,TMAX,244
USR0000CMAR,19881025,TMAX,256
USR0000CMAR,19881026,TMAX,244
USR0000CMAR,19881027,TMAX,194
USR0000CMAR,19881028,TMAX,122
USR0000CMAR,19881029,TMAX,183
USR0000CMAR,19881030,TMAX,211
USR0000CMAR,19881031,TMAX,211
USR0000CMAR,19881001,TMIN,150
USR0000CMAR,19881002,TMIN,133
USR0000CMAR,19881003,TMIN,139
USR0000CMAR,19881004,TMIN,128
USR0000CMAR,19881005,TMIN,94
USR0000CMAR,19881006,TMIN,78
USR0000CMAR,19881007,TMIN,83
USR0000CMAR,19881008,TMIN,117
USR0000CMAR,19881009,TMIN,122
USR0000CMAR,19881010,TMIN,111
USR0000CMAR,19881011,TMIN,78
USR0000CMAR,19881012,TMIN,67
USR0000CMAR,19881013,TMIN,72
USR0000CMAR,19881014,TMIN,44
USR0000CMAR,19881015,TMIN,94
USR0000CMAR,19881016,TMIN,139
USR0000CMAR,19881017,TMIN,144
USR0000CMAR,19881018,TMIN,144
USR0000CMAR,19881019,TMIN,122
USR0000CMAR,19881020,TMIN,128
USR0000CMAR,19881021,TMIN,139
USR0000CMAR,19881023,TMIN,122
USR0000CMAR,19881024,TMIN,122
USR0000CMAR,19881025,TMIN,128
USR0000CMAR,19881026,TMIN,111
USR0000CMAR,19881027,TMIN,100
USR0000CMAR,19881028,TMIN,111
USR0000CMAR,19881029,TMIN,78
USR0000CMAR,19881030,TMIN,83
USR0000CMAR,19881031,TMIN,100
USR0000CMAR,19881001,TAVG,196
USR0000CMAR,19881002,TAVG,195
USR0000CMAR,19881003,TAVG,166
USR0000CMAR,19881004,TAVG,171
USR0000CMAR,19881005,TAVG,143
USR0000CMAR,19881006,TAVG,124
USR0000CMAR,19881007,TAVG,144
USR0000CMAR,19881008,TAVG,164
USR0000CMAR,19881009,TAVG,173
USR0000CMAR,19881010,TAVG,157
USR0000CMAR,19881011,TAVG,129
USR0000CMAR,19881012,TAVG,116
USR0000CMAR,19881013,TAVG,113
USR0000CMAR,19881014,TAVG,100
USR0000CMAR,19881015,TAVG,157
USR0000CMAR,19881016,TAVG,181
USR0000CMAR,19881017,TAVG,189
USR0000CMAR,19881018,TAVG,189
USR0000CMAR,19881019,TAVG,169
USR0000CMAR,19881020,TAVG,182
USR0000CMAR,19881021,TAVG,183
USR0000CMAR,19881023,TAVG,142
USR0000CMAR,19881024,TAVG,163
USR0000CMAR,19881025,TAVG,168
USR0000CMAR,19881026,TAVG,156
USR0000CMAR,19881027,TAVG,139
USR0000CMAR,19881028,TAVG,118
USR0000CMAR,19881029,TAVG,118
USR0000CMAR,19881030,TAVG,129
USR0000CMAR,19881031,TAVG,143
USR0000CMAR,19881101,TMAX,178
USR0000CMAR,19881102,TMAX,128
USR0000CMAR,19881103,TMAX,183
USR0000CMAR,19881104,TMAX,200
USR0000CMAR,19881105,TMAX,222
USR0000CMAR,19881106,TMAX,172
USR0000CMAR,19881107,TMAX,144
USR0000CMAR,19881110,TMAX,56
USR0000CMAR,19881111,TMAX,111
USR0000CMAR,19881112,TMAX,144
USR0000CMAR,19881113,TMAX,56
USR0000CMAR,19881114,TMAX,56
USR0000CMAR,19881115,TMAX,94
USR0000CMAR,19881116,TMAX,17
USR0000CMAR,19881117,TMAX,33
USR0000CMAR,19881118,TMAX,94
USR0000CMAR,19881119,TMAX,100
USR0000CMAR,19881120,TMAX,106
USR0000CMAR,19881121,TMAX,139
USR0000CMAR,19881122,TMAX,67
USR0000CMAR,19881123,TMAX,61
USR0000CMAR,19881124,TMAX,22
