id,date,obs,obs_value
USR0000CQUI,19881019,TMAX,106
USR0000CQUI,19881028,TMAX,-172
USR0000CQUI,19881029,TMAX,-150
USR0000CQUI,19881030,TMAX,217
USR0000CQUI,19881031,TMAX,244
USR0000CQUI,19881018,TMIN,111
USR0000CQUI,19881019,TMIN,67
USR0000CQUI,19881028,TMIN,-172
USR0000CQUI,19881029,TMIN,-178
USR0000CQUI,19881030,TMIN,-172
USR0000CQUI,19881031,TMIN,33
USR0000CQUI,19881018,TAVG,197
USR0000CQUI,19881019,TAVG,83
USR0000CQUI,19881028,TAVG,-172
USR0000CQUI,19881029,TAVG,-168
USR0000CQUI,19881030,TAVG,81
USR0000CQUI,19881031,TAVG,114
USR0000CQUI,19881101,TMAX,178
USR0000CQUI,19881102,TMAX,100
USR0000CQUI,19881103,TMAX,111
USR0000CQUI,19881104,TMAX,183
USR0000CQUI,19881105,TMAX,211
USR0000CQUI,19881106,TMAX,150
USR0000CQUI,19881107,TMAX,122
USR0000CQUI,19881110,TMAX,44
USR0000CQUI,19881111,TMAX,78
USR0000CQUI,19881112,TMAX,67
USR0000CQUI,19881113,TMAX,67
USR0000CQUI,19881114,TMAX,61
USR0000CQUI,19881115,TMAX,61
USR0000CQUI,19881116,TMAX,33
USR0000CQUI,19881117,TMAX,44
USR0000CQUI,19881118,TMAX,44
USR0000CQUI,19881119,TMAX,78
USR0000CQUI,19881120,TMAX,106
USR0000CQUI,19881121,TMAX,67
USR0000CQUI,19881122,TMAX,67
USR0000CQUI,19881123,TMAX,67
USR0000CQUI,19881124,TMAX,-22
USR0000CQUI,19881101,TMIN,72
USR0000CQUI,19881102,TMIN,44
USR0000CQUI,19881103,TMIN,61
USR0000CQUI,19881104,TMIN,44
USR0000CQUI,19881105,TMIN,28
USR0000CQUI,19881106,TMIN,33
USR0000CQUI,19881107,TMIN,17
USR0000CQUI,19881110,TMIN,17
USR0000CQUI,19881111,TMIN,-6
USR0000CQUI,19881112,TMIN,39
USR0000CQUI,19881113,TMIN,-6
USR0000CQUI,19881114,TMIN,-28
USR0000CQUI,19881115,TMIN,-6
USR0000CQUI,19881116,TMIN,-6
USR0000CQUI,19881117,TMIN,-33
USR0000CQUI,19881118,TMIN,-67
USR0000CQUI,19881119,TMIN,-50
USR0000CQUI,19881120,TMIN,-17
USR0000CQUI,19881121,TMIN,-22
USR0000CQUI,19881122,TMIN,22
USR0000CQUI,19881123,TMIN,-22
USR0000CQUI,19881124,TMIN,-28
USR0000CQUI,19881101,TAVG,116
USR0000CQUI,19881102,TAVG,66
USR0000CQUI,19881103,TAVG,85
