id,date,obs,obs_value
USR0000CWOO,20030524,TMAX,167
USR0000CWOO,20030525,TMAX,178
USR0000CWOO,20030526,TMAX,211
USR0000CWOO,20030527,TMAX,322
USR0000CWOO,20030528,TMAX,333
USR0000CWOO,20030529,TMAX,250
USR0000CWOO,20030530,TMAX,194
USR0000CWOO,20030531,TMAX,256
USR0000CWOO,20030523,TMIN,89
USR0000CWOO,20030524,TMIN,83
USR0000CWOO,20030525,TMIN,78
USR0000CWOO,20030526,TMIN,72
USR0000CWOO,20030527,TMIN,150
USR0000CWOO,20030528,TMIN,167
USR0000CWOO,20030529,TMIN,94
USR0000CWOO,20030530,TMIN,78
USR0000CWOO,20030531,TMIN,83
USR0000CWOO,20030523,TAVG,172
USR0000CWOO,20030524,TAVG,110
USR0000CWOO,20030525,TAVG,127
USR0000CWOO,20030526,TAVG,143
USR0000CWOO,20030527,TAVG,226
USR0000CWOO,20030528,TAVG,243
USR0000CWOO,20030529,TAVG,156
USR0000CWOO,20030530,TAVG,119
USR0000CWOO,20030531,TAVG,164
USR0000CWOO,20030601,TMAX,311
USR0000CWOO,20030602,TMAX,339
USR0000CWOO,20030603,TMAX,267
USR0000CWOO,20030604,TMAX,206
USR0000CWOO,20030605,TMAX,183
USR0000CWOO,20030606,TMAX,178
USR0000CWOO,20030607,TMAX,172
USR0000CWOO,20030608,TMAX,200
USR0000CWOO,20030609,TMAX,144
USR0000CWOO,20030610,TMAX,167
USR0000CWOO,20030611,TMAX,139
USR0000CWOO,20030612,TMAX,178
USR0000CWOO,20030613,TMAX,211
USR0000CWOO,20030614,TMAX,239
USR0000CWOO,20030615,TMAX,289
USR0000CWOO,20030616,TMAX,317
USR0000CWOO,20030617,TMAX,256
USR0000CWOO,20030618,TMAX,206
USR0000CWOO,20030619,TMAX,200
USR0000CWOO,20030620,TMAX,189
USR0000CWOO,20030621,TMAX,217
USR0000CWOO,20030622,TMAX,239
USR0000CWOO,20030623,TMAX,178
USR0000CWOO,20030624,TMAX,294
USR0000CWOO,20030625,TMAX,339
USR0000CWOO,20030626,TMAX,372
USR0000CWOO,20030627,TMAX,372
USR0000CWOO,20030628,TMAX,339
USR0000CWOO,20030629,TMAX,261
USR0000CWOO,20030630,TMAX,239
USR0000CWOO,20030601,TMIN,133
USR0000CWOO,20030602,TMIN,183
USR0000CWOO,20030603,TMIN,100
USR0000CWOO,20030604,TMIN,89
USR0000CWOO,20030605,TMIN,89
USR0000CWOO,20030606,TMIN,94
USR0000CWOO,20030607,TMIN,89
USR0000CWOO,20030608,TMIN,78
USR0000CWOO,20030609,TMIN,83
USR0000CWOO,20030610,TMIN,83
USR0000CWOO,20030611,TMIN,83
USR0000CWOO,20030612,TMIN,78
USR0000CWOO,20030613,TMIN,83
USR0000CWOO,20030614,TMIN,78
USR0000CWOO,20030615,TMIN,89
USR0000CWOO,20030616,TMIN,111
USR0000CWOO,20030617,TMIN,89
USR0000CWOO,20030618,TMIN,83
USR0000CWOO,20030619,TMIN,78
USR0000CWOO,20030620,TMIN,89
USR0000CWOO,20030621,TMIN,83
USR0000CWOO,20030622,TMIN,78
USR0000CWOO,20030623,TMIN,78
USR0000CWOO,20030624,TMIN,100
USR0000CWOO,20030625,TMIN,211
USR0000CWOO,20030626,TMIN,233
USR0000CWOO,20030627,TMIN,211
