weatherstn,ALARM_DATE,Fire station name,UNIT_ID,GIS_ACRES,Shape__Area,Shape__Length,YEAR_
USR0000CWEE,2023-06-17,Siskiyou CAL FIRE,SKU,5.729125,41407.83984,1247.166034,2023
USC00046685,2023-06-02,Butte CAL FIRE,BTU,13.60238,93455.87891,1285.51455,2023
US1CAAM0003,2023-07-01,Amador - El Dorado CAL FIRE,AEU,27.81446,183028.5,2697.587429,2023
US1CAAM0003,2023-07-11,Amador - El Dorado CAL FIRE,AEU,58.76023,388221.9531,2548.738779,2023
US1CAAM0003,2023-07-11,Amador - El Dorado CAL FIRE,AEU,70.979,466456.0078,5106.936526,2023
US1CAAM0003,2023-06-18,Amador - El Dorado CAL FIRE,AEU,28.63791,188516.9844,1941.509834,2023
USC00048338,2023-07-13,Monterey - San Benito CAL FIRE,BEU,13.59313,85835.91797,1776.43876,2023
USC00048338,2023-07-09,Monterey - San Benito CAL FIRE,BEU,391.3749,2412533.555,10733.81231,2023
USC00048338,2023-07-15,Monterey - San Benito CAL FIRE,BEU,40.41796,249660.2734,2407.166957,2023
USC00048338,2023-07-19,Monterey - San Benito CAL FIRE,BEU,296.6445,1860464.301,10225.77424,2023
USC00048135,2023-07-24,Shasta - Trinity CAL FIRE,SHU,161.8137,1141858.59,7184.885556,2023
USC00048135,2023-06-15,Shasta - Trinity CAL FIRE,SHU,11.91801,83320.98438,1388.850907,2023
USC00048135,2023-07-29,Shasta - Trinity CAL FIRE,SHU,20.67,143460.0078,2544.541868,2023
USC00046685,2023-07-26,Butte CAL FIRE,BTU,52.17383,354598.3047,3866.55622,2023
USC00046685,2023-06-21,Butte CAL FIRE,BTU,10.07201,68524.96875,1209.305534,2023
US1CASD0026,2023-07-14,Riverside CAL FIRE,RRU,8354.776,49193097.95,47639.74371,2023
US1CASD0026,2023-07-14,Riverside CAL FIRE,RRU,104.0207,612635.0234,3915.572572,2023
US1CASD0026,2023-07-14,Riverside CAL FIRE,RRU,435.684,2570257.996,8565.275166,2023
US1CASD0026,2023-07-15,Riverside CAL FIRE,RRU,334.5828,1966205.473,7959.666575,2023
US1CASD0026,2023-05-22,Riverside CAL FIRE,RRU,337.9316,1986003.473,7664.101118,2023
USC00046685,2023-08-09,Butte CAL FIRE,BTU,74.10231,502589.3828,3982.267221,2023
US1CAMD0033,2023-08-15,Mendocino CAL FIRE,MEU,56.87772,392924.7188,3555.765061,2023
USC00046685,2023-09-16,Butte CAL FIRE,BTU,19.28816,132527.5547,1574.848976,2023
US1CAAM0003,2023-10-14,Amador - El Dorado CAL FIRE,AEU,11.7,77082.01563,1326.148407,2023
US1CASD0026,2023-10-30,Riverside CAL FIRE,RRU,2487.0,14121208.05,47327.11258,2023
US1CAAM0003,2023-11-02,Amador - El Dorado CAL FIRE,AEU,11.1,71774.98047,1248.542782,2023
USC00046685,2023-11-12,Butte CAL FIRE,BTU,11.12262,75606.78906,1183.889293,2023
USC00040332,2023-05-01,Kern County,KRN,83.71268,512475.9492,3523.409965,2023
USC00040332,2023-05-03,Kern County,KRN,5.948729,36450.41797,1312.571076,2023
USC00040332,2023-05-10,Kern County,KRN,3.267727,19948.78906,742.6678965,2023
USC00040332,2023-05-12,Kern County,KRN,225.6406,1383222.348,5326.455438,2023
USC00040332,2023-05-14,Kern County,KRN,14.74279,90465.5625,1800.283397,2023
USC00040332,2023-05-18,Kern County,KRN,6.763345,44627.17578,1060.998371,2023
USC00040332,2023-05-21,Kern County,KRN,9.687215,58624.11328,1374.362261,2023
USC00040332,2023-05-22,Kern County,KRN,6.860587,41750.76172,1105.910521,2023
USC00040332,2023-06-04,Kern County,KRN,4.915308,29805.71094,907.3030071,2023
USC00040332,2023-06-05,Kern County,KRN,83.47556,504927.5117,4146.015979,2023
USC00040332,2023-06-08,Kern County,KRN,59.26785,363380.9922,3161.213855,2023
USC00040332,2023-06-13,Kern County,KRN,5.666053,34513.80078,1180.0278,2023
USC00040332,2023-06-20,Kern County,KRN,5.777378,35535.09375,1446.944898,2023
USC00040332,2023-06-23,Kern County,KRN,6.419109,39402.58203,773.8450447,2023
USC00040332,2023-06-24,Kern County,KRN,3.334712,20361.14453,646.5848976,2023
USC00040332,2023-06-27,Kern County,KRN,5.966745,36596.77734,1362.921932,2023
USC00040332,2023-06-27,Kern County,KRN,7.961721,48856.96875,1201.877918,2023
USC00040332,2023-06-30,Kern County,KRN,107.8487,651052.4961,4648.685372,2023
USC00040332,2023-06-30,Kern County,KRN,17.15697,103697.0508,2221.221103,2023
USC00040332,2023-07-03,Kern County,KRN,536.0197,3290774.258,11616.36524,2023
USC00040332,2023-07-02,Kern County,KRN,9.05986,54912.94531,1875.048162,2023
USC00040332,2023-07-03,Kern County,KRN,9.613276,67641.21484,1438.102788,2023
USC00040332,2023-07-04,Kern County,KRN,6.170191,37428.29297,1100.114064,2023
USC00040332,2023-07-11,Kern County,KRN,3.72376,22675.67188,1174.858487,2023
USC00040332,2023-07-13,Kern County,KRN,4.990486,30309.01172,777.1840711,2023
USC00040332,2023-07-07,Kern County,KRN,1043.665,6292144.941,12913.90591,2023
USC00040332,2023-07-19,Kern County,KRN,52.75753,321188.9844,2453.604666,2023
USC00040332,2023-07-28,Kern County,KRN,20.61374,126800.3203,4049.189388,2023
USC00040332,2023-07-31,Kern County,KRN,60.6251,368792.3945,3734.179741,2023
USC00040332,2023-07-31,Kern County,KRN,34.74714,209238.9883,3222.649803,2023
USC00040332,2023-08-01,Kern County,KRN,4.387525,26755.98828,786.5703308,2023
USC00040332,2023-08-01,Kern County,KRN,1291.166,7899533.195,15390.52166,2023
USC00040332,2023-08-03,Kern County,KRN,14.59014,88044.42188,1789.612775,2023
USC00040332,2023-08-06,Kern County,KRN,5228.871,32043957.12,45656.06609,2023
USC00040332,2023-08-04,Kern County,KRN,89.46474,542043.4219,8956.07929,2023
USC00040332,2023-08-09,Kern County,KRN,3.816716,23131.67578,712.3148402,2023
USC00040332,2023-08-13,Kern County,KRN,16.05068,97481.03906,1702.39472,2023
USC00040332,2023-08-14,Kern County,KRN,52.54716,318702.4023,4868.132912,2023
USC00040332,2023-08-14,Kern County,KRN,4.713907,28567.82422,1609.346326,2023
USC00040332,2023-08-19,Kern County,KRN,34.64903,212358.3164,2262.750295,2023
USC00040332,2023-08-27,Kern County,KRN,4.015996,24437.21094,825.4634468,2023
USC00040332,2023-08-28,Kern County,KRN,33.32077,205300.0156,2251.139338,2023
USC00040332,2023-09-09,Kern County,KRN,7.908133,48110.35156,1631.93772,2023
USC00040332,2023-09-09,Kern County,KRN,7.309518,44897.99219,924.0046553,2023
USC00040332,2023-09-16,Kern County,KRN,55.02539,334837.2266,3260.976917,2023
USC00040332,2023-09-21,Kern County,KRN,10.37647,63111.26172,1553.043777,2023
USC00040332,2023-09-22,Kern County,KRN,5.175606,31535.89844,1666.751888,2023
USC00040332,2023-09-22,Kern County,KRN,5.002238,30675.01172,1041.266043,2023
USC00040332,2023-09-26,Kern County,KRN,7.971368,48879.41016,1049.611246,2023
USC00040332,2023-09-27,Kern County,KRN,6.430629,39461.25391,987.0435636,2023
USC00040332,2023-09-27,Kern County,KRN,13.71712,82917.83594,1781.110361,2023
USC00040332,2023-10-06,Kern County,KRN,4.440306,27030.42578,1277.931063,2023
USC00040332,2023-10-07,Kern County,KRN,3.030688,18364.57422,881.1876633,2023
USC00040332,2023-10-18,Kern County,KRN,5.226628,32146.07422,860.3486968,2023
USC00040332,2023-10-26,Kern County,KRN,6.315729,38482.625,850.9716783,2023
USC00040332,2023-10-28,Kern County,KRN,8.496378,52123.60547,1176.991439,2023
USC00040332,2023-10-29,Kern County,KRN,8.202892,49831.30469,1154.948386,2023
USC00040332,2023-10-29,Kern County,KRN,5.487661,33676.47656,978.3950902,2023
USC00040332,2023-11-02,Kern County,KRN,16.76435,102302.5898,1533.5444,2023
USC00040332,2023-11-08,Kern County,KRN,86.2767,527799.0625,3885.537834,2023
USC00040332,2023-11-10,Kern County,KRN,15.04139,92238.10547,1413.351239,2023
USC00040332,2023-05-11,Kern County,KRN,3.00047,46223.17578,1389.531203,2023
USC00040332,2023-11-21,Kern County,KRN,3.433622,21001.19531,568.7884946,2023
USC00040332,2023-10-07,Kern County,KRN,7.258909,44394.96875,1535.679784,2023
USC00040332,2023-10-18,Kern County,KRN,13.32836,81629.73047,1303.981655,2023
USR0000CFIG,2023-08-19,Santa Barbara County,SBC,5761.521,34771286.98,52880.15076,2023
USR0000CFIG,2023-11-09,Santa Barbara County,SBC,211.192,1263209.254,6407.743677,2023
USR0000CFIG,2023-10-06,Santa Barbara County,SBC,95.66613,572195.2266,5628.224113,2023
USC00046136,2023-06-15,Nevada - Yuba - Placer CAL FIRE,NEU,94.27705,729429.2852,4916.562531,2023
USC00046136,2023-06-23,Nevada - Yuba - Placer CAL FIRE,NEU,58.00984,392011.0938,2779.400656,2023
USC00046136,2023-05-30,Nevada - Yuba - Placer CAL FIRE,NEU,13.73,91543.41406,1820.06845,2023
USC00040332,2023-12-03,Kern County,KRN,3.12156,18763.00781,975.0705678,2023
USC00040332,2023-12-04,Kern County,KRN,2.2649,13228.0,666.5913206,2023
USC00040332,2023-12-15,Kern County,KRN,169.973,1041987.031,5519.316141,2023
USC00045352,2023-07-03,Madera - Mariposa CAL FIRE,MMU,83.0,528590.0625,3723.288001,2023
USC00048338,2023-08-13,Monterey - San Benito CAL FIRE,BEU,4.5,27820.04297,740.6788169,2023
US1CAVT0031,2023-07-26,Ventura County,VNC,1.655345,9795.050781,785.6992822,2023
US1CAVT0031,2023-07-05,Ventura County,VNC,13.01236,77596.91016,1574.084649,2023
US1CAVT0031,2023-12-09,Ventura County,VNC,2715.4,16143487.74,46856.17004,2023
US1CASD0026,2023-08-09,Riverside CAL FIRE,RRU,531.0221,3125684.391,9266.773274,2023
US1CASD0026,2023-07-26,Riverside CAL FIRE,RRU,2323.106,13545480.47,30310.04848,2023
USC00048338,2023-10-06,Monterey - San Benito CAL FIRE,BEU,53.9,334473.5117,4810.724899,2023
