weatherstn,ALARM_DATE,obs,obs_value,Fire station name,UNIT_ID,GIS_ACRES,Shape__Area,Shape__Length,YEAR_,fire_occurred
US1CAAM0003,2013-08-03,PRCP,0,Amador - El Dorado CAL FIRE,AEU,10.93474,73333.5,1320.204469,2013.0,1
US1CAAM0003,2013-08-03,SNOW,0,Amador - El Dorado CAL FIRE,AEU,10.93474,73333.5,1320.204469,2013.0,1
US1CAAM0003,2014-07-26,PRCP,0,Amador - El Dorado CAL FIRE,AEU,4239.272,28110446.18,37705.98852,2014.0,1
US1CAAM0003,2014-07-26,SNOW,0,Amador - El Dorado CAL FIRE,AEU,4239.272,28110446.18,37705.98852,2014.0,1
US1CAAM0003,2015-07-02,PRCP,0,Amador - El Dorado CAL FIRE,AEU,357.5903,2363204.539,10146.21595,2015.0,1
US1CAAM0003,2015-07-02,SNOW,0,Amador - El Dorado CAL FIRE,AEU,357.5903,2363204.539,10146.21595,2015.0,1
US1CAAM0003,2015-09-10,PRCP,0,Amador - El Dorado CAL FIRE,AEU,70846.53,465799219.2,196390.6177,2015.0,1
US1CAAM0003,2015-09-10,SNOW,0,Amador - El Dorado CAL FIRE,AEU,70846.53,465799219.2,196390.6177,2015.0,1
US1CAAM0003,2016-06-03,PRCP,0,Amador - El Dorado CAL FIRE,AEU,31.77724,209147.6367,1895.357004,2016.0,1
US1CAAM0003,2016-06-17,PRCP,0,Amador - El Dorado CAL FIRE,AEU,209.5521,1377675.723,7185.405687,2016.0,1
US1CAAM0003,2016-06-28,PRCP,0,Amador - El Dorado CAL FIRE,AEU,371.6552,2451529.309,9697.620668,2016.0,1
US1CAAM0003,2016-06-03,SNOW,0,Amador - El Dorado CAL FIRE,AEU,31.77724,209147.6367,1895.357004,2016.0,1
US1CAAM0003,2016-06-17,SNOW,0,Amador - El Dorado CAL FIRE,AEU,209.5521,1377675.723,7185.405687,2016.0,1
US1CAAM0003,2016-06-28,SNOW,0,Amador - El Dorado CAL FIRE,AEU,371.6552,2451529.309,9697.620668,2016.0,1
US1CAAM0003,2016-07-02,PRCP,0,Amador - El Dorado CAL FIRE,AEU,15.1272,99556.48828,1885.828276,2016.0,1
US1CAAM0003,2016-07-11,PRCP,0,Amador - El Dorado CAL FIRE,AEU,12.6378,83225.54688,1211.907593,2016.0,1
US1CAAM0003,2016-07-22,PRCP,0,Amador - El Dorado CAL FIRE,AEU,49.23259,328440.8672,3023.816685,2016.0,1
US1CAAM0003,2016-07-02,SNOW,0,Amador - El Dorado CAL FIRE,AEU,15.1272,99556.48828,1885.828276,2016.0,1
US1CAAM0003,2016-07-11,SNOW,0,Amador - El Dorado CAL FIRE,AEU,12.6378,83225.54688,1211.907593,2016.0,1
US1CAAM0003,2016-07-22,SNOW,0,Amador - El Dorado CAL FIRE,AEU,49.23259,328440.8672,3023.816685,2016.0,1
US1CAAM0003,2016-08-15,PRCP,0,Amador - El Dorado CAL FIRE,AEU,22.55443,148311.668,2677.923068,2016.0,1
US1CAAM0003,2016-08-30,PRCP,0,Amador - El Dorado CAL FIRE,AEU,18.02715,118951.0938,1787.421599,2016.0,1
US1CAAM0003,2016-08-15,SNOW,0,Amador - El Dorado CAL FIRE,AEU,22.55443,148311.668,2677.923068,2016.0,1
US1CAAM0003,2016-08-30,SNOW,0,Amador - El Dorado CAL FIRE,AEU,18.02715,118951.0938,1787.421599,2016.0,1
US1CAAM0003,2016-09-11,PRCP,0,Amador - El Dorado CAL FIRE,AEU,40.22325,266590.6758,3523.232792,2016.0,1
US1CAAM0003,2016-09-11,SNOW,0,Amador - El Dorado CAL FIRE,AEU,40.22325,266590.6758,3523.232792,2016.0,1
US1CAAM0003,2017-06-17,PRCP,0,Amador - El Dorado CAL FIRE,AEU,22.38834,147765.3086,2056.086811,2017.0,1
US1CAAM0003,2017-06-24,PRCP,0,Amador - El Dorado CAL FIRE,AEU,10.9172,71828.87109,1860.332043,2017.0,1
US1CAAM0003,2017-06-17,SNOW,0,Amador - El Dorado CAL FIRE,AEU,22.38834,147765.3086,2056.086811,2017.0,1
US1CAAM0003,2017-06-24,SNOW,0,Amador - El Dorado CAL FIRE,AEU,10.9172,71828.87109,1860.332043,2017.0,1
US1CAAM0003,2017-07-26,PRCP,0,Amador - El Dorado CAL FIRE,AEU,1268.11,8397879.676,18568.16127,2017.0,1
US1CAAM0003,2017-07-26,PRCP,0,Amador - El Dorado CAL FIRE,AEU,138.5487,918434.7813,6010.107354,2017.0,1
US1CAAM0003,2017-07-30,PRCP,0,Amador - El Dorado CAL FIRE,AEU,237.9169,1576002.547,7147.962559,2017.0,1
US1CAAM0003,2017-07-26,SNOW,0,Amador - El Dorado CAL FIRE,AEU,1268.11,8397879.676,18568.16127,2017.0,1
US1CAAM0003,2017-07-26,SNOW,0,Amador - El Dorado CAL FIRE,AEU,138.5487,918434.7813,6010.107354,2017.0,1
US1CAAM0003,2017-07-30,SNOW,0,Amador - El Dorado CAL FIRE,AEU,237.9169,1576002.547,7147.962559,2017.0,1
US1CAAM0003,2017-08-07,PRCP,0,Amador - El Dorado CAL FIRE,AEU,72.09602,481066.1133,5013.694376,2017.0,1
US1CAAM0003,2017-08-07,SNOW,0,Amador - El Dorado CAL FIRE,AEU,72.09602,481066.1133,5013.694376,2017.0,1
US1CAAM0003,2017-09-17,PRCP,0,Amador - El Dorado CAL FIRE,AEU,130.7719,867163.2852,5255.408571,2017.0,1
US1CAAM0003,2017-09-17,SNOW,0,Amador - El Dorado CAL FIRE,AEU,130.7719,867163.2852,5255.408571,2017.0,1
