_id,ALARM_DATE,CONT_DATE,UNIT_ID,GIS_ACRES,Shape__Area,Shape__Length,YEAR_
1,17/06/2023,17/06/2023,SKU,5.729125,41407.83984,1247.166034,2023
2,02/06/2023,02/06/2023,BTU,13.60238,93455.87891,1285.51455,2023
3,01/07/2023,02/07/2023,AEU,27.81446,183028.5,2697.587429,2023
4,11/07/2023,11/07/2023,AEU,58.76023,388221.9531,2548.738779,2023
5,11/07/2023,12/07/2023,AEU,70.979,466456.0078,5106.936526,2023
6,18/06/2023,18/06/2023,AEU,28.63791,188516.9844,1941.509834,2023
7,13/07/2023,13/07/2023,BEU,13.59313,85835.91797,1776.43876,2023
8,09/07/2023,10/07/2023,BEU,391.3749,2412533.555,10733.81231,2023
9,15/07/2023,17/07/2023,BEU,40.41796,249660.2734,2407.166957,2023
10,19/07/2023,19/07/2023,BEU,296.6445,1860464.301,10225.77424,2023
11,24/07/2023,28/07/2023,SHU,161.8137,1141858.59,7184.885556,2023
12,15/06/2023,15/06/2023,SHU,11.91801,83320.98438,1388.850907,2023
13,29/07/2023,29/07/2023,SHU,20.67,143460.0078,2544.541868,2023
14,26/07/2023,31/07/2023,BTU,52.17383,354598.3047,3866.55622,2023
15,21/06/2023,21/06/2023,BTU,10.07201,68524.96875,1209.305534,2023
16,14/07/2023,23/07/2023,RRU,8354.776,49193097.95,47639.74371,2023
17,14/07/2023,23/07/2023,RRU,104.0207,612635.0234,3915.572572,2023
18,14/07/2023,23/07/2023,RRU,435.684,2570257.996,8565.275166,2023
19,15/07/2023,23/07/2023,RRU,334.5828,1966205.473,7959.666575,2023
20,22/05/2023,26/05/2023,RRU,337.9316,1986003.473,7664.101118,2023
21,09/08/2023,09/08/2023,BTU,74.10231,502589.3828,3982.267221,2023
22,15/08/2023,18/08/2023,MEU,56.87772,392924.7188,3555.765061,2023
23,16/09/2023,16/09/2023,BTU,19.28816,132527.5547,1574.848976,2023
24,14/10/2023,14/10/2023,AEU,11.7,77082.01563,1326.148407,2023
25,30/10/2023,08/11/2023,RRU,2487,14121208.05,47327.11258,2023
26,02/11/2023,02/11/2023,AEU,11.1,71774.98047,1248.542782,2023
27,12/11/2023,12/11/2023,BTU,11.12262,75606.78906,1183.889293,2023
28,01/05/2023,01/05/2023,KRN,83.71268,512475.9492,3523.409965,2023
29,03/05/2023,03/05/2023,KRN,5.948729,36450.41797,1312.571076,2023
30,10/05/2023,10/05/2023,KRN,3.267727,19948.78906,742.6678965,2023
31,12/05/2023,12/05/2023,KRN,225.6406,1383222.348,5326.455438,2023
32,14/05/2023,14/05/2023,KRN,14.74279,90465.5625,1800.283397,2023
33,18/05/2023,18/05/2023,KRN,6.763345,44627.17578,1060.998371,2023
34,21/05/2023,21/05/2023,KRN,9.687215,58624.11328,1374.362261,2023
35,22/05/2023,22/05/2023,KRN,6.860587,41750.76172,1105.910521,2023
36,04/06/2023,04/06/2023,KRN,4.915308,29805.71094,907.3030071,2023
37,05/06/2023,06/06/2023,KRN,83.47556,504927.5117,4146.015979,2023
38,08/06/2023,08/06/2023,KRN,59.26785,363380.9922,3161.213855,2023
39,13/06/2023,13/06/2023,KRN,5.666053,34513.80078,1180.0278,2023
40,20/06/2023,21/06/2023,KRN,5.777378,35535.09375,1446.944898,2023
41,23/06/2023,23/06/2023,KRN,6.419109,39402.58203,773.8450447,2023
42,24/06/2023,24/06/2023,KRN,3.334712,20361.14453,646.5848976,2023
43,27/06/2023,27/06/2023,KRN,5.966745,36596.77734,1362.921932,2023
44,27/06/2023,27/06/2023,KRN,7.961721,48856.96875,1201.877918,2023
45,30/06/2023,30/06/2023,KRN,107.8487,651052.4961,4648.685372,2023
46,30/06/2023,01/07/2023,KRN,17.15697,103697.0508,2221.221103,2023
47,03/07/2023,03/07/2023,KRN,536.0197,3290774.258,11616.36524,2023
48,02/07/2023,03/07/2023,KRN,9.05986,54912.94531,1875.048162,2023
49,03/07/2023,03/07/2023,KRN,9.613276,67641.21484,1438.102788,2023
50,04/07/2023,04/07/2023,KRN,6.170191,37428.29297,1100.114064,2023
51,11/07/2023,11/07/2023,KRN,3.72376,22675.67188,1174.858487,2023
52,13/07/2023,13/07/2023,KRN,4.990486,30309.01172,777.1840711,2023
53,07/07/2023,12/07/2023,KRN,1043.665,6292144.941,12913.90591,2023
54,19/07/2023,20/07/2023,KRN,52.75753,321188.9844,2453.604666,2023
55,28/07/2023,31/07/2023,KRN,20.61374,126800.3203,4049.189388,2023
56,31/07/2023,01/08/2023,KRN,60.6251,368792.3945,3734.179741,2023
57,31/07/2023,01/08/2023,KRN,34.74714,209238.9883,3222.649803,2023
58,01/08/2023,01/08/2023,KRN,4.387525,26755.98828,786.5703308,2023
59,01/08/2023,01/08/2023,KRN,1291.166,7899533.195,15390.52166,2023
60,03/08/2023,04/08/2023,KRN,14.59014,88044.42188,1789.612775,2023
61,06/08/2023,07/08/2023,KRN,5228.871,32043957.12,45656.06609,2023
62,04/08/2023,07/08/2023,KRN,89.46474,542043.4219,8956.07929,2023
63,09/08/2023,09/08/2023,KRN,3.816716,23131.67578,712.3148402,2023
64,13/08/2023,13/08/2023,KRN,16.05068,97481.03906,1702.39472,2023
65,14/08/2023,17/08/2023,KRN,52.54716,318702.4023,4868.132912,2023
66,14/08/2023,14/08/2023,KRN,4.713907,28567.82422,1609.346326,2023
67,19/08/2023,19/08/2023,KRN,34.64903,212358.3164,2262.750295,2023
68,27/08/2023,27/08/2023,KRN,4.015996,24437.21094,825.4634468,2023
69,28/08/2023,28/08/2023,KRN,33.32077,205300.0156,2251.139338,2023
70,09/09/2023,09/09/2023,KRN,7.908133,48110.35156,1631.93772,2023
71,09/09/2023,10/09/2023,KRN,7.309518,44897.99219,924.0046553,2023
72,16/09/2023,17/09/2023,KRN,55.02539,334837.2266,3260.976917,2023
73,21/09/2023,21/09/2023,KRN,10.37647,63111.26172,1553.043777,2023
74,22/09/2023,22/09/2023,KRN,5.175606,31535.89844,1666.751888,2023
75,22/09/2023,22/09/2023,KRN,5.002238,30675.01172,1041.266043,2023
76,26/09/2023,27/09/2023,KRN,7.971368,48879.41016,1049.611246,2023
77,27/09/2023,27/09/2023,KRN,6.430629,39461.25391,987.0435636,2023
78,27/09/2023,27/09/2023,KRN,13.71712,82917.83594,1781.110361,2023
79,06/10/2023,06/10/2023,KRN,4.440306,27030.42578,1277.931063,2023
80,07/10/2023,07/10/2023,KRN,3.030688,18364.57422,881.1876633,2023
81,18/10/2023,18/10/2023,KRN,5.226628,32146.07422,860.3486968,2023
82,26/10/2023,26/10/2023,KRN,6.315729,38482.625,850.9716783,2023
83,28/10/2023,28/10/2023,KRN,8.496378,52123.60547,1176.991439,2023
84,29/10/2023,29/10/2023,KRN,8.202892,49831.30469,1154.948386,2023
85,29/10/2023,29/10/2023,KRN,5.487661,33676.47656,978.3950902,2023
86,02/11/2023,02/11/2023,KRN,16.76435,102302.5898,1533.5444,2023
87,08/11/2023,08/11/2023,KRN,86.2767,527799.0625,3885.537834,2023
88,10/11/2023,10/11/2023,KRN,15.04139,92238.10547,1413.351239,2023
89,11/05/2023,11/05/2023,KRN,3.00047,46223.17578,1389.531203,2023
90,21/11/2023,21/11/2023,KRN,3.433622,21001.19531,568.7884946,2023
