fire_id,fire_name,closest_weather_id,closest_weather_lat,closest_weather_lon,fire_lat,fire_lon,distance
AEU,Amador - El Dorado CAL FIRE,US1CAAM0003,38.4986,-120.5364,38.5429075,-120.5431589,0.04482005450085355
ANF,Angeles National Forest,USR0000CCHI,34.3317,-118.0303,34.3212706,-117.9614732,0.06961250449882918
BRR,Bitter Creek National Wildlife Refuge,USC00046754,34.9333,-119.3833,34.9364901,-119.3598814,0.02363488024022878
BTU,Butte CAL FIRE,USC00046685,39.7539,-121.6242,39.7533385,-121.6249232,0.0009155875108355102
MCP,Camp Pendleton Marine Corps Base,USW00000369,33.2861,-117.4561,33.3069873,-117.47376,0.02735242039180355
CNP,Channel Islands - NPS,US1CAVT0017,34.181,-119.2142,34.155149,-119.221543,0.026873664617979867
CLR,Clear Lake National Wildlife Refuge,USC00041805,41.9333,-121.0667,41.8606026,-121.1112873,0.08528152958320281
CNF,Cleveland National Forest,USC00040134,32.85,-116.75,32.8791941,-116.7192202,0.04242277174879287
DVP,Death Valley NP,USW00053139,36.6019,-117.145,36.4702428,-117.0883909,0.14331157843890407
DLR,Delevan National Wildlife Refuge,US1CACL0001,39.349,-122.1771,39.30971285,-122.096338,0.08981080558107325
FWR,Don Edwards San Francisco Bay National Wildlife Refuge,USC00046144,37.5147,-122.0325,37.4935061,-122.0567486,0.032205216955803084
ENF,Eldorado National Forest,USC00044616,38.8,-120.15,38.78047805,-120.1882095,0.0429077198421441
ESR,Ellicott Slough National Wildlife Refuge,US1CASZ0043,36.945,-121.8508,36.92683885,-121.839736,0.02126592263040821
FKU,Fresno-Kings CAL FIRE,US1CAFR0033,36.7463,-119.8007,36.68855425,-119.9190028,0.13164392933554045
HIA,Hoopa Valley Tribe,USR0000CBIH,41.0975,-123.6358,41.10371565,-123.6747371,0.039430090810602815
HPR,Hopper Mountain National Wildlife Refuge,USR0000CPIR,34.4044,-118.81,34.454188,-118.8473221,0.062223661837035475
HTF,Humboldt-Toiyabe National Forest,USC00041075,38.3167,-119.2167,38.423024,-119.1734912,0.114768433697774
HUU,Humboldt - Del Norte CAL FIRE,US1CAHM0029,40.5867,-124.1409,40.5923428,-124.1473443,0.008565640333912132
INF,Inyo National Forest,USR0000CCRE,37.745,-118.9833,37.77217255,-118.8102011,0.17521865384345486
JTP,Joshua Tree NP,USC00049102,34.1206,-115.85,33.89706715,-115.9511158,0.24533923460947957
KRN,Kern County,USC00040332,35.2111,-118.8336,35.3145701,-118.753822,0.1306544713280407
KRR,Kern National Wildlife Refuge,USC00045151,35.6181,-119.6892,35.75603295,-119.6162604,0.15603103519448344
KNF,Klamath National Forest,USC00041799,41.7167,-123.45,41.53927705,-123.351984,0.2026969152273978
TMU,Lake Tahoe Basin Management Unit,USS0019L03S,38.85,-119.94,38.8801192,-119.9354959,0.03045411508236627
LMU,Lassen - Modoc CAL FIRE,USC00048702,40.4167,-120.6631,40.424736,-120.675113,0.014453008856289126
LNF,Lassen National Forest,USC00049600,40.3,-121.05,40.42595515,-121.0514039,0.1259629737134418
