US1CACL0001,20141102,PRCP,0,Unnamed: 4,Unnamed: 5,N,1500
US1CACL0001,20141103,PRCP,0,,,N,1600.0
US1CACL0001,20141104,PRCP,0,,,N,700.0
US1CACL0001,20141105,PRCP,0,,,N,700.0
US1CACL0001,20141106,PRCP,0,,,N,700.0
US1CACL0001,20141107,PRCP,0,,,N,700.0
US1CACL0001,20141108,PRCP,0,,,N,730.0
US1CACL0001,20141109,PRCP,0,,,N,800.0
US1CACL0001,20141110,PRCP,0,,,N,715.0
US1CACL0001,20141113,PRCP,150,,,N,700.0
US1CACL0001,20141114,PRCP,0,T,,N,730.0
US1CACL0001,20141117,PRCP,0,,,N,725.0
US1CACL0001,20141118,PRCP,0,,,N,730.0
US1CACL0001,20141119,PRCP,10,,,N,700.0
US1CACL0001,20141120,PRCP,89,,,N,700.0
US1CACL0001,20141121,PRCP,58,,,N,700.0
US1CACL0001,20141123,PRCP,5,,,N,1015.0
US1CACL0001,20141124,PRCP,0,,,N,700.0
US1CACL0001,20141125,PRCP,0,,,N,720.0
US1CACL0001,20141126,PRCP,0,,,N,830.0
US1CACL0001,20141127,PRCP,0,,,N,700.0
US1CACL0001,20141128,PRCP,0,,,N,700.0
US1CACL0001,20141130,PRCP,203,,,N,830.0
US1CACL0001,20141102,SNOW,0,,,N,1500.0
US1CACL0001,20141103,SNOW,0,,,N,1600.0
US1CACL0001,20141104,SNOW,0,,,N,700.0
US1CACL0001,20141105,SNOW,0,,,N,700.0
US1CACL0001,20141106,SNOW,0,,,N,700.0
US1CACL0001,20141107,SNOW,0,,,N,700.0
US1CACL0001,20141108,SNOW,0,,,N,730.0
US1CACL0001,20141109,SNOW,0,,,N,800.0
US1CACL0001,20141110,SNOW,0,,,N,715.0
US1CACL0001,20141117,SNOW,0,,,N,725.0
US1CACL0001,20141118,SNOW,0,,,N,730.0
US1CACL0001,20141124,SNOW,0,,,N,700.0
US1CACL0001,20141125,SNOW,0,,,N,720.0
US1CACL0001,20141126,SNOW,0,,,N,830.0
US1CACL0001,20141127,SNOW,0,,,N,700.0
US1CACL0001,20141128,SNOW,0,,,N,700.0
US1CACL0001,20141112,DAPR,2,,,N,745.0
US1CACL0001,20141116,DAPR,2,,,N,905.0
US1CACL0001,20141112,MDPR,0,,,N,745.0
US1CACL0001,20141116,MDPR,0,,,N,905.0
US1CACL0001,20141201,PRCP,56,,,N,700.0
US1CACL0001,20141202,PRCP,0,T,,N,700.0
US1CACL0001,20141203,PRCP,295,,,N,700.0
US1CACL0001,20141205,PRCP,23,,,N,700.0
US1CACL0001,20141206,PRCP,79,,,N,700.0
US1CACL0001,20141209,PRCP,3,,,N,700.0
US1CACL0001,20141210,PRCP,0,,,N,700.0
US1CACL0001,20141211,PRCP,318,,,N,700.0
US1CACL0001,20141212,PRCP,472,,,N,730.0
US1CACL0001,20141213,PRCP,10,,,N,130.0
US1CACL0001,20141214,PRCP,0,,,N,800.0
US1CACL0001,20141215,PRCP,86,,,N,700.0
US1CACL0001,20141216,PRCP,269,,,N,730.0
US1CACL0001,20141217,PRCP,102,,,N,725.0
US1CACL0001,20141218,PRCP,33,,,N,740.0
US1CACL0001,20141219,PRCP,89,,,N,700.0
US1CACL0001,20141220,PRCP,23,,L,N,1730.0
US1CACL0001,20141221,PRCP,0,,L,N,900.0
US1CACL0001,20141210,SNOW,0,,,N,700.0
US1CACL0001,20141214,SNOW,0,,,N,800.0
US1CACL0001,20141221,SNOW,0,,,N,900.0
US1CACL0001,20141227,DAPR,8,,L,N,1000.0
US1CACL0001,20141227,MDPR,0,,L,N,1000.0
US1CACL0001,20150114,PRCP,0,,,N,700.0
US1CACL0001,20150115,PRCP,0,,,N,700.0
US1CACL0001,20150116,PRCP,8,,,N,700.0
US1CACL0001,20150122,PRCP,0,,,N,700.0
US1CACL0001,20150127,PRCP,0,,,N,700.0
US1CACL0001,20150129,PRCP,0,,,N,700.0
US1CACL0001,20150130,PRCP,0,,,N,700.0
US1CACL0001,20150131,PRCP,0,,,N,700.0
US1CACL0001,20150114,SNOW,0,,,N,700.0
US1CACL0001,20150115,SNOW,0,,,N,700.0
US1CACL0001,20150122,SNOW,0,,,N,700.0
US1CACL0001,20150127,SNOW,0,,,N,700.0
US1CACL0001,20150129,SNOW,0,,,N,700.0
US1CACL0001,20150130,SNOW,0,,,N,700.0
US1CACL0001,20150131,SNOW,0,,,N,700.0
US1CACL0001,20150202,PRCP,0,,,N,700.0
US1CACL0001,20150204,PRCP,0,,,N,700.0
US1CACL0001,20150206,PRCP,0,T,,N,700.0
US1CACL0001,20150207,PRCP,411,,,N,700.0
US1CACL0001,20150208,PRCP,13,,,N,700.0
US1CACL0001,20150210,PRCP,0,T,,N,700.0
US1CACL0001,20150213,PRCP,0,,,N,700.0
US1CACL0001,20150218,PRCP,0,,,N,700.0
US1CACL0001,20150219,PRCP,0,,,N,700.0
US1CACL0001,20150225,PRCP,0,,,N,700.0
US1CACL0001,20150202,SNOW,0,,,N,700.0
US1CACL0001,20150204,SNOW,0,,,N,700.0
US1CACL0001,20150213,SNOW,0,,,N,700.0
US1CACL0001,20150218,SNOW,0,,,N,700.0
US1CACL0001,20150219,SNOW,0,,,N,700.0
US1CACL0001,20150225,SNOW,0,,,N,700.0
US1CACL0001,20150303,PRCP,0,,,N,700.0
US1CACL0001,20150312,PRCP,13,,,N,700.0
US1CACL0001,20150316,PRCP,0,,,N,700.0
US1CACL0001,20150318,PRCP,0,,,N,700.0
US1CACL0001,20150319,PRCP,0,,,N,700.0
US1CACL0001,20150320,PRCP,0,,,N,700.0
US1CACL0001,20150326,PRCP,0,,,N,700.0
US1CACL0001,20150328,PRCP,0,,,N,1000.0
US1CACL0001,20150303,SNOW,0,,,N,700.0
US1CACL0001,20150316,SNOW,0,,,N,700.0
US1CACL0001,20150318,SNOW,0,,,N,700.0
US1CACL0001,20150319,SNOW,0,,,N,700.0
US1CACL0001,20150320,SNOW,0,,,N,700.0
US1CACL0001,20150326,SNOW,0,,,N,700.0
US1CACL0001,20150328,SNOW,0,,,N,1000.0
US1CACL0001,20150305,DAPR,2,,,N,730.0
US1CACL0001,20150324,DAPR,2,,,N,700.0
US1CACL0001,20150305,MDPR,0,,,N,730.0
US1CACL0001,20150324,MDPR,5,,,N,700.0
US1CACL0001,20150407,PRCP,173,,,N,700.0
US1CACL0001,20150409,PRCP,51,,,N,700.0
US1CACL0001,20150414,PRCP,0,,,N,700.0
US1CACL0001,20150416,PRCP,0,,,N,700.0
US1CACL0001,20150423,PRCP,0,,,N,700.0
US1CACL0001,20150424,PRCP,0,,,N,700.0
US1CACL0001,20150425,PRCP,56,,,N,700.0
US1CACL0001,20150414,SNOW,0,,,N,700.0
US1CACL0001,20150416,SNOW,0,,,N,700.0
