id,date,obs,obs_value
US1CAMD0033,20160310,PRCP,457
US1CAMD0033,20160311,PRCP,99
US1CAMD0033,20160312,PRCP,376
US1CAMD0033,20160313,PRCP,483
US1CAMD0033,20160314,PRCP,185
US1CAMD0033,20160315,PRCP,3
US1CAMD0033,20160316,PRCP,0
US1CAMD0033,20160317,PRCP,0
US1CAMD0033,20160318,PRCP,0
US1CAMD0033,20160319,PRCP,0
US1CAMD0033,20160320,PRCP,13
US1CAMD0033,20160321,PRCP,173
US1CAMD0033,20160322,PRCP,145
US1CAMD0033,20160323,PRCP,25
US1CAMD0033,20160324,PRCP,0
US1CAMD0033,20160325,PRCP,0
US1CAMD0033,20160327,PRCP,30
US1CAMD0033,20160329,PRCP,0
US1CAMD0033,20160331,PRCP,0
US1CAMD0033,20160316,SNOW,0
US1CAMD0033,20160317,SNOW,0
US1CAMD0033,20160318,SNOW,0
US1CAMD0033,20160319,SNOW,0
US1CAMD0033,20160324,SNOW,0
US1CAMD0033,20160325,SNOW,0
US1CAMD0033,20160329,SNOW,0
US1CAMD0033,20160331,SNOW,0
US1CAMD0033,20160401,PRCP,0
US1CAMD0033,20160402,PRCP,0
US1CAMD0033,20160403,PRCP,0
US1CAMD0033,20160404,PRCP,13
US1CAMD0033,20160405,PRCP,0
US1CAMD0033,20160406,PRCP,0
US1CAMD0033,20160407,PRCP,0
US1CAMD0033,20160408,PRCP,0
US1CAMD0033,20160410,PRCP,5
US1CAMD0033,20160411,PRCP,8
US1CAMD0033,20160414,PRCP,173
US1CAMD0033,20160415,PRCP,3
US1CAMD0033,20160418,PRCP,0
US1CAMD0033,20160420,PRCP,3
US1CAMD0033,20160421,PRCP,5
US1CAMD0033,20160422,PRCP,305
US1CAMD0033,20160423,PRCP,91
US1CAMD0033,20160424,PRCP,5
US1CAMD0033,20160425,PRCP,0
US1CAMD0033,20160426,PRCP,0
US1CAMD0033,20160427,PRCP,51
US1CAMD0033,20160429,PRCP,0
US1CAMD0033,20160430,PRCP,0
US1CAMD0033,20160401,SNOW,0
US1CAMD0033,20160402,SNOW,0
US1CAMD0033,20160403,SNOW,0
US1CAMD0033,20160405,SNOW,0
US1CAMD0033,20160406,SNOW,0
US1CAMD0033,20160407,SNOW,0
US1CAMD0033,20160408,SNOW,0
US1CAMD0033,20160418,SNOW,0
US1CAMD0033,20160425,SNOW,0
US1CAMD0033,20160426,SNOW,0
US1CAMD0033,20160429,SNOW,0
US1CAMD0033,20160430,SNOW,0
US1CAMD0033,20160502,PRCP,0
US1CAMD0033,20160505,PRCP,0
US1CAMD0033,20160506,PRCP,104
US1CAMD0033,20160508,PRCP,13
US1CAMD0033,20160512,PRCP,3
US1CAMD0033,20160515,PRCP,28
US1CAMD0033,20160517,PRCP,0
US1CAMD0033,20160519,PRCP,0
US1CAMD0033,20160524,PRCP,8
US1CAMD0033,20160526,PRCP,0
US1CAMD0033,20160528,PRCP,0
US1CAMD0033,20160530,PRCP,0
US1CAMD0033,20160502,SNOW,0
US1CAMD0033,20160517,SNOW,0
US1CAMD0033,20160519,SNOW,0
US1CAMD0033,20160526,SNOW,0
US1CAMD0033,20160528,SNOW,0
US1CAMD0033,20160530,SNOW,0
US1CAMD0033,20160523,DAPR,4
US1CAMD0033,20160523,MDPR,64
US1CAMD0033,20160601,PRCP,0
US1CAMD0033,20160605,PRCP,0
US1CAMD0033,20160608,PRCP,3
US1CAMD0033,20160609,PRCP,5
US1CAMD0033,20160614,PRCP,0
US1CAMD0033,20160616,PRCP,25
US1CAMD0033,20160617,PRCP,94
US1CAMD0033,20160618,PRCP,3
US1CAMD0033,20160620,PRCP,0
US1CAMD0033,20160621,PRCP,0
US1CAMD0033,20160624,PRCP,0
US1CAMD0033,20160601,SNOW,0
US1CAMD0033,20160614,SNOW,0
US1CAMD0033,20160620,SNOW,0
US1CAMD0033,20160621,SNOW,0
US1CAMD0033,20160624,SNOW,0
US1CAMD0033,20160709,PRCP,5
US1CAMD0033,20160710,PRCP,3
US1CAMD0033,20160712,PRCP,0
US1CAMD0033,20160721,PRCP,5
US1CAMD0033,20160712,SNOW,0
US1CAMD0033,20160805,PRCP,5
