id,date,obs,obs_value
US1CASK0016,20161027,PRCP,117
US1CASK0016,20161028,PRCP,94
US1CASK0016,20161031,DAPR,3
US1CASK0016,20161031,MDPR,396
US1CASK0016,20161101,PRCP,15
US1CASK0016,20161102,PRCP,0
US1CASK0016,20161103,PRCP,0
US1CASK0016,20161104,PRCP,0
US1CASK0016,20161108,PRCP,0
US1CASK0016,20161109,PRCP,3
US1CASK0016,20161110,PRCP,0
US1CASK0016,20161115,PRCP,323
US1CASK0016,20161116,PRCP,8
US1CASK0016,20161117,PRCP,3
US1CASK0016,20161129,PRCP,0
US1CASK0016,20161130,PRCP,20
US1CASK0016,20161102,SNOW,0
US1CASK0016,20161104,SNOW,0
US1CASK0016,20161107,DAPR,3
US1CASK0016,20161128,DAPR,10
US1CASK0016,20161107,MDPR,0
US1CASK0016,20161128,MDPR,879
US1CASK0016,20161201,PRCP,0
US1CASK0016,20161213,PRCP,0
US1CASK0016,20161214,PRCP,277
US1CASK0016,20161212,DAPR,10
US1CASK0016,20161216,DAPR,2
US1CASK0016,20161212,MDPR,462
US1CASK0016,20161216,MDPR,744
US1CASK0016,20170123,PRCP,0
US1CASK0016,20170123,SNOW,0
US1CASK0016,20170111,DAPR,20
US1CASK0016,20170111,MDPR,2045
US1CASK0016,20170214,PRCP,0
US1CASK0016,20170215,PRCP,8
US1CASK0016,20170222,PRCP,71
US1CASK0016,20170223,PRCP,25
US1CASK0016,20170224,PRCP,0
US1CASK0016,20170221,DAPR,5
US1CASK0016,20170221,MDPR,940
US1CASK0016,20170307,PRCP,41
US1CASK0016,20170308,PRCP,33
US1CASK0016,20170309,PRCP,79
US1CASK0016,20170310,PRCP,8
US1CASK0016,20170313,PRCP,0
US1CASK0016,20170314,PRCP,0
US1CASK0016,20170316,PRCP,41
US1CASK0016,20170323,PRCP,8
US1CASK0016,20170330,PRCP,71
US1CASK0016,20170331,PRCP,0
US1CASK0016,20170314,SNOW,0
US1CASK0016,20170306,SNWD,147
US1CASK0016,20170306,DAPR,2
US1CASK0016,20170320,DAPR,3
US1CASK0016,20170321,DAPR,2
US1CASK0016,20170322,DAPR,2
US1CASK0016,20170306,MDPR,358
US1CASK0016,20170320,MDPR,467
US1CASK0016,20170321,MDPR,183
US1CASK0016,20170322,MDPR,58
US1CASK0016,20170405,PRCP,0
US1CASK0016,20170406,PRCP,8
US1CASK0016,20170407,PRCP,185
US1CASK0016,20170417,PRCP,241
US1CASK0016,20170418,PRCP,99
US1CASK0016,20170419,PRCP,0
US1CASK0016,20170420,PRCP,203
US1CASK0016,20170421,PRCP,0
US1CASK0016,20170425,PRCP,5
US1CASK0016,20170426,PRCP,46
US1CASK0016,20170427,PRCP,69
US1CASK0016,20170428,PRCP,0
US1CASK0016,20170405,SNOW,0
US1CASK0016,20170419,SNOW,0
