USC00047950,19001025,TMAX,189,Unnamed: 4,Unnamed: 5,6,Unnamed: 7
USC00047950,19001026,TMAX,189,,,6,
USC00047950,19001030,TMAX,200,,,6,
USC00047950,19001024,TMIN,89,,,6,
USC00047950,19001025,TMIN,89,,,6,
USC00047950,19001026,TMIN,72,,,6,
USC00047950,19001027,TMIN,56,,,6,
USC00047950,19001028,TMIN,78,,,6,
USC00047950,19001101,TMAX,239,,,6,
USC00047950,19001102,TMAX,311,,,6,
USC00047950,19001103,TMAX,333,,,6,
USC00047950,19001104,TMAX,250,,,6,
USC00047950,19001105,TMAX,250,,,6,
USC00047950,19001106,TMAX,272,,,6,
USC00047950,19001107,TMAX,222,,,6,
USC00047950,19001108,TMAX,217,,,6,
USC00047950,19001109,TMAX,272,,,6,
USC00047950,19001110,TMAX,300,,,6,
USC00047950,19001111,TMAX,317,,,6,
USC00047950,19001112,TMAX,289,,,6,
USC00047950,19001113,TMAX,272,,,6,
USC00047950,19001114,TMAX,244,,,6,
USC00047950,19001115,TMAX,206,,,6,
USC00047950,19001116,TMAX,167,,,6,
USC00047950,19001117,TMAX,161,,,6,
USC00047950,19001118,TMAX,156,,,6,
USC00047950,19001119,TMAX,167,,,6,
USC00047950,19001120,TMAX,167,,,6,
USC00047950,19001121,TMAX,156,,,6,
USC00047950,19001122,TMAX,183,,,6,
USC00047950,19001123,TMAX,172,,I,6,
USC00047950,19001124,TMAX,244,,,6,
USC00047950,19001125,TMAX,228,,,6,
USC00047950,19001126,TMAX,211,,,6,
USC00047950,19001127,TMAX,228,,,6,
USC00047950,19001128,TMAX,222,,,6,
USC00047950,19001129,TMAX,244,,,6,
USC00047950,19001130,TMAX,244,,,6,
USC00047950,19001101,TMIN,106,,,6,
USC00047950,19001102,TMIN,156,,,6,
USC00047950,19001103,TMIN,150,,,6,
USC00047950,19001104,TMIN,117,,,6,
USC00047950,19001105,TMIN,106,,,6,
USC00047950,19001106,TMIN,100,,,6,
USC00047950,19001107,TMIN,128,,,6,
USC00047950,19001108,TMIN,106,,,6,
USC00047950,19001109,TMIN,133,,,6,
USC00047950,19001110,TMIN,161,,,6,
USC00047950,19001111,TMIN,183,,,6,
USC00047950,19001112,TMIN,133,,,6,
USC00047950,19001113,TMIN,94,,,6,
USC00047950,19001114,TMIN,106,,,6,
USC00047950,19001115,TMIN,83,,,6,
USC00047950,19001116,TMIN,117,,,6,
USC00047950,19001117,TMIN,133,,,6,
USC00047950,19001118,TMIN,133,,,6,
USC00047950,19001119,TMIN,128,,,6,
USC00047950,19001120,TMIN,122,,,6,
USC00047950,19001121,TMIN,128,,,6,
USC00047950,19001122,TMIN,133,,,6,
USC00047950,19001123,TMIN,133,,,6,
USC00047950,19001124,TMIN,206,,I,6,
USC00047950,19001125,TMIN,172,,,6,
USC00047950,19001126,TMIN,111,,,6,
USC00047950,19001127,TMIN,144,,,6,
USC00047950,19001128,TMIN,122,,,6,
USC00047950,19001129,TMIN,100,,,6,
USC00047950,19001130,TMIN,122,,,6,
USC00047950,19001101,PRCP,0,P,,6,
USC00047950,19001102,PRCP,0,P,,6,
USC00047950,19001103,PRCP,0,P,,6,
USC00047950,19001104,PRCP,0,P,,6,
USC00047950,19001105,PRCP,0,P,,6,
USC00047950,19001106,PRCP,0,P,,6,
USC00047950,19001107,PRCP,0,P,,6,
USC00047950,19001108,PRCP,0,P,,6,
USC00047950,19001109,PRCP,0,P,,6,
USC00047950,19001110,PRCP,0,P,,6,
USC00047950,19001111,PRCP,0,P,,6,
USC00047950,19001112,PRCP,0,P,,6,
USC00047950,19001113,PRCP,0,P,,6,
USC00047950,19001114,PRCP,0,P,,6,
USC00047950,19001115,PRCP,0,P,,6,
USC00047950,19001116,PRCP,188,,,6,
USC00047950,19001117,PRCP,381,,,6,
USC00047950,19001118,PRCP,48,,,6,
USC00047950,19001119,PRCP,0,P,,6,
USC00047950,19001120,PRCP,99,,,6,
USC00047950,19001121,PRCP,127,,,6,
USC00047950,19001122,PRCP,594,,,6,
USC00047950,19001123,PRCP,0,P,,6,
USC00047950,19001124,PRCP,0,P,,6,
USC00047950,19001125,PRCP,0,P,,6,
USC00047950,19001126,PRCP,0,P,,6,
USC00047950,19001127,PRCP,0,P,,6,
USC00047950,19001128,PRCP,0,P,,6,
USC00047950,19001129,PRCP,0,P,,6,
USC00047950,19001130,PRCP,0,P,,6,
USC00047950,19001201,TMAX,244,,,6,
USC00047950,19001202,TMAX,256,,,6,
USC00047950,19001203,TMAX,250,,,6,
USC00047950,19001204,TMAX,244,,,6,
USC00047950,19001205,TMAX,250,,,6,
USC00047950,19001206,TMAX,267,,,6,
USC00047950,19001207,TMAX,261,,,6,
USC00047950,19001209,TMAX,256,,,6,
USC00047950,19001210,TMAX,200,,,6,
USC00047950,19001211,TMAX,172,,,6,
USC00047950,19001212,TMAX,189,,,6,
USC00047950,19001213,TMAX,200,,,6,
USC00047950,19001214,TMAX,156,,,6,
USC00047950,19001215,TMAX,167,,,6,
USC00047950,19001216,TMAX,183,,,6,
USC00047950,19001217,TMAX,183,,,6,
USC00047950,19001218,TMAX,194,,,6,
USC00047950,19001219,TMAX,217,,,6,
USC00047950,19001220,TMAX,178,,,6,
USC00047950,19001221,TMAX,167,,,6,
