id,date,obs,obs_value
USR0000CIND,19970514,TMAX,244
USR0000CIND,19970515,TMAX,250
USR0000CIND,19970516,TMAX,239
USR0000CIND,19970517,TMAX,122
USR0000CIND,19970518,TMAX,278
USR0000CIND,19970519,TMAX,283
USR0000CIND,19970520,TMAX,239
USR0000CIND,19970521,TMAX,233
USR0000CIND,19970522,TMAX,183
USR0000CIND,19970523,TMAX,156
USR0000CIND,19970524,TMAX,139
USR0000CIND,19970525,TMAX,194
USR0000CIND,19970526,TMAX,194
USR0000CIND,19970527,TMAX,200
USR0000CIND,19970528,TMAX,200
USR0000CIND,19970529,TMAX,217
USR0000CIND,19970530,TMAX,272
USR0000CIND,19970531,TMAX,211
USR0000CIND,19970513,TMIN,161
USR0000CIND,19970514,TMIN,122
USR0000CIND,19970515,TMIN,111
USR0000CIND,19970516,TMIN,94
USR0000CIND,19970517,TMIN,100
USR0000CIND,19970518,TMIN,133
USR0000CIND,19970519,TMIN,100
USR0000CIND,19970520,TMIN,89
USR0000CIND,19970521,TMIN,44
USR0000CIND,19970522,TMIN,78
USR0000CIND,19970523,TMIN,44
USR0000CIND,19970524,TMIN,22
USR0000CIND,19970525,TMIN,0
USR0000CIND,19970526,TMIN,50
USR0000CIND,19970527,TMIN,83
USR0000CIND,19970528,TMIN,106
USR0000CIND,19970529,TMIN,94
USR0000CIND,19970530,TMIN,106
USR0000CIND,19970531,TMIN,89
USR0000CIND,19970513,TAVG,221
USR0000CIND,19970514,TAVG,178
USR0000CIND,19970515,TAVG,179
USR0000CIND,19970516,TAVG,162
USR0000CIND,19970517,TAVG,114
USR0000CIND,19970518,TAVG,217
USR0000CIND,19970519,TAVG,189
USR0000CIND,19970520,TAVG,161
USR0000CIND,19970521,TAVG,149
USR0000CIND,19970522,TAVG,133
USR0000CIND,19970523,TAVG,83
USR0000CIND,19970524,TAVG,79
USR0000CIND,19970525,TAVG,98
USR0000CIND,19970526,TAVG,111
USR0000CIND,19970527,TAVG,143
USR0000CIND,19970528,TAVG,138
USR0000CIND,19970529,TAVG,161
USR0000CIND,19970530,TAVG,198
USR0000CIND,19970531,TAVG,150
USR0000CIND,19970601,TMAX,206
USR0000CIND,19970602,TMAX,239
USR0000CIND,19970603,TMAX,133
USR0000CIND,19970604,TMAX,156
USR0000CIND,19970605,TMAX,194
USR0000CIND,19970606,TMAX,228
USR0000CIND,19970607,TMAX,239
USR0000CIND,19970608,TMAX,244
USR0000CIND,19970609,TMAX,189
USR0000CIND,19970610,TMAX,233
USR0000CIND,19970611,TMAX,189
USR0000CIND,19970612,TMAX,144
USR0000CIND,19970613,TMAX,189
USR0000CIND,19970614,TMAX,261
USR0000CIND,19970615,TMAX,283
USR0000CIND,19970616,TMAX,289
USR0000CIND,19970617,TMAX,272
USR0000CIND,19970618,TMAX,272
USR0000CIND,19970619,TMAX,272
USR0000CIND,19970620,TMAX,239
USR0000CIND,19970621,TMAX,200
USR0000CIND,19970622,TMAX,194
USR0000CIND,19970623,TMAX,200
USR0000CIND,19970624,TMAX,250
USR0000CIND,19970625,TMAX,272
USR0000CIND,19970626,TMAX,239
USR0000CIND,19970627,TMAX,261
USR0000CIND,19970628,TMAX,200
USR0000CIND,19970629,TMAX,189
USR0000CIND,19970630,TMAX,133
USR0000CIND,19970601,TMIN,78
USR0000CIND,19970602,TMIN,50
USR0000CIND,19970603,TMIN,67
USR0000CIND,19970604,TMIN,44
USR0000CIND,19970605,TMIN,56
USR0000CIND,19970606,TMIN,50
USR0000CIND,19970607,TMIN,72
USR0000CIND,19970608,TMIN,56
USR0000CIND,19970609,TMIN,100
USR0000CIND,19970610,TMIN,100
USR0000CIND,19970611,TMIN,83
USR0000CIND,19970612,TMIN,50
USR0000CIND,19970613,TMIN,50
USR0000CIND,19970614,TMIN,83
USR0000CIND,19970615,TMIN,117
USR0000CIND,19970616,TMIN,128
USR0000CIND,19970617,TMIN,122
USR0000CIND,19970618,TMIN,78
USR0000CIND,19970619,TMIN,83
USR0000CIND,19970620,TMIN,50
USR0000CIND,19970621,TMIN,39
USR0000CIND,19970622,TMIN,17
USR0000CIND,19970623,TMIN,28
USR0000CIND,19970624,TMIN,50
USR0000CIND,19970625,TMIN,106
USR0000CIND,19970626,TMIN,61
USR0000CIND,19970627,TMIN,72
USR0000CIND,19970628,TMIN,67
USR0000CIND,19970629,TMIN,56
USR0000CIND,19970630,TMIN,44
USR0000CIND,19970601,TAVG,135
USR0000CIND,19970602,TAVG,156
USR0000CIND,19970603,TAVG,108
USR0000CIND,19970604,TAVG,92
USR0000CIND,19970605,TAVG,118
USR0000CIND,19970606,TAVG,148
USR0000CIND,19970607,TAVG,151
USR0000CIND,19970608,TAVG,153
USR0000CIND,19970609,TAVG,144
USR0000CIND,19970610,TAVG,167
USR0000CIND,19970611,TAVG,123
USR0000CIND,19970612,TAVG,93
USR0000CIND,19970613,TAVG,115
USR0000CIND,19970614,TAVG,177
USR0000CIND,19970615,TAVG,204
USR0000CIND,19970616,TAVG,222
USR0000CIND,19970617,TAVG,189
USR0000CIND,19970618,TAVG,181
USR0000CIND,19970619,TAVG,176
USR0000CIND,19970620,TAVG,157
USR0000CIND,19970621,TAVG,127
USR0000CIND,19970622,TAVG,114
USR0000CIND,19970623,TAVG,123
USR0000CIND,19970624,TAVG,152
USR0000CIND,19970625,TAVG,212
USR0000CIND,19970626,TAVG,158
USR0000CIND,19970627,TAVG,156
USR0000CIND,19970628,TAVG,134
USR0000CIND,19970629,TAVG,122
USR0000CIND,19970630,TAVG,81
USR0000CIND,19970701,TMAX,206
USR0000CIND,19970702,TMAX,239
USR0000CIND,19970703,TMAX,311
USR0000CIND,19970704,TMAX,322
USR0000CIND,19970705,TMAX,283
USR0000CIND,19970706,TMAX,283
USR0000CIND,19970707,TMAX,300
USR0000CIND,19970708,TMAX,144
USR0000CIND,19970711,TMAX,239
USR0000CIND,19970712,TMAX,267
USR0000CIND,19970713,TMAX,322
USR0000CIND,19970714,TMAX,311
USR0000CIND,19970715,TMAX,311
USR0000CIND,19970716,TMAX,306
USR0000CIND,19970717,TMAX,239
USR0000CIND,19970718,TMAX,267
USR0000CIND,19970719,TMAX,311
USR0000CIND,19970720,TMAX,333
USR0000CIND,19970721,TMAX,317
USR0000CIND,19970722,TMAX,294
USR0000CIND,19970723,TMAX,333
USR0000CIND,19970724,TMAX,311
USR0000CIND,19970725,TMAX,289
USR0000CIND,19970726,TMAX,317
USR0000CIND,19970727,TMAX,311
USR0000CIND,19970728,TMAX,294
USR0000CIND,19970729,TMAX,211
USR0000CIND,19970730,TMAX,278
USR0000CIND,19970731,TMAX,272
USR0000CIND,19970701,TMIN,44
USR0000CIND,19970702,TMIN,61
USR0000CIND,19970703,TMIN,89
USR0000CIND,19970704,TMIN,133
USR0000CIND,19970705,TMIN,122
USR0000CIND,19970706,TMIN,100
USR0000CIND,19970707,TMIN,117
USR0000CIND,19970708,TMIN,128
USR0000CIND,19970711,TMIN,106
USR0000CIND,19970712,TMIN,67
USR0000CIND,19970713,TMIN,117
USR0000CIND,19970714,TMIN,161
USR0000CIND,19970715,TMIN,150
USR0000CIND,19970716,TMIN,133
USR0000CIND,19970717,TMIN,117
USR0000CIND,19970718,TMIN,83
USR0000CIND,19970719,TMIN,106
USR0000CIND,19970720,TMIN,139
USR0000CIND,19970721,TMIN,167
USR0000CIND,19970722,TMIN,167
USR0000CIND,19970723,TMIN,139
USR0000CIND,19970724,TMIN,150
USR0000CIND,19970725,TMIN,139
USR0000CIND,19970726,TMIN,128
USR0000CIND,19970727,TMIN,128
USR0000CIND,19970728,TMIN,150
USR0000CIND,19970729,TMIN,122
USR0000CIND,19970730,TMIN,117
USR0000CIND,19970731,TMIN,139
USR0000CIND,19970701,TAVG,124
USR0000CIND,19970702,TAVG,151
USR0000CIND,19970703,TAVG,217
USR0000CIND,19970704,TAVG,232
USR0000CIND,19970705,TAVG,214
USR0000CIND,19970706,TAVG,189
USR0000CIND,19970707,TAVG,208
USR0000CIND,19970708,TAVG,138
USR0000CIND,19970711,TAVG,174
USR0000CIND,19970712,TAVG,178
USR0000CIND,19970713,TAVG,226
USR0000CIND,19970714,TAVG,249
USR0000CIND,19970715,TAVG,239
USR0000CIND,19970716,TAVG,219
USR0000CIND,19970717,TAVG,172
USR0000CIND,19970718,TAVG,182
USR0000CIND,19970719,TAVG,219
USR0000CIND,19970720,TAVG,248
USR0000CIND,19970721,TAVG,245
USR0000CIND,19970722,TAVG,215
USR0000CIND,19970723,TAVG,237
USR0000CIND,19970724,TAVG,230
USR0000CIND,19970725,TAVG,221
USR0000CIND,19970726,TAVG,228
USR0000CIND,19970727,TAVG,199
USR0000CIND,19970728,TAVG,207
USR0000CIND,19970729,TAVG,157
USR0000CIND,19970730,TAVG,190
USR0000CIND,19970731,TAVG,209
USR0000CIND,19970801,TMAX,272
USR0000CIND,19970802,TMAX,289
USR0000CIND,19970803,TMAX,317
USR0000CIND,19970804,TMAX,328
USR0000CIND,19970805,TMAX,350
USR0000CIND,19970806,TMAX,356
USR0000CIND,19970807,TMAX,356
USR0000CIND,19970808,TMAX,339
USR0000CIND,19970809,TMAX,261
USR0000CIND,19970810,TMAX,272
USR0000CIND,19970811,TMAX,278
USR0000CIND,19970812,TMAX,311
USR0000CIND,19970813,TMAX,328
USR0000CIND,19970814,TMAX,333
USR0000CIND,19970815,TMAX,328
USR0000CIND,19970816,TMAX,294
USR0000CIND,19970817,TMAX,272
USR0000CIND,19970818,TMAX,272
USR0000CIND,19970819,TMAX,283
USR0000CIND,19970820,TMAX,211
USR0000CIND,19970821,TMAX,261
USR0000CIND,19970822,TMAX,278
USR0000CIND,19970823,TMAX,267
USR0000CIND,19970824,TMAX,228
USR0000CIND,19970825,TMAX,244
USR0000CIND,19970826,TMAX,228
USR0000CIND,19970827,TMAX,222
USR0000CIND,19970828,TMAX,239
USR0000CIND,19970829,TMAX,272
USR0000CIND,19970830,TMAX,267
USR0000CIND,19970831,TMAX,256
USR0000CIND,19970801,TMIN,106
USR0000CIND,19970802,TMIN,117
USR0000CIND,19970803,TMIN,117
USR0000CIND,19970804,TMIN,117
USR0000CIND,19970805,TMIN,139
USR0000CIND,19970806,TMIN,172
USR0000CIND,19970807,TMIN,161
USR0000CIND,19970808,TMIN,156
USR0000CIND,19970809,TMIN,128
USR0000CIND,19970810,TMIN,117
USR0000CIND,19970811,TMIN,100
USR0000CIND,19970812,TMIN,122
USR0000CIND,19970813,TMIN,144
USR0000CIND,19970814,TMIN,139
USR0000CIND,19970815,TMIN,144
USR0000CIND,19970816,TMIN,100
USR0000CIND,19970817,TMIN,117
USR0000CIND,19970818,TMIN,111
USR0000CIND,19970819,TMIN,111
USR0000CIND,19970820,TMIN,111
USR0000CIND,19970821,TMIN,89
USR0000CIND,19970822,TMIN,106
USR0000CIND,19970823,TMIN,106
USR0000CIND,19970824,TMIN,83
USR0000CIND,19970825,TMIN,89
USR0000CIND,19970826,TMIN,94
USR0000CIND,19970827,TMIN,89
USR0000CIND,19970828,TMIN,94
USR0000CIND,19970829,TMIN,78
USR0000CIND,19970830,TMIN,106
USR0000CIND,19970831,TMIN,117
USR0000CIND,19970801,TAVG,186
USR0000CIND,19970802,TAVG,211
USR0000CIND,19970803,TAVG,228
USR0000CIND,19970804,TAVG,232
USR0000CIND,19970805,TAVG,247
USR0000CIND,19970806,TAVG,260
USR0000CIND,19970807,TAVG,251
USR0000CIND,19970808,TAVG,243
USR0000CIND,19970809,TAVG,194
USR0000CIND,19970810,TAVG,183
USR0000CIND,19970811,TAVG,204
USR0000CIND,19970812,TAVG,221
USR0000CIND,19970813,TAVG,236
USR0000CIND,19970814,TAVG,243
USR0000CIND,19970815,TAVG,232
USR0000CIND,19970816,TAVG,207
USR0000CIND,19970817,TAVG,196
USR0000CIND,19970818,TAVG,193
USR0000CIND,19970819,TAVG,197
USR0000CIND,19970820,TAVG,163
USR0000CIND,19970821,TAVG,174
USR0000CIND,19970822,TAVG,195
USR0000CIND,19970823,TAVG,185
USR0000CIND,19970824,TAVG,150
USR0000CIND,19970825,TAVG,172
USR0000CIND,19970826,TAVG,157
USR0000CIND,19970827,TAVG,154
USR0000CIND,19970828,TAVG,158
USR0000CIND,19970829,TAVG,168
USR0000CIND,19970830,TAVG,187
USR0000CIND,19970831,TAVG,192
USR0000CIND,19970901,TMAX,267
USR0000CIND,19970904,TMAX,278
USR0000CIND,19970905,TMAX,267
USR0000CIND,19970906,TMAX,272
USR0000CIND,19970907,TMAX,289
USR0000CIND,19970908,TMAX,283
USR0000CIND,19970909,TMAX,283
USR0000CIND,19970910,TMAX,222
USR0000CIND,19970911,TMAX,217
USR0000CIND,19970912,TMAX,239
USR0000CIND,19970913,TMAX,228
USR0000CIND,19970914,TMAX,172
USR0000CIND,19970915,TMAX,139
