id,date,obs,obs_value
USR0000CLKL,20020619,TMAX,239
USR0000CLKL,20020620,TMAX,267
USR0000CLKL,20020621,TMAX,267
USR0000CLKL,20020622,TMAX,267
USR0000CLKL,20020623,TMAX,261
USR0000CLKL,20020624,TMAX,300
USR0000CLKL,20020625,TMAX,328
USR0000CLKL,20020626,TMAX,328
USR0000CLKL,20020627,TMAX,272
USR0000CLKL,20020628,TMAX,256
USR0000CLKL,20020629,TMAX,256
USR0000CLKL,20020630,TMAX,272
USR0000CLKL,20020618,TMIN,50
USR0000CLKL,20020619,TMIN,17
USR0000CLKL,20020620,TMIN,44
USR0000CLKL,20020621,TMIN,111
USR0000CLKL,20020622,TMIN,83
USR0000CLKL,20020623,TMIN,89
USR0000CLKL,20020624,TMIN,83
USR0000CLKL,20020625,TMIN,111
USR0000CLKL,20020626,TMIN,122
USR0000CLKL,20020627,TMIN,133
USR0000CLKL,20020628,TMIN,133
USR0000CLKL,20020629,TMIN,117
USR0000CLKL,20020630,TMIN,83
USR0000CLKL,20020618,TAVG,143
USR0000CLKL,20020619,TAVG,136
USR0000CLKL,20020620,TAVG,172
USR0000CLKL,20020621,TAVG,172
USR0000CLKL,20020622,TAVG,179
USR0000CLKL,20020623,TAVG,180
USR0000CLKL,20020624,TAVG,190
USR0000CLKL,20020625,TAVG,221
USR0000CLKL,20020626,TAVG,227
USR0000CLKL,20020627,TAVG,208
USR0000CLKL,20020628,TAVG,194
USR0000CLKL,20020629,TAVG,188
USR0000CLKL,20020630,TAVG,174
USR0000CLKL,20020701,TMAX,283
USR0000CLKL,20020702,TMAX,317
USR0000CLKL,20020703,TMAX,272
USR0000CLKL,20020704,TMAX,250
USR0000CLKL,20020705,TMAX,283
USR0000CLKL,20020706,TMAX,294
USR0000CLKL,20020707,TMAX,283
USR0000CLKL,20020708,TMAX,272
USR0000CLKL,20020709,TMAX,350
USR0000CLKL,20020710,TMAX,372
USR0000CLKL,20020711,TMAX,378
USR0000CLKL,20020712,TMAX,361
USR0000CLKL,20020713,TMAX,350
USR0000CLKL,20020714,TMAX,311
USR0000CLKL,20020715,TMAX,317
USR0000CLKL,20020716,TMAX,306
USR0000CLKL,20020717,TMAX,311
USR0000CLKL,20020718,TMAX,300
USR0000CLKL,20020719,TMAX,294
USR0000CLKL,20020720,TMAX,322
USR0000CLKL,20020721,TMAX,339
USR0000CLKL,20020722,TMAX,300
USR0000CLKL,20020723,TMAX,306
USR0000CLKL,20020724,TMAX,300
USR0000CLKL,20020725,TMAX,289
USR0000CLKL,20020726,TMAX,300
USR0000CLKL,20020727,TMAX,289
USR0000CLKL,20020728,TMAX,311
USR0000CLKL,20020729,TMAX,306
USR0000CLKL,20020730,TMAX,294
USR0000CLKL,20020731,TMAX,300
USR0000CLKL,20020701,TMIN,72
USR0000CLKL,20020702,TMIN,72
USR0000CLKL,20020703,TMIN,89
USR0000CLKL,20020704,TMIN,67
USR0000CLKL,20020705,TMIN,56
USR0000CLKL,20020706,TMIN,94
USR0000CLKL,20020707,TMIN,100
USR0000CLKL,20020708,TMIN,56
USR0000CLKL,20020709,TMIN,78
USR0000CLKL,20020710,TMIN,106
USR0000CLKL,20020711,TMIN,128
USR0000CLKL,20020712,TMIN,156
USR0000CLKL,20020713,TMIN,161
USR0000CLKL,20020714,TMIN,133
USR0000CLKL,20020715,TMIN,111
USR0000CLKL,20020716,TMIN,94
USR0000CLKL,20020717,TMIN,83
USR0000CLKL,20020718,TMIN,100
USR0000CLKL,20020719,TMIN,122
USR0000CLKL,20020720,TMIN,94
USR0000CLKL,20020721,TMIN,106
USR0000CLKL,20020722,TMIN,106
USR0000CLKL,20020723,TMIN,94
USR0000CLKL,20020724,TMIN,78
USR0000CLKL,20020725,TMIN,94
USR0000CLKL,20020726,TMIN,94
USR0000CLKL,20020727,TMIN,100
USR0000CLKL,20020728,TMIN,106
USR0000CLKL,20020729,TMIN,83
USR0000CLKL,20020730,TMIN,111
USR0000CLKL,20020731,TMIN,106
USR0000CLKL,20020701,TAVG,179
USR0000CLKL,20020702,TAVG,204
USR0000CLKL,20020703,TAVG,173
USR0000CLKL,20020704,TAVG,158
USR0000CLKL,20020705,TAVG,179
USR0000CLKL,20020706,TAVG,203
USR0000CLKL,20020707,TAVG,187
USR0000CLKL,20020708,TAVG,159
USR0000CLKL,20020709,TAVG,226
USR0000CLKL,20020710,TAVG,243
USR0000CLKL,20020711,TAVG,254
USR0000CLKL,20020712,TAVG,258
USR0000CLKL,20020713,TAVG,252
USR0000CLKL,20020714,TAVG,221
USR0000CLKL,20020715,TAVG,217
USR0000CLKL,20020716,TAVG,215
