id,date,obs,obs_value
USR0000CMIO,20010727,TMAX,400
USR0000CMIO,20010728,TMAX,389
USR0000CMIO,20010729,TMAX,378
USR0000CMIO,20010730,TMAX,306
USR0000CMIO,20010731,TMAX,322
USR0000CMIO,20010726,TMIN,244
USR0000CMIO,20010727,TMIN,250
USR0000CMIO,20010728,TMIN,239
USR0000CMIO,20010729,TMIN,233
USR0000CMIO,20010730,TMIN,183
USR0000CMIO,20010731,TMIN,167
USR0000CMIO,20010726,TAVG,298
USR0000CMIO,20010727,TAVG,327
USR0000CMIO,20010728,TAVG,316
USR0000CMIO,20010729,TAVG,298
USR0000CMIO,20010730,TAVG,247
USR0000CMIO,20010731,TAVG,247
USR0000CMIO,20010801,TMAX,361
USR0000CMIO,20010802,TMAX,378
USR0000CMIO,20010803,TMAX,344
USR0000CMIO,20010804,TMAX,322
USR0000CMIO,20010805,TMAX,356
USR0000CMIO,20010806,TMAX,367
USR0000CMIO,20010807,TMAX,394
USR0000CMIO,20010808,TMAX,411
USR0000CMIO,20010809,TMAX,383
USR0000CMIO,20010810,TMAX,361
USR0000CMIO,20010811,TMAX,361
USR0000CMIO,20010812,TMAX,372
USR0000CMIO,20010813,TMAX,361
USR0000CMIO,20010814,TMAX,372
USR0000CMIO,20010815,TMAX,389
USR0000CMIO,20010816,TMAX,406
USR0000CMIO,20010817,TMAX,406
USR0000CMIO,20010818,TMAX,389
USR0000CMIO,20010819,TMAX,383
USR0000CMIO,20010820,TMAX,350
USR0000CMIO,20010821,TMAX,311
USR0000CMIO,20010822,TMAX,300
USR0000CMIO,20010823,TMAX,300
USR0000CMIO,20010824,TMAX,322
USR0000CMIO,20010825,TMAX,361
USR0000CMIO,20010826,TMAX,383
USR0000CMIO,20010827,TMAX,383
USR0000CMIO,20010828,TMAX,378
USR0000CMIO,20010829,TMAX,378
USR0000CMIO,20010830,TMAX,322
USR0000CMIO,20010831,TMAX,328
USR0000CMIO,20010801,TMIN,211
USR0000CMIO,20010802,TMIN,222
USR0000CMIO,20010803,TMIN,222
USR0000CMIO,20010804,TMIN,194
USR0000CMIO,20010805,TMIN,200
USR0000CMIO,20010806,TMIN,217
USR0000CMIO,20010807,TMIN,256
USR0000CMIO,20010808,TMIN,267
USR0000CMIO,20010809,TMIN,250
USR0000CMIO,20010810,TMIN,233
USR0000CMIO,20010811,TMIN,233
USR0000CMIO,20010812,TMIN,233
USR0000CMIO,20010813,TMIN,222
USR0000CMIO,20010814,TMIN,228
USR0000CMIO,20010815,TMIN,233
USR0000CMIO,20010816,TMIN,239
USR0000CMIO,20010817,TMIN,256
USR0000CMIO,20010818,TMIN,250
USR0000CMIO,20010819,TMIN,250
USR0000CMIO,20010820,TMIN,211
USR0000CMIO,20010821,TMIN,178
USR0000CMIO,20010822,TMIN,172
USR0000CMIO,20010823,TMIN,167
USR0000CMIO,20010824,TMIN,189
USR0000CMIO,20010825,TMIN,200
USR0000CMIO,20010826,TMIN,233
USR0000CMIO,20010827,TMIN,250
USR0000CMIO,20010828,TMIN,250
USR0000CMIO,20010829,TMIN,228
USR0000CMIO,20010830,TMIN,194
USR0000CMIO,20010831,TMIN,167
USR0000CMIO,20010801,TAVG,284
USR0000CMIO,20010802,TAVG,300
USR0000CMIO,20010803,TAVG,287
USR0000CMIO,20010804,TAVG,263
USR0000CMIO,20010805,TAVG,276
USR0000CMIO,20010806,TAVG,293
USR0000CMIO,20010807,TAVG,320
USR0000CMIO,20010808,TAVG,336
USR0000CMIO,20010809,TAVG,317
USR0000CMIO,20010810,TAVG,293
USR0000CMIO,20010811,TAVG,290
USR0000CMIO,20010812,TAVG,301
USR0000CMIO,20010813,TAVG,282
USR0000CMIO,20010814,TAVG,290
USR0000CMIO,20010815,TAVG,305
USR0000CMIO,20010816,TAVG,320
USR0000CMIO,20010817,TAVG,328
USR0000CMIO,20010818,TAVG,320
USR0000CMIO,20010819,TAVG,316
USR0000CMIO,20010820,TAVG,281
USR0000CMIO,20010821,TAVG,247
USR0000CMIO,20010822,TAVG,236
USR0000CMIO,20010823,TAVG,232
USR0000CMIO,20010824,TAVG,252
USR0000CMIO,20010825,TAVG,277
USR0000CMIO,20010826,TAVG,307
USR0000CMIO,20010827,TAVG,311
USR0000CMIO,20010828,TAVG,312
USR0000CMIO,20010829,TAVG,305
USR0000CMIO,20010830,TAVG,253
USR0000CMIO,20010831,TAVG,252
USR0000CMIO,20010901,TMAX,356
USR0000CMIO,20010902,TMAX,361
USR0000CMIO,20010903,TMAX,356
USR0000CMIO,20010904,TMAX,361
USR0000CMIO,20010905,TMAX,339
USR0000CMIO,20010906,TMAX,311
USR0000CMIO,20010907,TMAX,333
USR0000CMIO,20010908,TMAX,350
USR0000CMIO,20010909,TMAX,328
USR0000CMIO,20010910,TMAX,311
USR0000CMIO,20010911,TMAX,278
USR0000CMIO,20010912,TMAX,300
USR0000CMIO,20010913,TMAX,311
USR0000CMIO,20010914,TMAX,339
USR0000CMIO,20010915,TMAX,350
USR0000CMIO,20010916,TMAX,322
USR0000CMIO,20010917,TMAX,317
USR0000CMIO,20010918,TMAX,333
USR0000CMIO,20010919,TMAX,333
USR0000CMIO,20010920,TMAX,350
USR0000CMIO,20010921,TMAX,328
USR0000CMIO,20010922,TMAX,344
USR0000CMIO,20010923,TMAX,350
USR0000CMIO,20010924,TMAX,367
USR0000CMIO,20010925,TMAX,300
USR0000CMIO,20010926,TMAX,294
USR0000CMIO,20010927,TMAX,322
USR0000CMIO,20010928,TMAX,278
USR0000CMIO,20010929,TMAX,306
USR0000CMIO,20010930,TMAX,372
USR0000CMIO,20010901,TMIN,206
USR0000CMIO,20010902,TMIN,228
USR0000CMIO,20010903,TMIN,211
USR0000CMIO,20010904,TMIN,228
USR0000CMIO,20010905,TMIN,206
USR0000CMIO,20010906,TMIN,183
USR0000CMIO,20010907,TMIN,194
USR0000CMIO,20010908,TMIN,211
USR0000CMIO,20010909,TMIN,200
USR0000CMIO,20010910,TMIN,200
USR0000CMIO,20010911,TMIN,189
USR0000CMIO,20010912,TMIN,167
USR0000CMIO,20010913,TMIN,183
USR0000CMIO,20010914,TMIN,194
USR0000CMIO,20010915,TMIN,211
USR0000CMIO,20010916,TMIN,211
USR0000CMIO,20010917,TMIN,189
USR0000CMIO,20010918,TMIN,206
USR0000CMIO,20010919,TMIN,211
USR0000CMIO,20010920,TMIN,217
USR0000CMIO,20010921,TMIN,206
USR0000CMIO,20010922,TMIN,206
USR0000CMIO,20010923,TMIN,211
USR0000CMIO,20010924,TMIN,211
USR0000CMIO,20010925,TMIN,172
USR0000CMIO,20010926,TMIN,161
USR0000CMIO,20010927,TMIN,167
USR0000CMIO,20010928,TMIN,156
USR0000CMIO,20010929,TMIN,156
USR0000CMIO,20010930,TMIN,183
USR0000CMIO,20010901,TAVG,277
USR0000CMIO,20010902,TAVG,295
USR0000CMIO,20010903,TAVG,274
USR0000CMIO,20010904,TAVG,293
USR0000CMIO,20010905,TAVG,276
USR0000CMIO,20010906,TAVG,247
USR0000CMIO,20010907,TAVG,262
USR0000CMIO,20010908,TAVG,272
USR0000CMIO,20010909,TAVG,261
USR0000CMIO,20010910,TAVG,249
USR0000CMIO,20010911,TAVG,232
USR0000CMIO,20010912,TAVG,231
